;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
23;912.291504;761.036926;129.564377;775.895630;743.302490;131.456314;882.041382;665.460571;130.196899;1174.051758;895.413696;416.801514;1094.866455;901.611816;262.250122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;910.534668;759.239685;129.025375;774.303162;742.125854;130.893097;880.484741;663.188477;131.181625;1172.819336;895.111267;416.253967;1093.465210;900.341736;261.811768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;909.202759;757.665894;128.823822;772.991638;740.841125;130.264069;878.884033;661.581604;131.177933;1171.565674;894.597595;416.004913;1092.172729;899.368347;261.087952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;907.673218;756.063416;129.186493;771.013855;739.867188;130.534851;876.853882;660.386963;131.041641;1170.107666;893.869812;415.300446;1090.963379;898.010986;260.577789;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;906.466309;754.573608;129.509949;769.796265;737.863525;130.226654;874.752930;658.998535;130.158707;1168.834473;893.238098;414.605988;1090.033447;896.355347;260.308044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;904.951660;753.170227;129.838348;768.191895;736.465454;130.020142;873.245544;657.276367;130.123047;1168.029663;892.723267;413.984833;1088.949097;895.568848;259.687317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;902.887512;751.768860;130.174927;766.348755;734.634033;129.630508;871.321899;655.854492;128.962769;1167.005127;892.354431;413.291260;1087.405884;894.513306;258.949005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;901.075073;750.434509;130.585281;765.563171;733.193115;129.764023;870.401367;653.961182;128.858414;1165.689941;891.964050;412.256042;1086.384521;893.358887;258.205627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;899.202393;749.108948;130.799026;764.417419;730.966125;128.986679;869.075623;652.483398;127.904587;1164.838745;891.298584;411.735748;1085.624390;892.463501;257.478607;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;898.537598;747.419067;130.237015;763.639954;728.890808;128.401077;867.572388;650.770569;127.186836;1163.739868;890.542053;411.475952;1084.215210;891.412842;256.802582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
