;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
36;778.783752;847.670532;162.664093;772.655762;749.209412;134.528885;786.601074;1171.989502;365.487823;788.785767;1106.363159;212.878143;747.830017;748.826172;111.580299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;776.406067;851.155579;164.775925;770.649902;752.482971;137.352142;786.395325;1174.300049;366.239380;788.112305;1110.267822;212.918076;745.897339;752.160156;114.387428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;773.917480;854.511902;166.856110;768.757263;755.872253;140.343384;786.233765;1176.459106;366.864288;787.489929;1113.881836;212.717453;743.926575;755.823608;117.276512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;771.698486;857.689697;168.695923;766.869995;759.286377;143.152527;786.329285;1178.713623;367.500092;;;;741.852173;758.192688;119.930634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;769.412598;861.582458;170.845718;764.586548;762.654297;145.632431;786.527649;1181.216187;367.944366;;;;739.928162;760.244812;122.673058;786.294067;1121.212280;214.177399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;767.055237;865.280212;173.552567;762.556396;766.377808;148.055695;786.273682;1183.493408;369.006866;;;;737.787537;763.188477;125.212341;785.636292;1125.029053;213.979691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;764.520630;868.650146;175.417419;760.567749;769.636719;150.788818;785.811035;1185.627930;369.704132;;;;735.716370;766.990845;127.311218;785.229187;1128.578613;214.812195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;762.522034;872.567078;177.121460;758.134338;773.050659;152.701950;785.571045;1187.974731;370.756836;;;;733.544434;770.855347;129.402405;784.311340;1132.198120;216.110123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;759.907593;876.289429;179.409164;755.747437;776.794495;154.143250;785.305176;1190.376221;371.684570;;;;731.274902;774.104248;131.126480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;757.620728;879.553528;181.400818;753.641296;780.588196;155.878525;785.524353;1192.563110;372.284760;;;;729.306274;776.751709;132.760040;;;;783.202759;1139.692383;217.046951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;755.681519;882.976379;182.914734;751.643555;784.225098;157.715256;785.761047;1194.847900;373.074280;;;;726.697754;779.894958;134.925369;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;753.497681;886.695496;184.594055;749.606079;787.694214;159.171997;785.442383;1197.191895;373.977997;;;;724.487915;783.950256;136.500107;;;;;;;782.038208;1146.643921;218.399811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;750.875671;890.419800;186.044388;747.249817;791.435303;160.423508;785.381287;1199.442505;374.948944;;;;722.468445;787.300232;137.421112;;;;;;;780.543152;1150.552856;219.470688;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;748.741760;893.818298;187.225525;745.088745;794.948059;161.657867;786.005798;1201.394897;376.099243;;;;720.584595;791.036072;138.692398;;;;;;;780.120361;1154.134521;219.934586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;746.452942;897.694458;188.319992;743.037170;798.624268;162.666885;785.496216;1204.062500;377.178650;;;;718.291504;794.923035;139.597626;;;;;;;779.547241;1157.732300;220.908539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;743.942810;901.134460;190.089706;740.702393;802.239136;163.448959;784.801636;1206.295532;377.899658;;;;715.944763;798.408752;140.801086;;;;;;;778.600769;1161.112061;222.042206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;741.526489;904.052490;191.394333;738.641113;805.765869;164.409164;785.341492;1208.192505;378.839813;;;;713.582458;802.145630;141.856705;;;;;;;778.242676;1164.310303;222.788696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;738.858215;907.916321;192.369797;736.165344;809.506348;165.289719;785.389709;1210.521973;379.771271;;;;709.896301;804.024536;143.315628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;736.843689;911.403748;192.643173;733.876038;813.230774;165.864105;785.131409;1212.770142;380.685120;;;;706.878845;807.318420;145.614655;;;;;;;;;;777.571655;1171.248535;224.031342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;734.308105;915.281799;193.685043;731.185852;816.702515;166.658615;785.278564;1214.790894;381.783936;;;;704.101624;810.518555;146.226685;;;;;;;;;;776.292664;1174.619507;225.156067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;732.440674;919.076660;194.630341;728.639038;820.198303;167.253937;785.439148;1216.420532;383.149048;;;;703.616577;816.565247;145.338654;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;729.991943;922.437012;194.965668;725.860107;823.898315;167.593811;785.450928;1218.767578;383.972260;;;;701.535767;821.036072;144.928070;;;;;;;;;;;;;775.411926;1180.642700;227.564377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
