Präzision08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/05/06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:09:03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
53;733.306946;960.526550;197.218842;727.177368;859.342224;175.201263;;;;696.413208;852.374817;172.160034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;735.517090;1242.746704;377.904236;;;;;;;716.391113;1227.056030;202.171997;;;
54;731.016479;962.536438;195.986755;724.016357;861.440918;173.609192;;;;693.731323;855.380249;170.003555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;736.022278;1244.386597;378.185791;;;;;;;716.683960;1229.823975;202.667801;;;
55;729.106140;964.783508;195.302216;720.857056;863.986267;172.269287;;;;690.024719;857.833191;168.935837;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;736.449463;1245.901611;378.543518;;;;;;;716.686829;1231.878296;203.403885;;;
56;726.919006;966.952454;194.278793;718.062805;866.017212;170.398315;;;;687.132568;860.327087;167.096329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;737.122437;1247.530518;378.578033;;;;;;;716.747131;1233.906006;204.153748;;;
57;724.539673;968.930420;192.593079;714.972290;868.483887;168.135162;;;;683.985352;862.791199;165.024811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;737.682129;1249.050903;378.781708;;;;;;;717.412476;1236.413940;203.883881;;;
58;722.437317;970.709229;191.492798;712.274414;870.814331;166.070770;;;;681.192688;864.929199;163.021255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;737.993408;1250.506714;379.177032;;;;;;;717.921021;1238.378906;203.756119;;;
59;720.411987;972.487854;190.219467;709.763794;872.711487;163.971725;;;;678.481689;867.256714;160.769272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;738.523987;1251.796997;379.416595;;;;;;;718.127502;1240.347290;204.010025;;;
60;718.503784;974.021606;189.144089;707.374512;874.836548;161.995758;;;;675.934753;869.193420;158.712906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;739.240967;1253.077271;379.506226;;;;;;;718.562988;1241.826416;204.442123;;;
61;716.485413;976.053040;188.125473;704.547302;876.581543;159.950592;;;;674.321777;871.552490;155.910645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;739.870789;1254.309326;379.517426;;;;;;;718.748291;1243.657227;204.822067;;;
62;714.727539;977.327881;187.084305;702.380005;878.502258;158.100662;;;;671.881592;873.695801;153.944031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;740.179626;1255.362793;379.867920;;;;;;;719.054626;1245.198486;205.087219;;;
