Präzision34;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;
Time:;14:19:42;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
12;802.156128;753.092590;113.187500;828.780457;1035.867920;424.903381;796.698730;1008.772705;288.005585;808.987244;674.144104;51.783558;778.967651;658.918823;50.428337;;;
13;802.175476;753.095947;113.209900;828.753357;1035.944580;424.925781;796.721252;1008.802795;288.029633;808.908325;674.136536;51.742908;778.913391;658.908813;50.470501;;;
14;802.376587;753.164185;113.184631;828.763977;1035.965332;424.921478;796.721008;1008.786316;288.028259;808.939270;674.152832;51.738243;778.878113;658.792419;50.463352;;;
15;802.421509;753.182312;113.177063;828.771973;1035.962891;424.915314;796.729004;1008.794678;287.997192;809.002869;674.148865;51.782955;778.823853;658.760498;50.473274;;;
16;802.208069;753.085266;113.214195;828.817078;1035.949463;424.960938;796.807922;1008.808960;287.949310;809.030823;674.135864;51.815456;778.868896;658.792419;50.431576;;;
17;802.152527;753.037415;113.223152;828.789001;1035.954590;424.901825;796.787170;1008.707397;287.986023;809.033081;674.131287;51.821621;778.815857;658.794250;50.417057;;;
18;802.189331;753.085632;113.218811;828.826233;1035.865723;424.943756;796.805359;1008.700256;287.989960;809.022461;674.134338;51.811302;778.835083;658.819153;50.428120;;;
19;802.065491;753.064941;113.281036;828.898254;1035.870605;424.936859;796.829041;1008.798645;288.005707;808.914001;674.124695;51.707279;778.891968;658.835266;50.395802;;;
20;802.122192;752.982239;113.237083;828.860901;1035.950195;424.943390;796.863098;1008.810791;287.990387;808.842163;674.150574;51.670109;778.985657;658.862854;50.271751;;;
21;802.166077;752.968323;113.220901;828.864075;1035.976074;424.950653;796.889221;1008.690247;288.037689;808.871887;674.156982;51.696091;778.965698;658.866638;50.298836;;;
22;802.085938;752.965027;113.273239;828.900574;1035.964111;424.984955;796.897217;1008.645508;288.102509;808.888428;674.147156;51.719826;779.038879;658.765625;50.097721;;;
23;802.062988;752.916687;113.288116;828.916443;1035.956055;424.969360;796.826965;1008.686218;288.141815;808.877197;674.137390;51.808647;778.940674;658.792053;49.858521;;;
24;802.054077;752.913635;113.286201;828.910950;1035.950317;424.964508;796.829346;1008.772583;288.059296;808.879211;674.033752;51.854347;778.980042;658.914429;50.160759;;;
25;802.017944;752.852234;113.288277;828.974792;1035.940552;425.002472;796.909790;1008.691650;288.109772;808.910767;673.997131;51.881123;778.859985;658.771179;50.384178;;;
26;801.994202;752.883118;113.297348;828.985168;1035.954346;424.963074;796.891663;1008.674133;288.148163;808.961914;673.994568;51.913532;778.906311;658.731384;50.139961;;;
27;801.958618;752.897766;113.267479;828.988464;1035.943604;424.992920;796.893372;1008.674622;288.171722;808.843628;673.989441;51.944366;778.830139;658.813049;50.240612;;;
