Präzision25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;10:35:23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
35;802.407593;773.274475;95.440704;823.206360;997.528687;332.857880;785.747742;977.267944;199.258591;793.545227;684.736023;58.981491;766.648132;673.412842;52.064674;;;;;;;;;;;;;;;;;;;;;
36;802.094421;773.631653;97.119301;823.047729;998.035339;332.971497;785.515747;978.057251;199.591858;793.513794;684.973938;59.899178;766.300537;673.509399;53.724876;;;;;;;;;;;;;;;;;;;;;
37;802.038635;774.115295;98.197769;822.957214;998.585083;333.105896;785.010071;979.063232;199.827408;793.465515;684.962097;62.091354;766.113403;673.697388;55.483368;;;;;;;;;;;;;;;;;;;;;
38;801.850708;774.616089;99.763786;822.906799;999.179260;332.997955;784.530518;980.025452;200.223969;793.348083;685.359131;64.304970;766.201843;673.871155;57.136875;;;;;;;;;;;;;;;;;;;;;
39;800.838440;775.022522;101.965439;822.627014;999.861145;332.841949;784.117432;980.982117;200.404037;793.335938;685.573730;65.706245;766.113098;674.242065;59.237892;;;;;;;;;;;;;;;;;;;;;
40;800.667908;775.805176;102.773033;822.312561;1000.781799;332.926331;783.856323;982.145691;200.596497;793.419067;686.324402;68.472420;766.016602;674.700562;61.273781;;;;;;;;;;;;;;;;;;;;;
41;800.560730;776.275879;104.962120;822.001465;1001.746765;332.922028;783.769409;983.551270;200.937912;793.313049;686.504700;70.475395;766.167419;675.172119;63.197929;;;;;;;;;;;;;;;;;;;;;
42;800.395325;776.632324;107.491524;821.156128;1002.566223;333.066528;783.728271;984.740601;201.325150;793.302368;686.849365;73.164742;766.243408;675.789307;65.822151;;;;;;;;;;;;;;;;;;;;;
43;799.950928;778.050659;108.764877;820.935486;1003.574280;332.829712;783.281067;986.394043;201.702225;793.202942;687.523682;75.560768;765.427551;676.179016;68.813583;;;;;;;;;;;;;;;;;;;;;
44;799.925354;778.840576;111.680984;820.529419;1004.710693;332.675690;782.772156;988.002869;202.149017;792.940918;688.461731;78.034332;765.602844;676.527832;71.668190;;;;;;;;;;;;;;;;;;;;;
