;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
33;807.579651;824.417297;136.983765;783.703186;731.449768;114.125793;855.129578;1064.112793;235.226791;875.089355;1078.452393;326.397247;755.975525;725.885559;109.593933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;807.205200;827.014465;139.062943;783.355713;734.025818;117.240746;855.243347;1067.417236;235.289063;875.316284;1081.005615;326.486664;755.513855;728.366516;112.724495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;806.750793;829.847107;141.113434;781.917114;736.985657;120.036880;855.572144;1071.022217;235.528641;876.037781;1083.668579;326.285034;754.152649;731.125610;115.932098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;806.670593;832.490906;143.593491;781.593933;739.307800;122.793755;856.187988;1074.266846;235.534683;876.511536;1086.275513;326.023865;753.396545;734.038452;118.677986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;805.965454;835.128113;146.219330;780.518799;742.171021;125.356071;856.920532;1077.589233;235.489105;876.973389;1088.777710;326.625214;752.415527;736.985901;121.359016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;805.676697;838.100769;148.264999;779.582642;744.851318;128.416153;857.676208;1080.710083;235.863876;877.384521;1091.316040;326.754120;751.750000;739.962463;124.110260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;805.024475;841.319946;150.531174;778.378479;747.930359;130.815445;858.708862;1083.948730;236.267029;877.718567;1093.625122;326.986664;750.138916;742.906067;127.075722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;804.456177;844.093567;152.270828;777.258118;751.096069;133.120499;859.020752;1087.438354;236.281219;877.995300;1096.575928;327.051697;749.055481;746.079041;129.803848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;804.054565;846.870728;153.975388;775.716553;754.454590;135.834351;859.756409;1090.834839;236.443527;878.530090;1099.284424;327.303406;747.814270;749.427185;132.086288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;803.073975;850.572021;155.877060;775.307617;757.394775;138.018646;860.617371;1093.917847;236.805695;878.921509;1101.738281;327.387207;746.655701;752.789734;134.494492;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;802.384216;853.899292;157.940933;773.684753;760.496399;140.502487;861.320068;1097.441772;237.566803;879.773926;1104.122437;327.978668;745.251465;756.187500;136.903564;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;801.490906;856.969482;159.824478;772.101563;763.808105;142.922623;861.940796;1100.946045;237.569260;880.010315;1106.591675;328.068604;744.064819;759.725525;138.551117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;801.129150;859.808167;161.741241;771.276367;767.102844;144.409683;863.048401;1104.219971;237.277267;880.714294;1108.917847;328.522400;742.641663;763.303040;141.111603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;800.256165;863.204956;163.204468;769.007690;770.924744;146.535614;863.660767;1107.349731;237.965439;881.668152;1111.491699;328.868469;741.143799;766.937988;142.806198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;799.264282;866.880310;164.766617;767.879700;774.321533;147.837143;864.534180;1110.549683;238.478043;882.506897;1113.696655;328.751495;739.507690;770.681335;144.428146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;798.327759;870.388794;166.149002;766.136292;777.549805;149.489792;864.991455;1113.431519;239.046616;883.330750;1115.991455;328.923157;737.876770;774.427124;146.456100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;797.534119;873.540771;167.275269;764.126526;781.243958;151.205627;866.216919;1116.567261;239.332458;883.629761;1118.519653;329.547455;736.350952;778.052490;147.959717;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;796.653198;876.580139;168.594986;762.556946;784.784302;152.453003;866.924927;1119.793579;239.813965;884.129395;1120.795898;329.921722;734.633362;782.014038;149.717667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;795.318970;880.007446;169.827194;761.123413;788.177551;154.046280;867.695557;1122.910522;239.886292;885.074707;1122.899902;329.999725;732.609619;785.858582;151.140717;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;793.975342;883.267090;170.143570;759.085999;792.498535;155.047104;868.459351;1125.638184;240.483093;885.776001;1124.935913;330.176544;730.747498;789.703552;152.159149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;792.727661;887.140869;171.042419;756.521729;795.985596;156.096573;869.811157;1128.422729;240.787125;886.698853;1127.243164;330.882782;728.980103;793.711060;153.068069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;791.609802;890.664551;171.916412;755.035339;799.556274;156.925613;870.554077;1131.101685;241.362396;887.174255;1129.461670;331.255249;726.219727;797.555786;154.878830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;790.849304;893.963684;173.030579;752.897888;803.244202;157.595352;871.430176;1133.896118;242.488617;887.426575;1131.284790;331.667938;724.272400;801.494873;155.428040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;789.233887;897.106201;173.656509;750.980652;807.033813;158.040665;871.936218;1136.550049;242.789810;888.037109;1133.455200;331.961426;722.908997;805.671265;155.523834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
