Präzision38;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:29:41;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
23;783.447937;832.116272;162.805527;805.486633;732.872498;160.539398;776.235229;716.015503;161.405014;681.997009;1068.129150;209.397415;682.662476;1150.096191;368.784698;;;;;;;;;
24;782.996948;833.967773;165.987061;805.495605;734.073853;165.224960;776.919983;717.523193;165.165695;680.862488;1069.989136;210.275208;682.437439;1151.723389;369.384521;;;;;;;;;
25;782.801086;835.521545;169.370209;805.480652;736.377930;168.847168;777.058228;718.994568;169.257339;679.920166;1071.979858;210.751083;681.969238;1153.288452;370.167023;;;;;;;;;
26;782.117981;837.194885;172.018188;805.651855;737.927124;172.945358;776.832092;720.532227;173.289200;679.458008;1074.061035;210.935883;681.735535;1154.882935;370.786682;;;;;;;;;
27;781.635193;838.889160;176.019180;805.388306;739.663452;177.369644;776.755127;722.469788;177.680710;678.740112;1076.086060;211.699829;681.773438;1156.440796;371.385956;;;;;;;;;
28;780.815491;840.991638;179.202591;804.748901;741.385620;181.070099;776.933533;723.952026;181.598785;677.805298;1078.362793;211.999710;681.733887;1158.160889;372.232361;;;;;;;;;
29;780.299744;842.511230;182.476425;805.022766;743.647095;184.672119;776.659424;726.169861;185.074341;677.096802;1080.405396;212.429031;681.478821;1159.710449;372.792297;;;;;;;;;
30;779.407410;844.367615;185.733612;804.899292;745.561768;188.377975;776.470764;727.673401;189.532547;676.050842;1082.461548;213.062439;681.321472;1161.381958;373.370361;;;;;;;;;
31;778.514893;846.654846;188.753479;804.359253;747.783264;192.324509;775.631165;729.887878;193.293350;674.741333;1084.728760;214.062195;681.098816;1163.128784;373.906128;;;;;;;;;
32;777.834778;848.449280;191.867645;803.577026;749.612732;196.183167;775.675415;731.831665;197.143478;673.808105;1086.770874;214.772308;680.981934;1164.925537;374.455109;;;;;;;;;
33;776.778687;850.759705;194.610718;802.674377;752.229553;200.018173;775.151123;734.093323;200.600922;672.713074;1089.009155;215.169144;680.921265;1166.538818;375.188232;;;;;;;;;
34;775.212158;852.650513;198.194595;802.289490;754.218994;203.359482;774.226074;736.185181;204.713974;672.024536;1091.433228;215.454132;680.903320;1168.303223;375.697571;;;;;;;;;
35;774.517822;854.897644;200.622208;801.569397;756.563293;206.844849;773.244995;738.601196;208.274826;670.883118;1093.748169;216.030624;680.742859;1169.927124;376.207214;;;;;;;;;
