Präzision01165;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:51:01;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
51;749.686035;1055.225952;447.580414;753.559631;956.347900;285.085052;782.390564;664.250366;60.985420;803.362488;771.846313;106.022278;;;;;;;807.426575;682.773865;63.683765;;;;;;
52;749.526794;1056.069336;447.575104;752.620178;957.755310;285.283173;782.397034;664.874756;62.946552;803.424194;772.465759;107.802460;;;;;;;807.382507;683.096436;65.461571;;;;;;
53;749.262817;1056.825317;447.896790;751.998840;959.376160;285.236725;782.426453;665.307800;64.690720;803.411743;773.067383;109.168800;;;;;;;807.305786;683.619507;67.016891;;;;;;
54;749.049255;1057.599976;448.095398;751.531006;960.883667;285.180878;782.555603;666.023560;66.779999;803.016418;774.053589;110.992409;;;;;;;807.108887;684.182190;69.022057;;;;;;
55;748.733643;1058.380005;448.084381;751.157593;962.694580;285.400513;782.376953;666.195984;68.676331;802.892517;774.839722;112.762436;;;;;;;806.898621;684.825317;71.153664;;;;;;
56;748.630615;1059.190918;447.979187;750.432312;964.291626;285.496460;782.174316;666.437317;71.473953;802.406311;775.284790;114.047409;;;;;;;806.781921;685.547302;73.186729;;;;;;
57;748.501831;1059.983643;448.165436;749.681213;965.951050;285.968964;782.100647;666.647949;73.391357;801.946167;775.768982;115.971886;;;;;;;806.112549;686.124817;75.187141;;;;;;
58;748.227722;1060.873535;448.319366;748.639832;967.672424;286.660767;781.454834;667.470581;76.307701;801.851074;776.561768;117.769981;;;;;;;806.072327;686.559753;77.386810;;;;;;
59;747.825806;1061.769531;448.531342;747.643799;969.468018;286.903015;781.510437;668.482117;77.842094;801.405640;777.883301;120.026260;;;;;;;806.136902;686.818359;79.900856;;;;;;
60;747.448914;1062.574097;448.945343;746.920898;971.577026;286.824127;781.302795;669.128601;80.163185;800.446045;778.621277;121.482384;;;;;;;805.944946;687.398682;82.586342;;;;;;
61;747.317139;1063.336060;449.221436;746.517517;973.659180;286.935364;780.649353;669.590881;82.665207;800.160583;779.252930;123.565109;;;;;;;805.438416;688.160706;85.238213;;;;;;
62;746.910461;1064.419067;449.496979;745.512451;975.981750;287.508057;779.870117;670.192810;85.556824;799.625732;780.226746;125.901604;;;;;;;804.882629;689.192810;87.540672;;;;;;
63;746.505798;1065.373657;449.827911;744.212158;977.649841;288.098969;779.429993;671.375427;88.029816;799.110229;781.386902;128.047470;;;;;;;804.065674;690.277954;90.023186;;;;;;
64;746.292053;1066.305786;450.249786;743.397949;979.832764;288.536469;778.724304;672.524292;90.616165;798.111389;782.552551;130.317001;;;;;;;803.389954;690.888672;92.644562;;;;;;
65;746.207825;1067.489746;450.318573;742.526489;982.030579;288.586578;778.359436;673.364075;92.945045;797.221130;783.403320;132.358383;;;;;;;802.731445;691.638916;95.899063;;;;;;
66;745.859985;1068.453491;450.705170;741.512817;984.359619;288.962524;777.743225;674.205566;95.661713;796.474121;784.573303;134.620590;;;;;;;801.847473;692.725769;98.499725;;;;;;
67;745.360107;1069.510864;451.608063;740.433472;986.872009;289.664673;776.733276;675.617126;98.475517;795.484985;785.946411;137.070999;;;;;;;800.945740;694.054932;101.167770;;;;;;
68;745.056458;1070.672607;451.999054;739.462952;989.153687;290.128693;775.916870;676.763184;100.902000;794.564148;787.243225;139.341553;;;;;;;800.459961;695.089050;104.184769;;;;;;
69;744.862671;1071.712646;452.150604;738.772339;991.307983;290.297333;774.331360;677.548889;104.314110;793.263611;788.293945;142.067459;;;;;;;799.219177;695.611694;106.980362;;;;;;
70;744.590393;1073.008423;452.077393;737.672302;993.635681;290.657715;772.974426;678.467041;107.044449;792.325500;789.994141;144.622009;;;;;;;798.045044;697.324524;109.895157;;;;;;
71;744.408691;1074.322266;452.403046;736.371094;996.109253;291.788666;772.674561;679.996460;109.926041;791.151978;791.340454;147.068069;;;;;;;797.702148;698.122131;113.941246;;;;;;
72;744.394043;1075.761353;452.528412;735.171204;998.607727;292.165924;771.429199;681.387817;112.578659;789.940247;792.893127;149.226563;;;;;;;796.525940;699.259277;116.785355;;;;;;
73;744.030273;1077.029297;453.524872;734.433716;1001.210632;292.111359;770.583557;683.214844;115.052399;788.829285;794.604248;151.633133;;;;;;;795.215942;701.627319;118.834267;;;;;;
74;743.771606;1078.217896;454.069427;733.402344;1003.737732;292.677307;769.704346;684.901245;118.316742;787.764404;796.052368;154.036575;;;;;;;794.788269;702.501038;122.220940;;;;;;
75;743.572815;1079.524902;454.228760;731.931152;1006.334412;293.756409;768.314209;686.171631;121.064262;786.293152;798.208313;156.435638;;;;;;;793.627075;703.842773;125.588478;;;;;;
76;743.250000;1080.924805;454.489990;730.989746;1008.841125;294.450989;767.436096;687.608398;123.421509;785.117310;799.569214;158.304260;;;;;;;792.790771;705.770630;127.972717;;;;;;
77;742.821167;1082.304565;454.914490;730.166504;1011.406372;294.602448;766.330322;689.827393;126.009689;783.341675;801.660950;160.632996;;;;;;;791.057617;707.771667;130.251831;;;;;;
78;742.456543;1083.747192;455.497711;729.045044;1014.037415;295.474548;765.163879;691.386475;128.578003;781.942871;803.453003;163.149094;;;;;;;790.396729;709.394104;134.151123;;;;;;
79;742.375244;1085.052612;455.984833;727.837524;1017.007141;296.181091;764.046631;693.566956;131.059616;780.352356;805.626343;165.471222;;;;;;;789.658630;710.904297;136.653793;;;;;;
80;742.238708;1086.490601;456.623230;727.019470;1019.691650;296.638123;762.814941;695.002380;133.915985;778.826538;807.668823;167.541611;;;;;;;788.171814;712.893616;138.596436;;;;;;
81;741.741821;1087.880127;457.420197;725.537292;1022.343384;297.428131;761.405273;697.061768;136.085205;777.283936;810.007690;169.698807;;;;;;;786.420410;714.948914;141.107544;;;;;;
82;741.447632;1089.276611;458.058929;724.264832;1025.069336;298.529419;759.612122;698.874939;138.607635;776.088745;812.088440;171.179123;;;;;;;785.107666;717.454163;143.042618;;;;;;
83;741.328918;1090.726929;458.568085;723.477112;1027.795532;299.090576;758.711365;701.201111;140.166473;774.546753;814.458496;173.521057;;;;;;;783.492859;719.417908;145.211182;;;;;;
84;741.339661;1092.230347;458.883667;722.285461;1030.651611;300.128693;757.313599;703.348083;142.465439;772.923828;816.312866;175.098923;;;;;;;781.854980;722.003784;147.508972;;;;;;
85;741.396851;1093.661133;459.372803;721.280212;1033.350220;300.918976;756.063171;705.982117;144.502640;771.232788;819.022278;176.905212;;;;;;;781.209290;723.384949;149.763092;;;;;;
86;741.296204;1095.231689;459.832489;720.315918;1036.002075;301.435486;754.420166;708.014648;146.505936;769.471558;821.045044;178.704254;;;;;;;779.554016;726.182068;151.615479;;;;;;
87;740.966309;1096.664795;460.408264;718.980103;1038.621460;302.446594;753.187378;710.358093;148.000854;767.616089;822.913452;179.622955;;;;;;;777.881104;728.217407;153.415833;;;;;;
88;740.384949;1098.159302;461.380219;717.895386;1041.288940;303.276672;751.584290;712.807983;150.285965;766.209839;826.025574;181.884232;;;;;;;776.277649;730.837769;155.091110;;;;;;
89;739.944824;1099.486938;462.132111;717.172119;1044.044678;304.033569;750.108704;715.284973;151.582047;764.892273;828.571106;183.312332;;;;;;;774.468445;733.464539;157.143967;;;;;;
90;739.842896;1100.904663;462.745178;715.728516;1046.766479;304.922272;748.283630;717.761230;153.387619;763.401245;831.232361;184.754822;;;;;;;773.376282;735.442627;158.932846;;;;;;
91;739.942078;1102.375122;463.334045;714.691345;1049.240845;305.870331;746.625305;720.212646;154.764771;762.018616;833.462280;185.698883;;;;;;;771.661499;738.305847;160.739532;;;;;;
92;739.954041;1103.886597;464.308655;713.997437;1051.560913;306.414246;745.142395;722.847595;155.579208;760.335632;836.325012;187.373932;;;;;;;770.273132;740.561401;161.546631;;;;;;
93;739.712036;1105.470093;464.752563;713.096680;1054.027588;307.201172;743.039246;725.346252;157.416428;758.866333;838.935608;188.603622;;;;;;;768.505737;742.963440;162.842865;;;;;;
94;739.503784;1106.873169;465.423737;712.198181;1056.468750;308.116241;741.356201;727.693542;158.602478;756.955688;841.312622;189.847672;;;;;;;766.922974;745.659058;163.747940;;;;;;
95;739.509155;1108.331177;465.888092;711.184631;1058.933960;309.124298;739.857849;730.734863;159.749374;755.131714;844.050415;190.852173;;;;;;;764.597290;748.300842;164.905258;;;;;;
96;739.541382;1109.860962;466.249237;709.942017;1061.534790;310.199554;737.830200;733.219666;160.431595;753.184509;846.818848;192.070938;;;;;;;763.216736;751.268616;165.672974;;;;;;
97;739.505859;1111.220459;466.993591;708.594116;1064.140747;311.366577;736.374146;736.005249;161.507187;751.680786;849.384399;193.105042;;;;;;;761.640930;753.938904;167.449738;;;;;;
98;739.304871;1112.600952;468.034485;707.442810;1066.745605;312.521423;734.242188;738.918274;162.696747;749.991333;852.251587;193.877808;;;;;;;759.929688;756.229675;167.915039;;;;;;
99;738.959778;1113.997070;468.978455;706.757324;1069.403076;313.451385;732.769592;741.644409;163.553513;748.162781;854.875977;194.623260;;;;;;;757.615295;759.674011;168.761215;;;;;;
100;738.744324;1115.362427;469.716156;705.977234;1072.180908;314.182251;731.198669;744.434448;163.892761;746.355408;857.676025;195.272583;;;;;;;756.337036;762.139160;169.548309;;;;;;
101;738.894104;1116.834961;470.208405;705.526001;1074.941772;314.911438;729.121033;747.268921;164.791656;744.755737;860.609802;196.198547;;;;;;;754.653198;764.374207;170.014267;;;;;;
102;739.128235;1118.262451;470.671021;704.710571;1077.751831;315.016663;727.506531;749.940002;165.738235;742.887024;862.993469;197.132324;;;;;;;752.248352;767.901978;170.917480;;;;;;
103;739.138977;1119.613770;471.411560;704.016052;1080.224243;315.614349;725.674866;752.630859;166.127365;741.007690;865.900879;197.913269;;;;;;;750.455322;770.770325;171.457520;;;;;;
104;738.899048;1121.051270;472.248901;702.948242;1082.841431;317.212189;723.592651;755.751709;166.797836;739.530884;868.962219;198.519791;;;;;;;748.483948;773.287964;172.179413;;;;;;
