;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
29;788.372314;784.988892;128.957870;;;;788.824097;690.117615;91.028091;;;;;;;760.152039;682.870972;83.270508;;;;760.421204;1101.752686;368.307037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;788.218018;787.085388;131.566376;;;;788.813293;691.481262;94.497383;;;;;;;760.212708;683.990173;86.570099;;;;760.188904;1103.567261;367.916168;;;;;;;;;;749.306030;1043.945190;206.140976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;788.224915;788.688721;134.267471;;;;788.737793;693.171204;98.290756;;;;;;;760.435852;685.448914;90.034088;;;;759.680054;1105.401978;368.117432;;;;;;;;;;748.538452;1046.147461;206.381226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;788.005493;790.917114;136.665833;;;;789.050415;694.654724;101.531036;;;;;;;760.581970;686.883789;94.173958;;;;759.242554;1107.250000;368.240631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;787.883240;792.989319;139.536591;;;;788.950317;696.364380;105.131783;;;;;;;760.377808;688.396606;97.917091;;;;759.016602;1109.258423;368.255249;;;;;;;;;;;;;747.026917;1051.598755;205.135208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;787.524170;795.378296;141.566193;;;;788.640564;698.453857;108.342323;;;;;;;760.268250;690.048584;101.761314;;;;758.676453;1111.264038;368.528320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;786.977966;797.284119;144.480911;;;;788.997314;700.269592;111.736870;;;;;;;759.757080;691.659363;105.760986;;;;758.494324;1113.418945;368.462708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;786.715027;799.836182;147.527252;;;;788.748840;702.686523;115.539040;;;;;;;759.816589;693.699280;109.306747;;;;758.329041;1115.527100;368.611298;;;;;;;;;;;;;;;;745.238464;1060.475586;204.720520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;785.914612;802.432190;149.673996;;;;788.529785;704.897156;118.959373;;;;;;;759.878601;696.252991;112.463959;;;;757.891907;1117.267090;368.985840;;;;;;;;;;;;;;;;743.982788;1063.734741;204.841721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;785.606323;804.958679;152.759094;;;;788.236084;706.991455;122.642105;;;;;;;759.592896;698.505188;115.897697;;;;757.925415;1119.368774;368.567139;;;;;;;;;;;;;;;;743.471191;1067.002930;204.274918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;785.219666;807.658264;155.726746;;;;787.753662;709.616333;126.466385;;;;;;;759.282227;700.733765;119.599007;;;;757.630188;1121.518188;368.666595;;;;;;;;;;;;;;;;742.806580;1070.021729;204.356003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;784.401245;810.754517;158.470108;;;;787.015686;712.631714;129.811569;;;;;;;758.111267;703.185242;123.941193;;;;757.171997;1123.750854;368.757690;;;;;;;;;;;;;;;;742.382568;1073.359741;203.871765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;783.693237;813.707642;161.080353;;;;786.715637;714.971375;133.130020;;;;;;;757.613770;705.828552;127.161751;;;;756.867249;1125.938110;368.839355;;;;;;;;;;;;;;;;741.748047;1076.585327;204.149582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;783.036865;816.513489;163.058090;;;;786.036865;717.719421;136.303513;;;;;;;757.115784;708.451416;130.725021;;;;756.673035;1128.143433;369.328827;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;782.396423;819.764038;166.365555;;;;784.923035;720.640320;139.888519;;;;;;;755.859680;711.281982;134.643494;;;;756.469421;1130.601685;369.487305;;;;;;;;;;;;;;;;;;;740.776367;1083.446289;203.311264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;781.425232;823.164856;168.991058;;;;784.701965;723.450378;142.744766;;;;;;;755.158997;714.331909;138.354141;;;;756.182434;1132.983765;369.456390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;780.634644;826.688049;171.437057;;;;783.620422;726.900330;145.659042;;;;;;;754.549988;717.685425;141.105667;;;;755.907166;1135.263184;369.422241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
