;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
20;813.379333;782.357056;80.199959;773.470947;1085.207764;357.215332;771.402832;1020.549988;197.457397;774.579895;677.442139;43.156315;804.535645;687.211670;44.996181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;813.197021;782.348450;80.102455;773.476318;1085.188965;357.186188;771.442932;1020.545898;197.510391;774.490051;677.383545;43.272202;804.299988;687.319397;44.758957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;813.355957;782.354065;80.128952;773.514038;1085.167480;357.127106;771.408752;1020.539856;197.608856;774.522766;677.400696;43.274250;804.238647;687.347900;44.668186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;813.319763;782.338135;80.175369;773.435242;1085.183716;357.221436;771.455383;1020.555481;197.642532;774.442688;677.395874;43.302349;804.398743;687.245239;44.916546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;813.369934;782.328003;80.223831;773.414978;1085.157837;357.245636;771.425964;1020.544250;197.657806;774.450073;677.375488;43.310032;804.283997;687.304321;44.700809;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;813.289063;782.319641;80.129692;773.429016;1085.060669;357.256226;771.405151;1020.539856;197.669495;774.463806;677.373169;43.303864;803.062622;687.692200;43.645004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;813.335022;782.294739;80.146652;773.384033;1084.918701;357.606476;771.425659;1020.542419;197.703293;774.455078;677.387695;43.281872;802.743652;687.833557;43.176704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;813.357117;782.292664;80.150185;773.254211;1084.902954;357.764801;771.450378;1020.532776;197.713333;774.449463;677.372437;43.281593;803.624817;687.679626;44.086708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;813.326477;782.305847;80.230255;773.278992;1084.928223;357.826538;771.444336;1020.533569;197.715530;774.524414;677.394165;43.195320;803.242432;687.675964;43.755436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;813.363464;782.303650;80.210190;773.218079;1084.917236;357.789063;771.379272;1020.519348;197.756546;774.484497;677.372925;43.203030;802.900269;687.732849;43.425358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
