;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
30;812.777771;766.182983;84.823456;795.067383;677.460449;53.622803;832.434448;996.261169;337.592590;765.611572;672.362793;46.180065;799.041138;963.569092;198.460449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;812.526611;766.269897;84.894783;794.784546;677.319275;53.537552;832.516235;996.409912;337.563751;765.469055;672.511719;46.366596;798.671875;963.677551;198.507553;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;812.339844;766.317932;85.076973;794.831970;677.360901;53.621521;832.530151;996.526611;337.374634;765.330322;672.554932;46.524261;798.378662;963.802795;198.467270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;812.210388;766.436890;85.095573;794.232178;677.672852;53.480614;832.373779;996.807434;337.338593;765.173950;672.697266;46.551624;798.072937;963.898499;198.410629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;811.667664;766.642639;85.360924;793.925659;677.905029;53.488983;832.204224;996.994934;337.293701;765.357178;672.886841;46.597252;797.753296;964.098877;198.313919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;811.712830;767.697937;86.296700;793.591736;678.281555;53.404873;832.071167;997.300598;337.335846;765.320251;672.938904;46.428131;797.464966;964.342041;198.112610;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;810.838379;767.439270;86.030685;793.226257;678.525696;53.696514;831.868408;997.544922;337.381042;765.117554;673.157898;46.891357;797.261658;964.554260;198.059036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;810.347717;767.509705;86.093880;792.863586;678.755859;53.874271;831.632385;997.772278;337.415100;764.378906;673.361145;47.854633;796.946472;964.956604;198.139740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;810.343567;767.830078;86.206886;791.962769;679.232910;54.766819;831.535889;997.997681;337.299133;763.616760;673.539124;48.850967;796.578125;965.296875;198.224457;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;809.748474;768.140015;86.791763;791.187866;679.491821;55.885921;831.357544;998.225952;337.165802;763.234802;673.562256;49.437599;796.393188;965.719238;198.213287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
