Präzision01166;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/28;;;;;;;;;;;;;;;;;;;;
Time:;11:54:48;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
12;832.463257;763.180176;73.708145;833.401367;978.472534;197.601547;794.379028;654.046753;41.175213;850.748474;1053.844116;413.317902;810.859558;677.562439;36.361103;;;;;;
13;832.440430;763.512512;74.114586;833.360840;978.703064;197.541016;794.469788;654.203674;42.586781;851.062744;1053.778687;413.055023;811.221985;678.321533;37.882877;;;;;;
14;832.436523;763.797852;74.475021;833.267029;979.225525;197.526718;794.587524;654.368408;44.505604;851.177795;1053.819946;412.825806;815.391235;677.537781;43.841454;;;;;;
15;832.552368;764.089661;75.427773;833.009644;979.970581;197.581863;794.782593;654.463928;45.717594;851.283691;1053.765015;412.704926;818.469360;676.627197;48.212063;;;;;;
16;832.498596;764.730652;76.621132;832.774902;980.877625;197.703629;794.947876;654.645874;46.567146;851.392517;1053.695923;412.519257;818.996399;676.705872;49.880295;;;;;;
17;832.277283;765.532288;77.584908;832.607727;981.694153;197.625870;795.032288;655.169800;48.612804;851.466125;1053.572388;412.181671;818.056335;677.343872;50.196674;;;;;;
18;832.386597;766.184753;78.691582;832.325989;982.509155;197.428543;794.631287;655.370239;51.390705;851.632019;1053.509521;411.877747;817.463013;677.968262;51.868027;;;;;;
19;832.288635;766.842590;79.935463;832.229370;983.739868;197.039902;794.510132;655.687866;53.811722;851.685608;1053.527832;411.744873;816.883972;678.613892;53.445503;;;;;;
20;832.131592;767.229431;81.741508;832.244324;985.159363;196.529327;794.947937;656.294617;56.172226;851.665039;1053.531006;411.664398;817.046082;678.921143;55.469154;;;;;;
21;832.073669;768.022522;83.598480;832.491272;986.365723;196.199051;794.845947;657.060730;58.668060;851.597778;1053.572266;411.531433;816.792908;679.689697;58.348461;;;;;;
22;832.077026;769.137390;85.297333;832.076477;987.656677;196.735977;794.789856;657.730774;61.251339;851.609985;1053.656860;411.534515;817.490967;680.215576;61.210075;;;;;;
23;831.832581;770.309326;87.006844;831.463562;989.227722;197.223175;794.658691;658.351074;64.261002;851.547791;1053.771118;411.503387;817.844116;680.914856;64.876801;;;;;;
24;831.583984;771.002869;89.434563;831.101318;990.370422;197.279999;794.080505;659.177490;67.767029;851.495300;1053.984985;411.468018;817.509583;681.794495;67.357201;;;;;;
25;831.566833;771.733887;91.370193;830.916321;991.977356;197.303864;793.951904;659.989136;70.703857;851.506104;1054.213745;411.496368;817.320923;681.961914;70.577141;;;;;;
26;831.072815;773.262573;93.531372;831.009583;993.552551;197.213684;793.717590;660.920837;74.009308;851.639709;1054.467896;411.387024;817.356018;682.670471;73.449631;;;;;;
27;830.895264;774.376282;96.043732;831.129639;995.259155;197.045685;793.640503;661.677368;77.016075;851.650940;1054.800293;411.271362;816.465942;684.380066;76.203720;;;;;;
28;830.422058;775.246643;98.495338;831.202209;997.012695;196.867615;793.298218;663.027161;80.187637;851.545959;1055.240845;411.229340;815.811523;685.791138;79.549980;;;;;;
