PTP209
Date:,2025/04/08
Time:,13:36:21
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
165,79.272316,338.463318,121.236244,,,,,,,,,,,,,,,,,,
166,79.250748,338.473389,121.249664,,,,,,,,,,,,,,,,,,
167,79.197212,338.475220,121.219437,,,,,,,,,,,,,,,,,,
168,79.181122,338.469574,121.171455,,,,,,,,,,,,,,,,,,
169,79.116417,338.496948,121.183647,,,,,,,,,,,,,,,,,,
170,79.138054,338.485901,121.105194,,,,,,,,,,,,,,,,,,
171,79.038307,338.513367,121.100548,,,,,,,,,,,,,,,,,,
172,79.040878,338.518555,121.078720,,,,,,,,,,,,,,,,,,
173,78.976036,338.530975,121.020111,,,,,,,,,,,,,,,,,,
174,78.896301,338.531219,120.954254,,,,,,,,,,,,,,,,,,
175,78.755051,338.460236,120.945290,,,,,,,,,,,,,,,,,,
176,78.679482,338.404694,120.967178,,,,,,,,,,,,,,,,,,
177,78.644180,338.361816,120.920403,,,,,,,,,,,,,,,,,,
178,78.581398,338.305481,120.893181,,,,,,,,,,,,,,,,,,
179,78.544228,338.214569,120.895393,,,,,,,,,,,,,,,,,,
180,78.537819,338.205536,120.907646,,,,,,,,,,,,,,,,,,
181,78.575035,338.162109,121.065788,,,,,,,,,,,,,,,,,,
182,78.573151,338.120300,121.170631,,,,,,,,,,,,,,,,,,
183,78.659569,338.131866,121.168983,,,,,,,,,,,,,,,,,,
184,78.750969,338.042328,121.169662,,,,,,,,,,,,,,,,,,
185,78.833405,338.021637,121.194008,,,,,,,,,,,,,,,,,,
186,78.922539,338.007690,121.218330,,,,,,,,,,,,,,,,,,
187,78.952286,337.996826,121.206291,,,,,,,,,,,,,,,,,,
188,79.022881,337.984894,121.206200,,,,,,,,,,,,,,,,,,
189,79.050804,337.987244,121.194534,,,,,,,,,,,,,,,,,,
190,79.050262,337.988403,121.192429,,,,,,,,,,,,,,,,,,
191,79.048378,337.988464,121.193665,,,,,,,,,,,,,,,,,,
192,79.079315,337.969452,121.151520,,,,,,,,,,,,,,,,,,
193,79.006119,337.989990,121.118935,,,,,,,,,,,,,,,,,,
194,78.991325,337.991547,121.098511,,,,,,,,,,,,,,,,,,
195,78.977013,337.989594,121.128891,,,,,,,,,,,,,,,,,,
196,78.896133,338.011627,121.113953,,,,,,,,,,,,,,,,,,
197,78.888092,338.015137,121.110336,,,,,,,,,,,,,,,,,,
198,78.891937,338.013977,121.110046,,,,,,,,,,,,,,,,,,
199,78.892853,338.013580,121.110107,,,,,,,,,,,,,,,,,,
200,78.892723,338.013611,121.110176,,,,,,,,,,,,,,,,,,
201,78.903496,338.081177,121.090263,,,,,,,,,,,,,,,,,,
202,78.922302,338.090332,121.053337,,,,,,,,,,,,,,,,,,
203,79.018219,338.077332,121.089966,,,,,,,,,,,,,,,,,,
204,79.037796,338.141846,121.077980,,,,,,,,,,,,,,,,,,
205,79.095436,338.152344,121.122185,,,,,,,,,,,,,,,,,,
206,79.137924,338.228607,121.105431,,,,,,,,,,,,,,,,,,
207,79.183701,338.314728,121.056145,,,,,,,,,,,,,,,,,,
208,79.270668,338.336121,121.076057,,,,,,,,,,,,,,,,,,
209,79.329803,338.390076,121.018524,,,,,,,,,,,,,,,,,,
210,79.304291,338.454742,120.994919,,,,,,,,,,,,,,,,,,
211,79.369553,338.537842,120.956367,,,,,,,,,,,,,,,,,,
212,79.396095,338.562439,120.911781,,,,,,,,,,,,,,,,,,
213,79.473267,338.623718,120.914368,,,,,,,,,,,,,,,,,,
214,79.426353,338.641541,120.881104,,,,,,,,,,,,,,,,,,
215,79.438713,338.644409,120.866486,,,,,,,,,,,,,,,,,,
216,79.460533,338.644257,120.833405,,,,,,,,,,,,,,,,,,
217,79.452438,338.707214,120.818695,,,,,,,,,,,,,,,,,,
218,79.471252,338.718658,120.808304,,,,,,,,,,,,,,,,,,
219,79.527840,338.703735,120.842743,,,,,,,,,,,,,,,,,,
220,79.532417,338.700500,120.849213,,,,,,,,,,,,,,,,,,
221,79.523193,338.710083,120.877579,,,,,,,,,,,,,,,,,,
222,79.592422,338.695221,120.792343,,,,,,,,,,,,,,,,,,
223,79.650650,338.691284,120.841034,,,,,,,,,,,,,,,,,,
224,79.682083,338.670044,120.811317,,,,,,,,,,,,,,,,,,
225,79.677299,338.678741,120.835365,,,,,,,,,,,,,,,,,,
226,79.761208,338.680817,120.859787,,,,,,,,,,,,,,,,,,
227,79.813728,338.687836,120.846581,,,,,,,,,,,,,,,,,,
228,79.851768,338.658264,120.877213,,,,,,,,,,,,,,,,,,
229,79.905098,338.663116,120.916565,,,,,,,,,,,,,,,,,,
230,79.925186,338.666199,120.888725,,,,,,,,,,,,,,,,,,
231,79.956322,338.695374,120.874023,,,,,,,,,,,,,,,,,,
232,79.921600,338.663910,120.852646,,,,,,,,,,,,,,,,,,
233,79.922913,338.664978,120.878113,,,,,,,,,,,,,,,,,,
234,79.917221,338.660217,120.858292,,,,,,,,,,,,,,,,,,
235,79.823776,338.615570,120.986473,,,,,,,,,,,,,,,,,,
236,79.858505,338.589539,120.974586,,,,,,,,,,,,,,,,,,
237,79.841286,338.581665,120.907059,,,,,,,,,,,,,,,,,,
238,79.810005,338.587280,120.797058,,,,,,,,,,,,,,,,,,
239,79.802200,338.599579,120.816833,,,,,,,,,,,,,,,,,,
240,79.808136,338.589722,120.797035,,,,,,,,,,,,,,,,,,
241,79.810379,338.588013,120.791100,,,,,,,,,,,,,,,,,,
242,79.810143,338.588379,120.791862,,,,,,,,,,,,,,,,,,
243,79.815056,338.579315,120.765038,,,,,,,,,,,,,,,,,,
