PTP255
Date:,2025/04/23
Time:,14:00:59
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3
Field #,X,Y,Z,X,Y,Z,X,Y,Z
255,538.317200,848.232422,98.282745,,,,,,
256,538.274963,848.276917,98.319229,,,,,,
257,538.296692,848.253235,98.175598,,,,,,
258,538.497681,848.203308,98.071663,,,,,,
259,538.371582,848.262878,98.050041,,,,,,
260,538.476501,848.241150,97.976936,,,,,,
261,538.534485,848.236938,97.898773,,,,,,
262,538.648804,848.459900,97.944122,,,,,,
263,538.559753,848.285278,97.884903,,,,,,
264,538.522705,848.313171,97.867996,,,,,,
265,538.526733,848.335693,97.863358,,,,,,
266,538.555115,848.331787,97.800247,,,,,,
267,538.467224,848.269104,97.951134,,,,,,
268,538.566284,848.361084,98.192802,,,,,,
269,538.492859,848.355652,97.856773,,,,,,
270,538.537292,848.372681,97.683586,,,,,,
271,538.547424,848.286926,97.847588,,,,,,
272,538.542603,848.249817,97.724609,,,,,,
273,538.542542,848.206970,97.780128,,,,,,
274,538.552063,848.247314,97.655998,,,,,,
275,538.567810,848.271912,97.610573,,,,,,
276,538.515076,848.287720,97.566582,,,,,,
277,538.530518,848.287231,97.516045,,,,,,
278,538.507080,848.191711,97.580811,,,,,,
279,538.504028,848.156433,97.554420,,,,,,
280,538.460083,848.157288,97.573280,,,,,,
281,538.430847,848.178589,97.507149,,,,,,
282,538.415771,848.180908,97.481613,,,,,,
283,538.444763,848.064575,97.579483,,,,,,
284,538.408386,848.059326,97.538651,,,,,,
285,538.463379,848.057556,97.532333,,,,,,
286,538.466736,848.061096,97.558067,,,,,,
287,538.488892,847.976929,97.565628,,,,,,
288,538.557190,848.051758,97.472244,,,,,,
289,538.574524,848.086182,97.455147,,,,,,
290,538.693176,848.096497,97.354630,,,,,,
291,538.734680,848.014954,97.296143,,,,,,
292,538.714478,847.962402,97.375259,,,,,,
293,538.743530,847.941650,97.402466,,,,,,
294,538.831848,847.870483,97.426537,,,,,,
295,538.872742,847.842651,97.497955,,,,,,
296,538.884033,847.817322,97.580765,,,,,,
297,538.881165,847.807007,97.575645,,,,,,
298,538.928162,847.717163,97.782089,,,,,,
299,538.917053,847.833191,97.843018,,,,,,
300,538.985901,847.881531,97.782379,,,,,,
301,538.876770,847.713745,97.804199,,,,,,
302,538.912170,847.691406,97.582405,,,,,,
303,538.767944,847.688782,97.788216,,,,,,
304,538.835510,847.759277,97.661278,,,,,,
305,538.874878,847.786560,97.570015,,,,,,
306,538.839233,847.808167,97.705551,,,,,,
307,538.830811,847.823303,97.535355,,,,,,
308,538.834778,847.949585,97.309158,,,,,,
309,538.833130,848.020996,97.223030,,,,,,
310,538.792725,848.012939,97.256897,,,,,,
311,538.796692,848.127380,97.170578,,,,,,
312,538.929626,848.233459,97.154152,,,,,,

