PTP210
Date:,2025/04/08
Time:,13:36:24
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
81,97.759796,385.856079,142.884552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,96.833366,383.530945,142.566513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,95.615944,381.267212,142.634262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,94.649086,378.991852,142.098679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,94.095268,376.558807,141.225998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,93.413078,374.756104,140.978119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,92.405434,372.716797,140.739075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,91.325264,370.826630,140.429337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,90.895065,369.011169,139.717163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,90.488152,367.037445,139.076340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,89.815735,365.370148,138.849579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,89.273880,363.648743,138.573822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,88.700928,361.907410,137.631363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,88.151588,360.181641,136.973694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,87.618645,358.640015,136.520477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,87.220398,357.218475,136.126907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,86.905563,355.657349,135.688553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,86.638542,354.006836,134.859329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,86.258354,352.713867,134.205750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,85.587204,351.827606,133.901428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,85.311844,350.279144,133.490128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,85.075127,349.081543,132.765350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,84.958260,348.213776,132.158844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,84.792564,347.077362,131.439743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,84.581818,346.100250,130.914291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,84.486816,345.423645,130.228897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,84.461777,344.557129,129.678589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,84.406090,343.599396,128.939896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,84.408440,342.603394,128.051453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,84.162842,342.094177,127.264061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,84.102638,341.549347,126.993484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,84.090446,340.731628,126.494705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,83.983688,339.802887,125.857948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,83.844589,339.138580,124.692978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
