Weight62
Date:,2025/04/30
Time:,17:44:38
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
52,,,,675.234924,629.271606,191.649673,988.074036,815.262024,438.170319,611.368103,675.471741,195.282242,940.227844,842.541748,268.076263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,669.969238,629.567566,192.509491,985.017578,815.128418,438.440063,606.498657,675.938110,195.948273,935.652588,842.853455,267.812531,,,,,,,,,,,,,,,,721.147095,720.294556,192.026749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,664.824463,629.834351,192.975388,981.974792,815.082947,438.017242,601.793762,676.309814,196.875977,931.662781,842.460022,267.153351,,,,,,,,,,,,,,,,716.230347,720.343933,192.640228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,659.836975,630.106934,193.125122,978.521912,815.032532,438.422150,596.906921,676.756042,197.440094,926.612915,842.117310,267.517487,,,,,,,,,,,,,,,,711.219971,720.553284,193.195724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,654.707703,630.312500,193.365067,975.436951,814.750916,437.960266,591.925354,677.137329,197.971924,,,,,,,,,,,,,,,,,,,706.284729,720.839294,193.532089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,649.621704,630.571472,193.423691,971.920715,814.760559,437.994843,586.858215,677.396118,198.459167,,,,,,,,,,,,,,,,,,,701.392761,721.140076,193.610168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,644.607727,631.016663,193.615128,968.966797,814.437683,438.010681,581.767822,677.767090,199.063797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,639.525024,631.313232,193.688370,965.487183,814.309143,437.739075,576.737061,678.135498,199.381790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,634.409912,631.522400,193.473251,962.472229,814.283142,438.052063,571.682617,678.564148,199.580826,,,,,,,,,,,,,,,,,,,,,,686.054932,721.931519,195.115540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,629.534668,631.727234,193.140671,959.374817,814.107727,437.408966,566.813538,678.880188,199.474533,,,,,,,,,,,,,,,,,,,,,,681.107300,722.290527,194.890656,898.380127,841.690002,269.180115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,624.497070,632.015381,193.146866,955.475952,813.987000,438.015869,561.787964,679.194763,199.182144,,,,,,,,,,,,,,,,,,,,,,675.754456,722.410156,195.334290,893.619202,841.278381,269.640869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,619.147339,632.254028,192.924438,952.654175,813.888123,437.802856,556.831604,679.650452,198.946213,,,,,,,,,,,,,,,,,,,,,,670.765137,722.375427,195.333527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,614.324890,632.654846,191.916107,949.172241,813.659058,437.384521,551.817261,680.088928,198.964890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,609.497925,633.096985,191.231689,945.879150,813.261292,437.485107,547.167603,680.424316,198.486664,,,,,,,,,,,,,,,,,,,,,,,,,,,,661.713257,722.843811,194.410751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,604.669250,633.399109,190.511292,942.859436,812.889893,437.132294,542.435364,680.803101,197.738022,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.589294,722.901489,194.913055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,599.799744,633.702759,189.731537,939.179688,812.707703,437.529602,537.849670,681.243774,197.456741,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.728455,723.207581,194.214630,870.625977,840.678528,270.780334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,594.534424,633.995728,189.365982,936.633850,812.254456,437.351532,532.824524,681.972473,196.424622,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.020142,723.377930,193.576218,866.198975,840.107178,271.134827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,589.584106,634.384583,188.617172,932.818848,812.181946,437.439606,528.311157,682.401428,195.155548,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.435547,723.454285,193.188263,861.995422,839.068054,271.242767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,585.195496,635.048767,187.215668,929.992676,811.885620,437.179871,523.692993,682.903870,194.411316,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.574707,723.643433,191.570709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,580.641663,635.397766,186.404587,926.288696,811.606506,437.058960,519.208923,683.477539,193.281586,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.230713,723.849121,190.981094,,,,853.386169,838.887451,270.969910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,575.816406,635.681458,185.433151,923.067505,811.139648,437.004303,514.581055,684.008911,192.486465,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.603882,724.066589,190.412094,,,,848.831848,838.395020,271.358704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,571.265930,636.067566,184.283875,920.287781,810.654297,436.989319,510.203339,684.444580,191.683197,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.947815,724.418030,189.650238,,,,844.446594,837.902771,271.952179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,566.957458,636.565369,182.660934,916.664612,810.408997,436.964722,506.017853,685.040466,190.124435,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.925415,724.402954,188.860931,,,,840.680054,837.056274,272.135132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,562.644958,636.963440,181.683304,913.871582,809.936462,436.918610,501.766724,685.855774,188.715347,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.662598,724.918030,188.359192,,,,837.242554,836.857605,271.954926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,558.229431,637.381042,180.519699,910.327087,809.634521,436.888580,497.594055,686.579224,186.930420,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.626526,725.101990,187.553955,,,,833.037354,836.519958,272.048004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,554.028320,637.884888,179.223145,907.690491,809.043213,436.630371,493.190277,687.054993,186.390594,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.656433,725.391113,186.809433,,,,829.072815,836.163147,272.185791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,549.725098,638.404297,178.060867,904.282532,808.645203,437.054016,489.293488,687.651794,185.004852,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.044556,725.617310,185.273590,,,,825.556274,835.585815,271.778931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,545.591248,638.715698,176.703705,901.483337,808.270386,436.500183,485.251556,688.496155,183.066147,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.663940,725.874390,184.694443,,,,821.758240,834.969849,271.911987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,542.058350,639.172791,175.041901,898.355835,807.993286,436.532654,481.603912,689.183228,181.007065,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.319275,726.268982,182.935059,,,,818.263794,834.459900,272.002808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,538.213745,639.579712,173.309967,895.213257,807.475952,436.467743,477.815643,689.596313,179.779953,,,,,,,,,,,,,,,,,,,,,,,,,,,,593.860046,726.496033,181.644791,,,,814.953979,833.979065,272.089203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,534.528564,640.175049,171.857498,892.351379,807.120667,436.443024,474.335205,690.218628,178.238434,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.106506,726.951294,180.695328,,,,811.218750,833.671387,272.228119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,530.637207,640.645142,170.491043,889.457825,806.373352,436.217163,470.798096,690.985657,176.260803,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.163818,726.957458,179.019333,,,,807.975220,832.892334,271.722046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,526.872681,641.253052,169.338562,886.586121,806.004333,436.249603,467.167603,691.629333,174.903000,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.421631,727.526184,178.024734,,,,804.851257,832.292725,271.235107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,523.379944,641.705627,167.369263,883.875000,805.674438,436.136139,463.540771,692.573853,172.990952,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.985840,727.998840,177.217209,,,,801.608032,831.828308,271.181366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,520.054443,642.245972,165.725327,881.124939,805.124146,435.628174,460.400024,693.392639,171.006165,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.046326,728.279114,175.421524,,,,798.286438,831.403503,271.060120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,516.938293,642.884277,163.877655,878.419983,804.825317,435.537872,457.467407,694.192444,168.913208,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.022034,728.453735,173.647339,,,,795.745972,830.872864,270.943054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,513.480957,643.596802,162.380951,875.874939,804.431396,434.936401,454.339447,695.042114,166.920914,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.754089,728.914612,173.330307,,,,792.546509,830.284180,270.763855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,510.322754,644.149292,160.874298,873.104309,803.609009,434.995544,451.440491,695.683044,165.175308,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.772644,729.337891,171.378372,,,,789.604309,829.857239,270.536713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,507.394897,644.773682,158.793076,870.701538,803.384033,434.601990,448.499908,696.278320,163.193771,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.212280,729.555237,170.003769,,,,786.838867,829.478455,270.295624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,504.309204,645.300720,156.838379,868.153992,803.161560,434.701324,445.542633,697.146179,161.143967,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.454895,729.944153,168.170868,,,,783.803589,828.891296,269.605194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,501.453003,645.955505,155.167938,865.547546,802.703308,434.546173,442.777374,697.868896,159.732376,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.004822,730.170532,166.727417,,,,781.391174,828.395142,269.411957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
