Weight33
Date:,2025/04/22
Time:,16:07:41
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
24,883.034485,726.994568,137.408005,845.485535,634.425171,115.009872,1065.964966,853.403809,532.823425,,,,1033.507324,813.542664,330.391205,,,,755.219177,695.433105,110.845947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,882.978638,726.789978,137.258713,845.325806,634.195374,115.073265,1065.866455,853.321045,532.746521,,,,1033.358643,813.307617,330.319122,,,,755.195190,695.167358,111.003006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,882.886902,726.478577,137.228043,845.352234,633.745178,115.059158,1065.812988,853.274414,532.546509,,,,1033.231689,813.151917,330.134460,,,,755.164673,694.922363,111.043999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,882.899658,726.077942,137.331253,845.231262,633.172058,115.123863,1065.634399,853.320129,532.527893,,,,1033.179565,812.979187,329.945892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,882.957947,726.053284,136.984528,844.995361,632.751038,115.077293,1065.638428,853.312439,532.534119,,,,1033.005249,812.705872,329.715851,,,,,,,754.738647,694.513977,111.651741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,882.925171,726.041565,136.639496,844.557373,632.462341,114.910614,1065.456665,853.208740,532.439148,,,,1032.922729,812.498352,329.647919,,,,,,,754.427612,694.449402,112.052315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,883.158142,726.015137,136.449951,844.171448,632.457458,114.645630,1065.332764,853.178467,532.446350,,,,1032.757813,812.414673,329.492920,,,,,,,754.389526,694.265076,112.219048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,883.007813,725.827698,136.489227,843.681335,632.574646,114.778893,1064.982666,853.096130,532.496216,,,,1032.665894,812.290283,329.156860,,,,,,,754.684875,694.085449,112.198204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,882.936523,725.575745,136.586288,843.071533,632.518738,114.691010,1064.370728,853.167786,532.421387,,,,1032.406128,812.068787,328.836578,,,,,,,754.849426,693.871460,112.158134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,882.764954,725.186462,136.887817,842.394958,632.752625,114.295364,1063.821167,853.183411,532.342163,,,,1032.073975,811.834656,328.920837,,,,,,,754.957520,693.718628,112.192650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
