Weight59
Date:,2025/04/24
Time:,13:14:46
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
24,885.443909,718.053711,123.967789,1126.965576,820.759094,431.300781,1081.478394,859.448975,222.191483,836.708984,628.159973,102.480957,764.836853,682.050110,102.191109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,885.516602,718.091431,124.206413,1126.769165,820.740967,431.086945,1081.508423,859.590576,222.138687,836.695129,628.197449,102.517036,764.820129,682.064575,102.235580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,885.224915,717.931763,124.732323,1126.764038,821.017456,430.684998,1081.556030,859.838928,222.158051,836.605164,628.188904,102.527931,764.802856,682.056641,102.284149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,884.819824,717.852722,125.346191,1126.824951,820.868469,430.460297,1081.509277,860.069214,222.144562,836.534119,628.190308,102.615715,764.780945,682.065979,102.343277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,884.900146,717.859070,125.625732,1126.687622,820.775757,430.342346,1081.416992,860.425903,222.115952,836.456421,629.168762,102.044304,764.851013,682.036194,102.418419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,884.920593,717.934937,125.749817,1126.509033,820.791748,430.295776,1081.285645,860.768127,222.107559,836.498657,629.470703,102.092773,764.813354,682.054810,102.493454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,884.730408,717.921814,126.328651,1126.413086,820.735901,430.179962,1081.291504,861.036011,222.073883,836.440430,629.142334,102.415115,764.768433,682.049744,102.562538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,884.603882,718.030945,126.940140,1126.365356,820.231873,429.955750,1081.349121,861.414368,222.056534,836.340820,628.532104,102.765831,764.484070,681.843140,102.977982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,884.477844,718.256775,127.409904,1125.983521,820.116333,429.899017,1081.422852,861.668396,221.938934,836.405640,628.033386,103.217735,764.302429,681.753174,103.220390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,884.307007,718.206421,127.859116,1125.649536,820.051147,429.826111,1081.167847,862.137451,221.763535,836.550171,627.747681,103.479424,764.318359,681.762268,103.422188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,884.017944,718.305603,128.159851,1125.168213,820.250122,429.990234,1081.054565,862.582214,221.572372,836.593506,627.705994,103.504326,764.437805,681.660645,103.492973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,883.798279,718.458435,128.400864,1124.543213,820.570618,430.258820,1081.047729,862.942078,221.595169,836.616516,627.957764,103.559532,764.493835,681.557556,103.545639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,883.376770,718.630676,128.765732,1124.057861,820.548706,430.255310,1080.889526,863.236450,221.596558,836.372620,627.972595,103.951233,764.468262,681.447083,103.593910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,883.091858,718.795776,129.096924,1123.654785,820.567444,430.282593,1080.674072,863.450500,221.513672,836.585632,628.140686,104.110245,764.463440,681.374146,103.960396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,882.978821,718.882324,129.384735,1123.232788,820.688599,430.295898,1080.478760,863.826294,221.538254,836.681763,628.363770,104.203278,764.408875,681.353210,104.261978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,882.914307,719.061157,129.676849,1122.596802,820.623596,430.126465,1080.362549,864.207031,221.486145,836.716187,628.649780,104.426300,764.238464,681.401917,104.681190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,882.765198,719.272705,130.037659,1121.957642,820.667480,429.733154,1080.272949,864.882568,221.587708,836.587341,628.806763,104.752701,764.160767,681.434753,104.978210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,882.673828,719.450256,130.528336,1121.265259,820.386963,429.609955,1080.008545,865.699585,221.885406,836.464294,628.953430,105.214172,764.089172,681.418579,105.100304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,882.337830,719.530273,131.222687,1120.635132,820.403564,429.548889,1080.014771,866.074524,221.731339,836.101624,629.685913,105.888634,764.014404,681.557678,105.466248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,882.341797,719.674133,131.600006,1119.986450,820.373108,429.427551,1080.128418,866.257690,221.658325,836.171387,630.012695,106.108353,763.875427,681.697021,105.947754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,882.661560,720.113831,132.057556,1119.340942,820.086792,429.223328,1079.348755,866.974854,221.961258,836.071594,630.125305,106.209846,763.669800,681.801697,106.335152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,882.002441,720.264099,132.920761,1117.892822,819.971741,429.969666,1078.784424,867.445679,222.108948,835.652100,631.710693,105.410446,763.471069,681.905212,106.658562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,881.574402,720.317749,133.530487,1116.490723,820.153992,430.298920,1078.414917,867.867432,222.267380,834.173889,635.552368,103.456612,763.284668,682.023376,106.968681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,881.439087,720.665894,133.876221,1116.024048,820.396973,429.367889,1077.948853,868.309570,222.278442,832.680298,640.667236,102.250809,763.102661,682.103027,107.474533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,881.303650,720.909485,134.328217,1115.249634,820.562134,428.996246,1077.407227,868.724365,222.593033,832.081543,645.046204,101.179718,763.090637,682.200623,107.928009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,880.542847,721.135254,135.498505,1114.475220,820.481995,428.988556,1077.120361,869.316040,222.758194,831.611145,649.184998,99.334076,762.625732,682.321655,108.787178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,880.153564,721.496216,136.775482,1114.012329,819.855225,428.644165,1076.997925,869.861877,222.868652,,,,761.821289,682.462036,109.880898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,879.847961,721.803772,137.696167,1113.691772,819.631531,428.162750,1077.001709,870.211548,223.054062,,,,760.953979,682.763916,111.480133,833.713013,630.430420,113.248703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,879.343262,722.003662,138.388748,1111.384521,820.568787,428.904724,1076.609863,870.719727,223.116287,,,,760.432678,682.935547,112.955223,833.134338,630.639709,114.126007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,878.572327,722.359253,139.369171,1110.055542,820.888550,428.926910,1075.920044,871.455994,223.512543,,,,760.014709,683.218323,113.892792,832.382629,630.635010,114.788345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,878.041931,722.373596,140.664307,1109.352539,820.196106,428.666016,1075.329834,872.073853,223.912415,,,,759.536255,683.701660,114.947594,831.488647,631.135498,115.882935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,877.357544,722.623718,141.794067,1108.260376,820.010437,428.887970,1074.730103,872.625671,224.240051,,,,758.593811,684.086731,117.008247,830.450073,633.714172,116.138031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,876.344666,722.868103,142.814438,1106.617676,820.844971,429.661072,1074.158936,872.968384,224.841324,,,,757.575500,684.453552,118.927010,829.829285,635.135620,117.352226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,875.551270,723.673523,143.998901,1105.833252,820.837463,429.096344,1073.547363,873.687683,225.064896,,,,756.721619,684.867188,120.379227,829.257751,635.073303,118.754105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,874.516724,724.203979,145.201065,1105.246216,820.620422,428.243713,1072.648682,874.357971,225.151947,,,,755.418091,685.360168,122.071915,827.862061,634.587463,120.645515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,873.584961,724.393555,146.362366,1104.395996,820.431458,428.024109,1071.658447,874.982422,225.319229,,,,754.077454,685.813049,124.137398,826.408875,634.103088,123.400452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,872.363831,725.218872,148.098450,1102.198853,821.143311,428.962097,1070.713379,875.461670,225.519806,,,,753.027527,686.388489,126.204216,825.110474,633.587952,125.160141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,870.512817,725.916931,149.707260,1100.898438,821.213562,429.195068,1069.472290,876.058472,225.752045,,,,751.750732,686.933228,127.603188,823.655029,634.083252,127.163239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,869.280029,726.126160,150.802277,1099.769043,821.276062,428.933929,1068.075195,876.925415,226.231140,,,,749.773804,687.675110,129.315186,822.149536,635.028076,129.289993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,868.004395,726.725281,152.148239,,,,1066.803467,877.708374,226.533188,,,,748.252502,688.379700,131.222488,820.173584,635.544128,131.075485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,865.906738,727.405640,153.995438,,,,1065.272217,878.207458,227.011917,,,,746.473022,689.046570,133.472183,818.199402,636.486389,132.755432,1097.024902,821.461792,428.913025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,864.210938,727.669312,155.215912,,,,1063.720215,879.038086,227.346756,,,,744.239807,689.468811,134.929184,816.483826,637.273071,135.113739,1095.783203,821.731750,428.978516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,862.362549,728.346924,157.075912,,,,1062.359741,879.601379,227.514832,,,,742.118713,690.008179,136.660248,814.078247,637.787720,136.733963,1094.629028,821.691406,428.876495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,859.961792,729.169983,158.997498,,,,1060.498413,880.165100,228.145294,,,,740.261597,690.731262,138.664246,811.583618,638.345825,138.871231,1092.785034,821.670227,428.458130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,858.062927,729.665222,160.519485,,,,1058.734863,880.536377,228.668793,,,,737.473511,691.372925,140.784531,809.220642,638.615784,141.193878,1091.275635,822.125366,428.736053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,855.387146,730.239258,161.700317,,,,1056.300781,881.325562,229.090012,,,,735.234741,692.041138,143.363083,806.634216,638.993713,143.499939,1090.288574,822.300781,428.738953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,852.950256,730.600464,163.129257,,,,1054.053101,881.867188,229.422867,,,,732.510010,692.569153,145.167267,804.213623,639.218689,146.060104,1088.570435,822.349304,428.807709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,850.359009,731.142700,165.083115,,,,1051.735962,882.355774,230.244278,,,,729.813965,693.211609,146.981628,801.351990,639.660767,147.951950,1086.168945,822.612549,429.103546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,847.210266,731.602783,166.912323,,,,1049.418945,882.754089,230.906754,,,,726.939453,693.688110,148.530289,798.362244,639.900024,149.817078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,844.446594,732.061218,168.324844,,,,1046.629150,883.479980,231.248352,,,,723.966675,694.177856,150.896500,795.372559,640.669128,152.315811,,,,1082.105347,823.273743,430.215790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,841.135193,732.669983,170.019714,,,,1044.604248,883.989990,231.779709,,,,720.740540,694.689575,153.017059,792.580688,640.810059,154.266998,,,,1080.622681,823.032959,429.748291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,838.291931,732.986694,171.686707,,,,1041.036743,884.704712,232.240265,,,,717.215454,695.158447,154.708481,789.128784,639.963257,157.068375,,,,1078.299194,823.425415,430.591034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,834.873840,733.703857,173.334137,,,,1038.231079,885.119934,233.261871,,,,714.166504,695.717529,157.180054,785.636169,639.556885,158.742828,,,,1076.198486,823.658752,430.922028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,831.484070,734.053101,174.928940,,,,1035.009399,885.428711,233.781815,,,,710.661316,696.179382,159.083679,781.791321,639.916138,161.246490,,,,1073.908936,823.664490,431.397034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,827.976807,734.252563,176.592133,,,,1031.534912,885.977051,233.942902,,,,706.513367,696.755676,161.278824,777.915039,640.219299,163.259750,,,,1072.075195,823.957092,431.159851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,824.299011,734.551392,177.751938,,,,1028.458618,886.301575,234.771484,,,,702.788269,697.093872,163.373444,774.250488,640.907776,164.973145,,,,1070.435913,823.979065,431.053497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,820.734680,735.184265,179.673401,,,,1024.925659,886.648193,235.458969,,,,699.126770,697.460449,165.504700,770.440186,640.933289,166.517624,,,,1068.306885,823.935974,431.781525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,816.193054,735.212036,181.562531,,,,1020.799866,887.136414,236.176819,,,,695.207275,697.802002,167.755447,766.102051,641.710938,169.074890,,,,1065.978027,824.260010,431.374786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,811.907227,735.556885,183.135437,,,,1017.157715,887.558289,236.884201,,,,690.920166,698.137207,169.427795,762.244934,641.934082,170.795166,,,,1063.994141,824.664917,431.819763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,807.959106,735.993530,184.348297,,,,1013.272888,887.614990,237.389435,,,,686.728699,698.725037,171.646729,757.851257,642.409851,172.580597,,,,1062.180786,824.366882,432.117859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,803.819702,736.368774,185.786102,,,,1009.555359,887.790527,238.063721,,,,682.075378,699.109619,173.866516,753.423950,642.567993,174.468353,,,,1059.997925,824.571350,431.822754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,799.632080,736.595703,187.512024,,,,1005.538757,887.978149,238.672623,,,,677.656982,699.450562,175.687119,748.731812,642.982117,176.631256,,,,1057.990356,824.894104,431.916687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
