Weight28
Date:,2025/04/22
Time:,15:43:41
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
33,884.898010,720.534973,114.635719,833.284119,631.662109,97.436234,1112.026367,862.836670,408.328278,765.300964,692.090759,105.179520,1060.426392,862.701843,242.527679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,884.868896,720.539978,114.588165,833.300781,631.689514,97.453636,1112.022339,862.868408,408.279449,765.318726,692.083557,105.173607,1060.371338,862.734009,242.448318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,884.869629,720.533936,114.642982,833.315857,631.687073,97.415398,1112.039795,862.912292,408.283539,765.276367,692.092957,105.217056,1060.352905,862.730286,242.430466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,884.874146,720.525818,114.554436,833.320435,631.686401,97.400101,1112.052002,862.934448,408.287415,765.277649,692.089417,105.157219,1060.388428,862.808105,242.451233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,884.877319,720.538086,114.546844,833.370422,631.701050,97.427643,1112.047729,862.941284,408.265717,765.304443,692.089111,105.160065,1060.409180,862.863403,242.480423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,884.853943,720.541016,114.565453,833.374451,631.693176,97.400879,1112.004517,863.057312,408.221344,765.310852,692.086121,105.119865,1060.335571,862.951965,242.302032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,884.941895,720.528320,114.546280,833.327637,631.687012,97.398094,1112.014648,863.110046,408.200134,765.340271,692.080078,105.134163,1060.415405,862.981201,242.230728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,884.981812,720.530457,114.436691,833.316223,631.667725,97.364815,1112.092896,863.177612,408.176544,765.261353,692.096252,105.178391,1059.789185,862.798767,242.418045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,884.957703,720.533020,114.412331,833.358398,631.678162,97.353966,1112.172485,863.207703,408.173096,765.186707,692.109131,105.253006,1060.164917,862.967957,242.329559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,884.932251,720.534973,114.436508,833.341370,631.593079,97.298553,1112.137085,863.212646,408.100677,765.243164,692.093384,105.190193,1060.435181,863.015686,242.091766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
