Weight21
Date:,2025/04/16
Time:,14:28:59
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
42,748.919983,634.213013,160.465149,815.415039,713.181091,159.052811,693.681885,697.611511,168.585800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,745.583923,634.471558,161.210617,812.131958,713.496826,159.294083,690.525574,697.952698,169.440079,,,,,,,,,,,,,1099.794800,841.697754,375.245514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,741.898010,634.554382,162.087448,808.682678,713.570496,159.789612,686.823120,698.258362,170.072357,,,,,,,,,,,,,1098.545898,841.044373,374.901489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,738.386902,634.836548,162.910461,805.472168,713.200012,160.532837,683.452759,698.730591,171.119553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,734.831055,635.070313,163.752594,801.302551,713.955566,161.201950,679.968689,698.939575,171.612045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,730.608032,635.183960,164.631302,798.355042,713.825012,161.680923,676.421143,699.177063,172.402603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,727.205505,635.393433,164.634079,794.473145,713.951111,162.195038,672.831787,699.433228,172.957870,,,,,,,,,,,,,,,,1089.071777,840.592468,373.798309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,724.270569,635.821777,164.526749,791.226196,713.950378,161.606842,669.260132,699.701294,173.601410,,,,,,,,,,,,,,,,1086.385620,839.014648,373.184723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,720.225159,635.795227,164.714172,787.830994,713.815491,161.541183,665.634888,699.980896,173.989960,,,,,,,,,,,,,,,,1084.758911,837.832764,372.117279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,716.210693,635.945557,164.724899,783.145386,714.125549,162.080994,661.869202,700.088928,174.275558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,712.248657,636.060120,165.022354,779.218628,714.186951,162.843643,658.306885,700.378296,174.578888,,,,,,,,,,,,,,,,,,,1080.092407,837.583862,371.495728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,708.333740,636.097595,165.330887,775.732056,713.981079,162.950607,654.419067,700.550110,175.071518,,,,,,,,,,,,,,,,,,,1077.022095,837.984009,371.869415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,704.861145,636.316589,165.273605,771.970520,714.127319,162.410843,650.340942,700.628967,175.618637,,,,,,,,,,,,,,,,,,,1074.435181,836.929321,371.604187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,700.818237,636.514221,165.065857,768.286743,714.395569,162.334702,646.513123,700.611145,176.096481,,,,,,,,,,,,,,,,,,,1072.390381,835.478210,370.736206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,696.568359,636.392151,164.705200,764.645508,714.068909,162.835800,642.792725,700.788330,176.205917,,,,,,,,,,,,,,,,,,,1069.904175,834.917542,370.269928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,692.585083,636.650085,164.414307,760.203125,714.306702,162.456375,639.040588,700.824036,176.073654,,,,,,,,,,,,,,,,,,,1067.049683,835.788513,370.622772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,688.491272,636.924255,164.534958,756.519287,714.373657,161.931381,634.895935,700.989258,175.973495,,,,,,,,,,,,,,,,,,,1064.204956,835.297241,369.996796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,684.815674,637.185852,164.063278,752.692871,714.563538,160.933624,630.631226,701.084534,176.075516,,,,,,,,,,,,,,,,,,,1062.121826,833.699402,369.150055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,680.627014,637.061768,163.647430,747.778381,714.872009,160.786713,626.357056,701.215271,176.196289,,,,,,,,,,,,,,,,,,,1059.288086,833.508057,368.989502,973.646606,842.672791,215.504532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,676.389038,636.986389,163.415970,743.479126,715.025146,161.460129,622.436096,701.382690,175.788727,,,,,,,,,,,,,,,,,,,1056.699341,833.400696,368.782501,971.763062,841.614868,214.686096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,672.272522,637.244934,163.351776,740.322510,715.179688,160.624893,618.461609,701.649170,175.375443,,,,,,,,,,,,,,,,,,,1053.631104,832.566956,368.714203,968.363647,841.223145,214.529510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,667.533875,637.586670,163.276337,736.910156,715.230408,160.136337,614.526367,701.808350,174.953903,,,,,,,,,,,,,,,,,,,1051.153442,831.893250,368.092743,963.300354,841.018738,215.096252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,663.924011,637.725952,162.375031,732.398132,715.159180,160.481750,610.406677,702.041504,174.807968,,,,,,,,,,,,,,,,,,,1048.465820,831.614990,367.723206,959.644714,840.323975,215.687164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,659.910156,638.014343,161.833771,727.400818,715.403076,160.177078,606.045654,702.398132,174.470459,,,,,,,,,,,,,,,,,,,1045.566895,830.639099,366.905670,955.774780,840.169312,215.788956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,655.575623,638.248535,161.709869,723.795654,716.131897,158.889893,602.148682,702.712769,173.674133,,,,,,,,,,,,,,,,,,,1043.677734,829.805847,366.249695,951.867249,839.638245,215.640656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,651.436218,638.419434,161.019394,719.951782,716.080505,158.764999,598.200134,702.991699,173.332581,,,,,,,,,,,,,,,,,,,1040.402466,829.190796,366.127014,948.622131,838.711182,215.873337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,647.502075,638.845520,160.429733,715.540955,716.120544,158.276001,593.877197,703.498779,172.939529,,,,,,,,,,,,,,,,,,,1037.670410,828.774536,366.127167,944.470093,838.236938,216.082535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,643.223572,639.127197,160.077286,711.787476,716.233093,157.171646,589.835938,703.801758,172.446915,,,,,,,,,,,,,,,,,,,1034.980103,828.421387,365.553070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,638.749634,639.436279,159.719864,707.966370,716.235352,157.308441,586.171753,704.003540,171.869904,,,,,,,,,,,,,,,,,,,1032.680054,827.376648,364.968506,,,,936.708069,837.315002,216.877533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,635.215637,639.788208,158.496475,703.674988,716.503784,156.665909,582.458984,704.491150,171.097427,,,,,,,,,,,,,,,,,,,1029.847900,827.087830,364.260742,,,,933.529602,836.424255,216.533859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,631.183105,640.068848,157.935730,699.821350,716.889282,155.564499,578.348938,704.814270,170.799789,,,,,,,,,,,,,,,,,,,1027.212646,826.139954,363.878265,,,,930.362610,835.635681,216.033417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,627.126099,640.283325,157.902252,696.147888,717.010559,155.118408,574.232544,705.095093,170.301056,,,,,,,,,,,,,,,,,,,1024.472168,825.918640,363.467072,,,,926.225525,835.362183,216.474731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,623.410828,640.619141,156.842651,692.326538,716.912292,154.962036,570.363892,705.527222,169.639679,,,,,,,,,,,,,,,,,,,1021.778625,825.020508,363.425018,,,,922.553772,834.427490,216.483688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,619.289856,640.981018,156.052902,688.775513,717.522949,154.062836,566.537964,706.029480,169.108536,,,,,,,,,,,,,,,,,,,1019.415466,824.182007,362.688477,,,,918.909302,834.334290,216.331284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,615.204590,641.428406,155.722961,685.177124,717.509216,153.236176,562.588623,706.410400,168.695862,,,,,,,,,,,,,,,,,,,1016.937073,823.611694,362.144836,,,,916.248108,833.186768,216.861618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,611.603821,641.658508,154.324936,680.515625,717.798462,152.705582,558.878845,706.854187,167.509491,,,,,,,,,,,,,,,,,,,1014.127991,822.807556,361.577026,,,,911.944336,832.507141,216.837997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,607.909546,641.891968,153.702911,676.468262,718.275696,152.247604,555.303711,707.346436,166.829636,,,,,,,,,,,,,,,,,,,1012.167358,822.218506,360.769989,,,,908.453796,831.774841,217.221634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,604.143982,642.383545,152.697769,674.028381,717.892273,151.333572,551.641541,707.827759,166.208862,,,,,,,,,,,,,,,,,,,1009.380249,821.872864,360.731598,,,,905.022339,831.474915,217.319916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,600.189209,642.769287,151.803513,669.842285,718.365601,150.827698,547.658508,708.227112,165.164642,,,,,,,,,,,,,,,,,,,1006.655151,820.665894,360.176239,,,,901.476746,830.907776,217.434647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,596.070374,643.048828,151.306931,665.651917,718.993591,150.201202,544.251282,708.756897,164.567871,,,,,,,,,,,,,,,,,,,1004.188477,820.292114,359.888214,,,,898.424072,830.036804,217.824768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
