Weight16
Date:,2025/04/16
Time:,14:18:09
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
38,868.782349,704.379028,137.404922,801.376221,631.761414,114.927757,,,,1071.597412,863.445862,284.064819,,,,,,,744.091370,698.754272,117.076408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,866.766357,704.816772,138.336288,799.692444,631.869751,115.715538,,,,1069.747192,863.501282,284.685974,,,,,,,741.819397,698.925110,117.845703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,864.697388,704.902222,138.631180,797.488403,632.092468,116.253441,,,,1068.081909,863.630798,284.520813,,,,,,,739.831970,699.087280,118.194809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,862.236084,705.058289,138.719681,795.411438,632.194885,116.643990,,,,1066.940063,863.633972,284.337891,,,,,,,737.649902,699.106689,118.503685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,859.939331,705.641113,139.859756,793.156982,632.256165,117.653351,,,,1065.476196,863.647583,284.752167,,,,,,,735.747009,699.310242,119.328522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,857.670837,705.338806,140.420258,791.206665,632.655579,117.504372,,,,1063.342163,863.630554,284.953217,,,,,,,733.346924,699.541626,119.783821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,855.311096,705.628784,140.758377,788.498230,632.670349,118.509827,,,,1061.674927,863.672852,284.754303,,,,,,,730.698364,699.608704,121.055809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,853.283813,705.490173,141.205109,786.343689,632.933411,118.924171,,,,1059.812378,863.750732,285.274170,,,,,,,728.233765,699.772461,121.915871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,850.206909,706.073059,141.586029,783.300598,632.958618,119.835854,,,,1057.800903,863.638916,285.276825,,,,,,,725.604797,699.927002,122.358688,,,,1060.160522,843.028320,423.654755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,847.335144,706.148438,142.408173,780.595276,632.975952,120.842865,,,,1055.667480,863.671997,285.152710,,,,,,,723.156311,700.140503,122.736618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,844.637756,706.281616,142.970673,777.580261,633.189453,121.547493,,,,1053.293335,863.407227,285.512299,,,,,,,720.569702,700.223694,123.352554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,841.966736,706.353821,143.477020,774.968628,633.280945,121.979294,,,,1051.182739,863.465149,285.296600,,,,,,,717.183777,700.366638,123.741714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
