Weight66
Date:,2025/04/23
Time:,11:19:57
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
47,732.518677,729.807434,173.971176,,,,698.805298,639.376160,135.084106,944.804016,886.253235,509.862976,940.617432,924.988647,356.413177,,,,,,,,,,621.426025,685.648193,137.322144,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,726.717834,729.925049,174.062378,,,,691.897278,638.848206,134.963638,942.954285,885.515686,509.416321,936.877625,923.842407,355.662811,,,,,,,,,,615.525513,686.285034,136.963425,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,721.090698,729.914978,173.901855,,,,686.168335,638.490051,135.243118,940.170288,884.958618,508.256714,933.399353,922.706177,354.246124,,,,,,,,,,609.229492,687.068726,137.000702,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,715.581970,730.029053,173.078491,,,,679.699402,638.789307,134.616623,938.105408,884.206848,507.096222,929.414185,921.394348,353.808929,,,,,,,,,,603.331238,687.767029,137.373962,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,710.291687,730.078796,172.891647,,,,673.573853,639.350403,134.209579,936.826233,883.293945,506.365601,925.837463,920.297668,352.699554,,,,,,,,,,597.198425,688.292847,137.038651,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,704.553406,730.028931,172.094009,,,,667.242615,639.731201,134.015427,933.917053,882.738403,505.198853,921.962646,918.781921,351.847504,,,,,,,,,,591.107056,689.166443,136.725037,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,698.614197,730.007874,171.709427,,,,660.823547,640.331299,133.228348,931.483887,881.771240,504.483490,917.784607,917.722961,350.501373,,,,,,,,,,585.020020,690.044006,136.655518,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,692.929504,730.114746,171.310654,,,,654.848755,640.744202,132.535339,929.412781,880.826477,503.487732,914.116089,915.976135,349.856140,,,,,,,,,,579.030762,690.880981,135.535995,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,687.296387,730.271179,170.443054,,,,648.738098,641.104065,131.469879,927.027100,880.274414,502.510834,910.244995,914.737122,348.516022,,,,,,,,,,573.315918,691.719727,134.890366,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,681.927673,730.229553,169.968231,,,,642.629883,641.657104,130.730881,924.857117,879.305420,501.366821,906.211609,913.207947,347.984741,,,,,,,,,,567.341919,692.653015,134.670807,,,,,,,,,,,,,,,,,,,,,,,,,,,
