Weight60
Date:,2025/04/23
Time:,12:59:40
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
27,763.884888,678.383301,109.055565,827.134338,620.612366,111.249535,,,,1080.732422,814.031616,205.132446,1099.024414,799.177429,296.487030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,763.971924,678.417297,109.077141,826.998779,620.608826,111.535934,,,,1080.766113,814.562012,205.189926,1098.642700,799.273987,296.639557,876.848206,700.978699,95.392517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,763.984070,678.410400,109.059845,826.809875,620.716064,111.730331,,,,1080.734863,815.093201,205.266266,1098.365845,799.392212,296.614960,876.937866,700.979919,95.452721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,764.103394,678.412231,109.146233,826.417725,620.968628,111.939232,,,,1080.670166,815.443054,205.372498,1098.245972,799.548401,296.664612,876.888855,700.823486,95.709129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,764.104065,678.415039,109.154358,826.105286,621.031494,112.063110,,,,1080.645020,815.694641,205.480438,1098.007446,799.888428,296.716675,876.870728,700.682739,96.046654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,764.098694,678.427551,109.206543,825.890137,620.973511,112.242287,,,,1080.646240,816.097534,205.638458,1097.895020,800.240356,296.812531,876.862671,700.599609,96.619400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,764.114929,678.420349,109.365692,825.611328,621.021301,112.409637,,,,1080.667847,816.698975,205.731918,1097.986328,800.557434,297.279144,876.888367,700.502686,97.326729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,764.031494,678.417053,109.479836,825.251038,621.201355,112.535629,,,,1080.732910,817.309692,205.842636,1097.799805,801.028381,296.973083,876.810974,700.129211,98.206909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,763.924561,678.409180,109.505493,824.867615,621.646790,112.720459,,,,1080.836304,817.911560,205.998184,1097.586060,801.458252,296.825470,876.940918,699.935303,98.789955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,763.735779,678.407166,109.526619,824.662598,621.532898,113.120384,,,,1080.861450,818.464233,206.093307,1097.474121,801.816895,296.798767,877.098572,699.619812,99.431091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
