Weight60
Date:,2025/04/23
Time:,14:07:00
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
33,738.433411,728.365417,200.887955,695.872131,632.324402,210.666992,625.377563,680.081970,211.319763,1042.628296,859.691162,383.646271,965.205872,887.315491,254.509903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,733.880371,728.464417,202.003342,691.352417,632.568115,211.104019,621.075378,680.648132,212.059952,1040.337891,859.664551,383.885498,961.791626,886.775146,255.029419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,729.533081,728.751099,202.996399,686.777466,632.694641,211.480789,616.495728,681.155273,212.879532,1037.924194,859.712341,384.571655,958.200867,886.711365,256.223145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,725.358887,728.747925,204.002731,682.179260,632.960938,211.986023,612.016174,681.713379,213.695450,1035.955444,859.538452,384.803497,954.541138,886.037720,257.262573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,721.311707,728.734741,204.209198,677.414307,633.318665,212.779114,607.562378,682.307983,214.348312,1033.109985,859.467102,385.283112,950.549744,885.780640,257.992065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,716.924377,729.134155,204.530502,672.663391,633.650818,213.261459,603.047852,682.925659,214.617920,1031.173340,859.354431,385.463287,947.173523,884.886841,259.223328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,712.585571,729.379517,205.103989,668.049805,633.918457,213.255417,598.745789,683.544189,215.052750,1028.454102,859.129211,386.241486,943.909851,884.334229,259.960114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,708.800110,729.356445,205.293243,663.297791,634.237549,213.567413,594.325378,684.203674,215.309128,1026.310547,859.006226,386.287842,939.929321,883.789795,260.703583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,704.591736,729.373047,205.490585,658.526917,634.596436,214.073029,589.721497,684.956421,215.854553,1023.463135,858.839172,387.036346,936.320740,883.046204,261.848907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,699.716797,729.727661,206.655289,653.793335,635.033691,214.425339,584.985596,685.856201,216.318054,1021.411560,858.488708,387.080597,932.420715,882.719666,262.856964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,695.834106,729.673767,206.836517,649.134216,635.559814,214.429214,580.361206,686.757263,215.967636,1018.604614,858.325134,387.642517,928.965210,881.897583,263.942108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,692.140503,729.541626,207.059052,644.373108,636.140808,214.147995,575.778992,687.525146,216.107391,1016.684265,858.148132,387.762238,925.580933,881.527344,264.478088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,687.665771,729.835876,207.038055,639.572571,636.439209,214.053787,571.537109,688.153076,216.077560,1013.588379,858.138062,388.186401,922.075500,880.620178,265.091644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,683.332336,729.873352,206.906021,634.676941,636.819885,214.103271,567.142883,688.992126,215.513382,1011.444641,857.816467,388.475952,918.470642,879.722351,265.964478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,679.031128,729.755127,207.168121,629.663818,637.275696,214.350784,562.769165,689.932434,214.926895,1008.784729,857.589600,389.141785,915.210999,877.917786,266.473053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,675.197632,729.641357,207.444489,624.825500,637.889343,214.365540,558.229065,690.975281,214.946274,1006.617371,857.398193,389.201874,912.381714,877.341858,266.984741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,670.829346,729.869812,207.654984,620.030762,638.447937,214.228394,553.884277,692.150635,214.366150,1003.854126,857.070007,389.322418,908.093079,877.235413,268.047363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,667.055115,729.838135,207.535172,615.266296,638.856262,213.654648,549.736267,692.964050,214.056961,1001.737488,856.947510,389.725708,904.914917,875.447510,268.831329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,663.482849,729.657288,206.787369,610.366089,639.238037,213.383392,545.448914,693.934814,213.796310,999.146729,856.480225,389.813232,901.329895,874.614197,269.230194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,659.121948,729.642334,206.738052,605.663696,639.671509,213.256424,541.192505,695.155945,213.037079,996.654480,856.204407,390.154266,898.791809,873.608398,269.836609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,655.016663,730.178833,207.202957,601.272766,640.244263,213.015930,537.091614,696.226807,212.482956,994.137939,855.919312,390.473877,894.748901,872.981812,270.378113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,651.439392,729.888000,207.031097,596.940369,640.692505,212.344238,532.941772,697.230469,211.789154,991.844177,855.642517,390.333466,891.699585,871.736938,271.477814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,647.686951,730.333252,206.178604,592.492737,641.124390,211.957733,529.023560,698.114014,211.355438,988.896240,855.283875,390.733521,888.199951,870.964722,272.018463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,643.835266,730.549622,206.109238,587.931702,641.502258,211.842590,525.190186,698.821472,210.784622,986.479919,854.406067,390.723419,885.225891,870.194519,272.788971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,640.272583,730.328552,206.085510,583.914490,642.015747,211.188354,521.001831,699.422913,210.111359,984.078491,854.186340,390.922607,882.012512,869.194031,273.279358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,636.317627,730.868347,205.163254,579.885925,642.384460,210.339584,517.212402,700.179443,209.666992,981.857300,853.666321,390.881805,878.878418,868.212830,274.074158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,633.139648,730.754272,204.355652,575.459534,642.670288,210.232147,513.719604,701.160645,208.689896,979.077087,853.801025,390.762756,875.848267,867.164246,274.565643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
