Weight63
Date:,2025/04/24
Time:,15:55:19
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
25,892.592224,687.115295,106.981903,1079.830322,752.535156,356.457947,820.973267,615.973389,105.644485,1047.786133,783.549011,196.314041,769.211121,688.749390,117.654549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,892.485168,687.203430,106.942696,1079.628418,752.693848,356.489532,820.914551,616.022400,105.734482,1047.513062,783.705627,196.386154,769.196167,688.752014,117.666435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,892.552490,687.202209,107.022827,1079.487061,752.836182,356.556763,820.814026,616.093140,105.810852,1047.094971,783.860229,196.433304,769.200928,688.758911,117.695892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,892.456604,687.224182,107.069588,1079.418213,752.911011,356.605042,820.745728,616.135742,105.850204,1046.866577,784.111206,196.527206,769.153992,688.844727,117.632660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,892.501648,687.263794,107.190536,1079.269897,752.973022,356.682373,820.594299,616.372559,105.957870,1046.682617,784.279602,196.532990,769.108948,688.876221,117.634476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,892.410889,687.402710,107.528534,1079.023071,753.148254,356.785828,820.521240,616.413940,105.913635,1046.403198,784.388733,196.490982,769.050781,688.860291,117.680336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,892.282593,687.484070,107.684021,1078.864502,753.225952,356.796936,820.462158,616.417175,106.062759,1046.199951,784.604858,196.530975,768.985718,688.839905,117.732964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,892.366943,687.408447,107.757866,1078.737549,753.394104,356.907715,820.341309,616.431396,106.208374,1046.124878,784.798462,196.625977,768.939026,688.837524,117.730064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,892.326355,687.415710,107.826591,1078.572144,753.486206,356.937683,820.275513,616.465515,106.225174,1045.953003,784.937378,196.675064,768.964966,688.753479,117.737427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,892.431213,687.435974,107.913727,1078.364014,753.590027,357.029602,820.277100,616.491577,106.305969,1045.856445,785.056763,196.736862,768.892761,688.734924,117.784340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,892.579895,687.314392,107.907516,1078.051880,753.805908,356.925415,820.281433,616.427185,106.431664,1045.884888,785.252991,196.790543,768.886719,688.740234,117.835571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,892.811218,687.367981,108.236305,1078.003052,753.827576,357.197235,820.395874,616.712219,106.168037,1045.247437,785.653931,197.076141,768.891113,688.702881,117.900360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,892.900818,687.345703,108.508133,1077.914795,753.987610,357.272949,820.370911,616.436951,107.227486,1045.495361,785.632629,197.148865,768.839355,688.728760,118.006172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,892.856628,687.395569,108.726875,1077.866699,754.056091,357.421570,820.409729,615.690002,108.251762,1046.354126,785.358154,196.793549,768.840698,688.654663,118.091957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,892.631165,687.310608,109.091278,1077.578369,754.162964,357.513428,820.432617,615.078430,108.836006,1046.854126,785.355164,196.387741,768.807251,688.607727,118.087479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,892.571533,687.361145,109.387703,1077.282715,754.252869,357.565765,820.430176,614.876282,109.025307,1047.273560,785.309326,196.335815,768.743958,688.604614,118.148109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,892.648987,687.420410,109.586212,1077.099976,754.346680,357.555145,820.435913,615.046082,109.161667,1047.332397,785.488037,196.483444,768.751770,688.588867,118.269432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,892.414795,687.612305,109.824051,1076.923584,754.471313,357.556702,820.396179,615.345703,109.295555,1047.197021,785.646912,196.880707,768.738342,688.599976,118.338303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,892.442688,687.657104,110.022835,1076.820557,754.446350,357.658447,820.405396,615.570068,109.582748,1046.886963,785.872375,197.191147,768.730530,688.583252,118.416801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,892.622009,687.748962,110.099876,1076.288574,754.720337,357.396332,820.310486,615.179016,110.051743,1046.692017,786.105957,197.349655,768.683044,688.592590,118.454987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,892.768250,687.830017,110.126106,1076.017944,754.785583,357.663208,820.300232,614.945923,110.618134,1046.307861,786.397888,197.585785,768.657837,688.610291,118.503670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,892.859741,687.926025,110.221878,1075.870483,754.962769,357.611633,820.122437,614.757935,111.050346,1045.895752,786.713440,197.923996,768.677307,688.545715,118.786629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,893.015015,688.015198,110.376686,1075.465454,755.076721,357.879120,819.968445,614.834595,111.518745,1045.494995,786.959106,198.219284,768.555786,688.676331,118.794914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,892.937439,687.999084,111.072182,1075.035889,755.220398,358.052094,820.202332,615.153503,112.031303,1045.293335,787.189819,198.375748,768.522156,688.704041,118.883522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
