Weight54
Date:,2025/04/23
Time:,10:07:34
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
41,887.127197,693.845032,131.362396,765.272156,687.269836,97.966072,827.622009,620.471069,83.911270,,,,1120.225708,865.138062,274.939117,1153.843872,855.325012,465.421539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,886.767212,693.922119,131.866821,765.158508,687.042419,98.102211,827.240051,620.617676,84.118385,,,,1119.959961,865.307434,275.086609,1153.114380,855.206787,465.733124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,886.279968,693.824646,132.667740,764.946838,686.811218,98.283127,827.246948,620.632446,84.259697,,,,1119.707520,865.570618,275.301758,1152.255981,855.100342,466.010803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,885.992920,693.738770,133.348495,764.669922,686.589172,98.488144,826.998596,620.910095,84.388695,,,,1119.436401,865.813721,275.319122,1151.832275,855.102234,465.929565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,885.784424,693.699280,133.807495,764.393433,686.548767,98.307014,826.634399,621.123474,84.503639,,,,1119.245117,866.008972,275.334290,1151.548096,855.044067,465.803284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,885.625244,693.778992,134.103653,764.119324,686.303040,98.685570,826.131348,621.512024,84.679810,,,,1118.946899,866.269470,275.407928,1151.144043,854.944092,465.716370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,885.288025,693.709290,134.517700,763.779114,686.229797,99.074699,825.953613,621.762146,84.948509,,,,1118.363403,866.593933,275.503845,1150.701782,854.847778,465.516876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,885.145203,693.734253,134.925308,763.606079,686.037598,99.305580,825.855530,621.750732,85.208160,,,,1118.040649,866.874756,275.595184,1150.147339,854.730591,465.661865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,884.998657,693.843201,135.407379,763.532959,685.932312,99.560333,826.035278,621.996338,85.474846,,,,1117.983765,867.118164,275.632843,1149.381348,854.665649,465.726593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,884.791565,693.987976,135.988739,763.602661,685.700684,99.865372,826.234985,621.467529,86.103241,,,,1117.693848,867.531433,275.706848,1148.660889,854.539795,465.553986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,884.722046,694.089355,136.381744,763.666382,685.579712,100.566612,826.239258,620.991089,86.966125,,,,1117.404663,867.931702,275.813843,1147.808960,854.491028,465.519440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,884.690125,694.132751,136.773941,763.669312,685.315613,101.560608,826.118164,620.719543,87.834412,,,,1117.122681,868.318298,275.833130,1147.040771,854.559631,465.388489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,884.688416,694.357971,137.448151,763.581421,685.056091,102.499031,826.138428,620.895813,88.973038,,,,1116.955566,868.687744,275.936707,1146.523804,854.573669,465.211456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,884.711121,694.538757,138.077560,763.436279,684.931335,103.170326,826.089111,621.103394,89.776276,,,,1116.878296,868.991821,275.997925,1146.125854,854.376221,465.066284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,884.754456,694.704712,138.677155,763.310730,684.923523,104.165733,825.987671,621.204163,90.566734,,,,1116.773071,869.319397,276.003113,1145.612183,854.206726,465.087433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
