Weight56
Date:,2025/04/23
Time:,10:07:44
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,883.314331,702.804932,124.800560,833.566406,625.659241,79.865807,761.342468,684.122009,90.173874,1126.117310,867.220825,467.849182,1104.658447,881.980652,275.575836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,883.183899,702.562866,124.519386,832.756653,626.632935,78.751610,761.586182,684.011353,89.238152,1125.783203,867.050110,467.859711,1104.519043,881.761597,275.389221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,882.898376,702.281006,124.159142,832.025513,625.694580,78.658134,761.808044,683.910950,88.739967,1125.414673,866.970154,467.812347,1104.357544,881.528442,275.124878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,882.604980,702.138611,124.095093,831.703369,624.472229,78.666084,762.009460,683.700562,88.510521,1125.042603,866.838745,467.762421,1104.268066,881.370178,275.013123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,882.343140,702.129822,124.085770,831.633667,624.231812,78.532860,762.156982,683.420715,88.460693,1124.700195,866.635315,467.718231,1104.061279,881.174255,274.931488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,882.225952,702.059265,124.106880,831.497620,624.472656,78.473083,762.259094,683.277466,88.391922,1124.348022,866.536194,467.494934,1103.917847,880.963989,274.781158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,882.104614,702.054871,124.104858,831.328552,624.545471,78.419647,762.665222,683.033020,88.069664,1123.975098,866.357910,467.340698,1103.847656,880.730103,274.619965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,881.928345,702.008362,124.144661,831.139038,624.466797,78.364288,762.506470,682.916626,88.221977,1123.472778,866.214111,467.180420,1103.725586,880.518311,274.444885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,881.809387,702.010803,124.177673,831.025391,624.395081,78.457008,762.394348,682.770020,88.415932,1122.966919,865.963623,467.065582,1103.626221,880.299133,274.332092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,881.689941,702.093750,124.509773,830.853699,624.570557,78.463058,762.714233,682.640076,88.381813,1122.411133,865.779663,466.933289,1103.574951,880.059631,274.217804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,881.640686,702.204346,124.693001,830.758789,624.558289,78.615112,762.706726,682.403259,88.620888,1121.971680,865.545288,466.843628,1103.496338,879.921570,274.129456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,881.440430,702.156250,124.879066,830.610168,624.616455,78.726959,762.413879,682.109009,89.023766,1121.496948,865.299988,466.748016,1103.486450,879.827942,274.100372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,881.290344,702.264832,125.179123,830.473022,625.109192,78.629776,762.658508,681.960510,89.105461,1121.241577,865.090149,466.660706,1103.464844,879.814087,274.142639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,881.122314,702.256409,125.629921,830.398071,625.070557,78.873093,762.834106,681.772461,89.000107,1120.922485,864.901062,466.540985,1103.431641,879.861816,274.069061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,880.866089,702.315063,126.254257,830.100830,625.450500,79.133965,763.109558,681.476990,89.053596,1120.808594,864.824768,466.330750,1103.502197,879.950378,274.011475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,880.718872,702.399475,126.719887,829.937744,626.146362,79.195419,762.742554,681.371216,89.610359,1120.542358,864.560059,466.131042,1103.458130,880.097595,274.019012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,880.807434,702.440857,127.032623,830.093689,626.293945,79.300850,762.412537,681.232544,89.946480,1120.095337,864.466736,465.605743,1103.365601,880.297363,274.042267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,880.690247,702.516296,127.483414,830.099792,626.191162,79.756592,762.481750,681.275513,89.799362,1119.462036,864.207825,465.520142,1103.318359,880.531250,274.087646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,880.570251,702.716309,127.961639,829.984436,626.209717,80.004890,762.609192,681.366882,89.949699,1118.460083,864.134766,465.516235,1103.311523,880.781616,274.122467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,880.435242,702.855896,128.447693,830.257568,626.210632,80.460548,762.575989,681.268188,90.177345,1117.684692,864.041992,465.238220,1103.339722,881.083740,274.160217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,880.256104,703.054199,128.935944,830.377258,626.300964,81.005928,762.482056,681.211853,90.536003,1117.124756,863.927917,465.000336,1103.210205,881.353333,274.203583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,880.251892,703.170654,129.215332,830.477356,626.295898,81.263794,762.531555,681.260071,90.890663,1116.833130,863.824646,464.945221,1103.164307,881.666382,274.243378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,880.144958,703.294189,129.653000,830.419434,626.419250,81.487534,762.504578,681.276428,91.238640,1116.533325,863.672363,464.850861,1103.115356,881.838379,274.322784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,880.031311,703.414001,129.964828,830.274841,626.623718,81.785912,762.488037,681.346741,91.532700,1115.925171,863.441223,464.856018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,880.086548,703.707581,130.217285,830.030090,626.931763,82.401489,762.217834,681.468750,92.346642,1115.414429,863.309570,464.697754,,,,1103.659546,882.244934,273.841064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,880.023987,703.974304,130.527161,829.746094,627.331238,83.095940,761.825317,681.628906,93.355156,1114.595459,863.100708,464.554565,,,,1102.789063,882.673035,274.469879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,879.961060,704.144836,130.923355,829.531555,627.982117,83.678497,761.455078,681.746948,94.311279,1113.526733,862.736938,464.772308,,,,1102.401001,883.104004,274.693268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,879.552124,704.394714,131.926453,829.089600,628.220947,84.613594,761.263000,681.809387,94.918144,1112.587891,862.628052,464.791321,,,,1102.232544,883.478210,274.797943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,879.214539,704.718140,132.666367,828.754578,628.416565,85.805016,761.204956,681.908447,95.498466,1111.877075,862.611328,464.546204,,,,1102.142700,883.905273,274.933105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,879.003723,705.053955,133.358963,828.427979,626.758972,87.691261,760.868225,682.052490,96.927963,1111.520386,862.449585,464.407623,,,,1101.861694,884.300781,275.097260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,878.410889,705.421021,134.353439,827.982666,625.507935,89.172012,760.379211,682.169922,98.044800,1111.043335,862.299255,464.437805,,,,1101.574951,884.719543,275.261597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,878.023071,705.764038,134.973083,827.427124,625.659607,90.577438,760.048889,682.430481,99.123405,1109.941284,862.076904,464.744080,,,,1101.314941,885.063110,275.528229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,877.627808,706.145081,135.614166,826.796021,626.420166,91.492279,759.687561,682.541626,99.953850,1108.824707,861.866211,464.768036,,,,1100.965454,885.381287,275.716705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,877.123596,706.342285,136.400177,825.974915,626.845520,93.094559,758.872314,682.717957,101.371796,1107.995483,861.828430,464.731262,,,,1100.637695,885.610168,275.881439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,876.491821,706.543640,137.392761,825.177612,626.346741,95.085365,757.903564,682.783447,102.696846,1107.561401,861.611328,464.212433,,,,1100.696045,885.577820,275.879242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,875.200317,706.791321,138.679825,824.026978,626.983582,95.931480,756.823792,683.026428,103.943802,1106.609375,861.526917,464.199219,,,,1100.057617,885.931946,275.683838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,874.292969,707.322388,139.858704,822.686401,628.067627,97.059059,755.923706,683.374695,104.998627,1105.559448,861.390625,464.420685,,,,1099.072754,886.200256,276.357544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,873.455994,707.588318,140.623032,821.849915,627.655823,98.580803,755.026001,683.762939,106.088882,1104.621094,861.081848,464.643707,,,,1097.997070,886.386292,276.730286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,872.397095,707.694031,141.741226,820.641785,626.603699,100.979431,753.751526,684.137390,107.350990,1103.671631,860.884521,464.806641,,,,1097.188477,886.564697,276.866882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,870.545227,707.891846,143.015228,818.895569,627.021301,102.706207,752.335510,684.549133,108.817162,1103.111938,860.689453,464.804443,,,,1096.685791,886.651184,276.954712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,869.059998,708.262695,144.205566,817.485229,627.711548,103.775444,750.820007,684.832153,109.972099,1102.523193,860.476074,464.493744,,,,1096.225830,886.770203,276.759918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,867.764832,708.661926,145.200897,815.857849,627.908264,105.248276,748.968872,684.995667,111.758942,1101.533325,860.136780,464.569794,,,,1095.585083,886.971985,276.845337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,865.680420,708.697266,146.629791,813.751892,627.309937,107.574715,747.272766,685.345093,113.202087,1100.089600,859.963135,464.690186,,,,1094.570435,887.097290,277.040771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,863.835571,708.880005,147.765961,811.700745,627.619080,108.707314,745.297241,685.595459,114.283379,1098.809082,859.724426,464.918549,,,,1093.009766,887.235535,277.615051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,862.507080,709.316772,148.619659,810.022522,628.432556,110.138649,743.265198,686.009521,115.752998,1098.192627,859.525879,464.723938,,,,1091.618042,887.405579,278.049133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,859.918884,709.430786,150.278915,807.727356,628.712830,112.010620,741.342346,686.195068,117.427528,1097.821289,859.208923,464.669525,,,,1090.366333,887.487183,278.190796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,857.787231,709.565247,151.551910,805.389709,628.979980,112.620987,739.073669,686.273804,118.983940,1096.796265,858.896362,464.524628,,,,1088.860107,887.570557,278.342468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,855.595581,709.845459,152.463531,802.864929,628.462463,114.934975,736.479370,686.452942,120.590752,1095.304810,858.685608,464.488037,,,,1087.085693,887.588135,278.465515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,853.048279,709.887878,153.872833,800.342529,629.174255,116.191292,733.678406,686.733337,122.533661,1093.752808,858.513733,464.476959,,,,1085.917114,887.421875,278.640015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,850.642822,709.957153,155.065033,797.841980,629.084595,117.975159,731.034058,686.932312,123.987350,1092.546997,858.154724,464.556061,,,,1084.341797,887.533203,278.595093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,847.782898,710.081238,156.543839,794.967590,629.660950,118.446175,728.661743,687.093506,125.143768,1091.488281,857.712891,464.771545,,,,1082.171021,887.494629,278.535400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,844.888306,710.057251,157.786804,791.852905,629.335388,120.068130,725.570374,687.206360,126.436081,1090.441772,857.375488,464.530151,,,,1080.987793,887.249573,278.274872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,841.931213,710.291504,158.905548,788.891968,629.373352,121.241066,722.607605,687.429688,128.333557,1088.865601,856.887451,464.359802,,,,1078.271729,887.352478,278.908844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,839.062866,710.147949,159.867630,785.235596,628.881714,123.788116,719.320435,687.557373,130.069717,1087.306641,856.698853,464.069977,,,,1075.666870,887.017639,279.300568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,835.989380,710.256592,160.821625,782.128296,629.116943,124.618698,715.859558,687.637512,131.354279,1086.031616,856.233337,464.239349,,,,1073.726685,886.754944,279.402405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,832.909180,710.284241,161.945450,778.844543,628.271667,126.214935,712.577881,687.638306,133.107880,1085.119019,855.760071,463.911835,,,,1071.386841,886.676208,279.244141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,829.162598,710.131409,163.319672,775.122375,628.935181,127.045425,709.128723,687.718811,134.409943,1083.438965,855.377625,463.715271,,,,1068.992920,886.316040,278.981842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,825.790161,710.404785,164.302536,771.376770,629.641418,127.787842,705.510315,687.882019,135.829285,1081.002319,854.930298,464.009247,,,,1066.034180,886.225830,279.651520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,822.092529,710.148560,165.388779,767.371826,629.670532,128.843903,701.768005,688.056091,137.017914,1079.601929,854.517700,464.222900,,,,1062.757202,885.847961,280.029572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,818.399109,710.086243,166.428650,763.792664,629.677795,129.585144,697.894775,688.221130,138.571289,1077.856689,853.860657,464.119385,,,,1060.436646,885.531067,280.278442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,814.711548,710.033691,167.225861,759.951477,629.776123,130.334793,693.847900,688.433655,140.074265,1075.828613,853.248962,464.132385,,,,1057.377808,885.170410,279.892059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,810.791687,710.110535,168.211349,755.661072,630.019714,131.129196,689.808167,688.546814,141.404953,1074.197144,852.740479,463.997589,,,,1054.339966,884.924561,280.099060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,806.437927,710.069763,169.615280,751.844299,630.530945,131.505478,685.758118,688.611755,142.546234,1072.604004,852.150146,463.986633,,,,1051.181763,884.277649,280.071838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,802.359802,709.783020,169.971481,747.182251,630.445129,133.080994,681.675903,688.802063,143.991150,1070.648682,851.655457,463.732422,,,,1048.032471,883.560730,280.063202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,798.690247,709.841187,170.669159,742.433411,630.120300,134.311234,677.154541,689.174927,145.256989,1068.134399,851.138062,464.040833,,,,1044.617310,883.096008,279.976257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,794.336487,709.813782,171.771194,738.208069,630.690125,134.321655,672.732544,689.271667,146.301086,1066.377930,850.521912,464.041687,,,,1041.421143,882.665161,280.303772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,789.712463,709.764954,172.523026,733.961914,631.122986,134.766281,668.308044,689.578003,147.290192,1063.852051,849.653381,464.041138,,,,1037.745728,882.067261,280.493317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,785.380249,709.906372,173.253754,729.365601,630.886902,135.920105,663.810974,689.728394,148.388474,1061.934570,849.061951,464.064301,,,,1034.244751,881.291382,280.398560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,781.168152,709.778320,173.873795,724.279907,630.629639,137.167618,659.124451,690.012146,149.524750,1059.873901,848.393433,463.981506,,,,1030.710327,880.804260,280.778381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,776.740845,709.843079,174.653305,719.460693,631.050659,137.459564,654.349915,690.215149,150.353867,1057.892090,847.818054,463.511536,,,,1027.082764,879.958923,280.859467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,771.843506,709.840820,175.260529,714.701538,631.770386,137.670456,649.633606,690.560852,151.206161,1055.265625,847.066101,463.939667,,,,1023.720947,879.136169,280.843109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,767.128296,709.588928,175.838242,709.871704,631.620911,138.645721,644.824524,690.994324,151.984131,1053.050049,846.444702,463.281189,,,,1019.462891,878.523193,281.100464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,762.584656,709.743713,176.025513,704.749634,631.224304,139.962173,640.125854,691.340393,152.658783,1050.645996,845.595398,463.406219,,,,1015.571106,877.690491,281.209320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,758.001831,709.777161,176.358398,699.321716,630.771973,141.601654,635.474060,691.694153,153.120270,1048.319458,844.882996,463.352325,,,,1012.251953,876.870117,281.000610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,753.017395,709.768799,177.032211,694.790039,631.425232,141.298645,630.679199,692.071350,153.440231,1046.149780,844.196960,462.678802,,,,1008.132690,875.988586,281.205017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,748.242737,709.858032,177.344543,690.186035,632.232300,140.912170,625.875488,692.576416,153.766815,1043.623535,843.363647,462.942932,,,,1004.517883,875.038879,281.290070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,743.372742,709.819519,177.931427,685.290283,632.579468,140.671936,621.013428,693.083740,154.333176,1041.053833,842.589233,462.625458,,,,1000.952515,874.299438,281.435028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,738.540466,709.992065,178.554489,679.781738,632.611084,141.656647,616.035156,693.664856,154.764618,1038.384888,841.758057,462.823120,,,,996.885193,873.177429,281.309082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,733.967896,710.093872,178.494980,674.005737,632.708191,142.958115,611.166260,694.280579,154.901093,1035.932129,841.200073,462.656342,,,,992.561829,872.041016,281.762115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,729.178589,710.174011,178.665314,668.182434,632.554443,144.385025,606.039246,694.801636,155.291534,1033.522827,840.036926,462.491882,,,,988.838806,871.014587,281.927399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,723.967163,710.136902,179.159241,663.385437,633.060913,143.857605,600.911316,695.289185,155.573090,1030.981934,839.074707,462.331085,,,,984.553833,869.975708,282.048279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,718.725464,710.146790,179.319061,658.682007,633.593994,143.260712,596.087158,695.875183,155.201996,1028.072998,838.437805,462.233398,,,,980.138306,868.972168,282.583618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,713.821838,710.327759,179.390976,654.082825,634.046570,142.687790,591.241272,696.412476,155.033264,1025.271851,837.576721,462.489502,,,,976.030029,867.956055,283.002960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,709.157288,710.448181,179.178741,648.927063,634.292725,143.310959,586.277466,696.929871,155.323349,1022.640625,836.833618,462.053192,,,,972.124023,866.989258,282.684174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,704.364441,710.589539,179.060211,643.611633,634.446289,143.628998,581.216980,697.644104,154.973373,1020.534119,835.648804,461.966583,,,,968.284180,865.832458,282.974518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,699.730408,710.793030,178.935883,637.800842,634.523804,144.524338,576.252197,698.160217,154.706131,1017.616699,834.790466,461.764343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,694.942200,711.094666,178.291565,632.868347,634.999268,143.880936,571.380920,698.650757,154.404541,1015.120117,834.271301,461.510376,,,,,,,959.920959,863.465454,283.568939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,689.769104,711.047729,178.598297,628.290344,635.727295,142.568100,566.709656,699.422485,153.695602,1012.240784,833.261108,461.096649,,,,,,,956.081421,862.456055,283.520569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,684.976318,711.137878,178.526108,623.181030,636.223328,142.143097,561.875549,699.978882,153.587219,1009.750366,832.334778,461.145233,,,,,,,952.368286,861.043152,283.789703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,680.280518,711.304138,178.247742,618.354553,636.523010,142.005676,557.051514,700.675659,153.446411,1007.191528,831.358582,460.737457,,,,,,,948.171326,859.917603,283.785553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,675.783691,711.564392,177.629684,613.313232,636.668213,142.094177,552.423218,701.501953,152.546814,1004.404541,830.416687,460.849518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,671.149536,711.551941,177.342484,607.981873,636.843933,142.309814,547.963745,702.107056,151.924255,1001.547119,829.632629,460.537842,,,,,,,,,,940.055664,857.366211,284.803284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,666.367188,711.679199,177.126007,603.850647,637.587891,141.078903,543.596313,702.802063,150.872711,999.173279,828.531311,460.563171,,,,,,,,,,936.530579,856.072632,284.245361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,661.880554,711.774475,176.697418,599.299194,637.985107,140.097900,538.999512,703.394836,150.850006,996.210815,827.722107,460.313171,,,,,,,,,,932.518982,854.939331,284.911011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,657.430054,711.865356,176.086624,594.529419,638.459595,139.803406,534.531738,704.063049,149.984940,993.860291,826.928711,460.164917,,,,,,,,,,928.926514,853.760132,285.386566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,653.659241,712.119446,175.191010,589.579163,638.848022,139.645691,530.179260,704.593384,149.253906,990.993958,825.748474,459.996124,,,,,,,,,,925.079346,852.744324,285.338165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,649.563110,712.421143,174.327148,585.464905,639.291260,138.475052,526.143555,705.287109,148.350525,988.697815,824.898132,459.656036,,,,,,,,,,921.548157,851.237671,285.786469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,645.324768,712.573303,173.757416,581.117737,639.708069,137.754578,522.154602,705.917603,147.462418,986.274475,824.195740,459.096344,,,,,,,,,,917.873779,850.052368,285.699646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,641.322205,712.686890,173.267883,576.287292,639.996643,137.927353,517.823975,706.434509,146.895615,983.719849,823.289063,458.784241,,,,,,,,,,913.866821,848.968079,286.149109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,637.091980,712.861877,172.498047,572.437439,640.431152,136.363739,513.721741,707.050598,145.684372,981.442444,822.311890,458.365967,,,,,,,,,,910.248047,847.646667,286.773071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,633.029297,712.959290,172.169525,568.769226,640.843323,135.118790,509.944336,707.654053,144.913727,978.847900,821.296692,458.198944,,,,,,,,,,906.912109,846.498169,286.580841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
