Weight60
Date:,2025/04/28
Time:,14:17:02
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
33,874.109619,681.294739,178.976135,825.193481,617.239075,109.845673,763.877625,628.736206,139.131851,1114.921387,872.518799,396.339783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,873.287170,681.710205,180.407303,824.054138,618.042480,111.561317,763.055542,629.224976,140.247574,1114.272461,872.463196,396.422668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,872.408386,681.968811,182.441025,823.510498,618.339233,113.193138,762.180725,629.705078,141.752914,1113.432617,872.461914,396.675568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,871.227966,682.193176,184.185303,822.655701,618.202820,114.641106,761.411011,630.082947,143.730179,1112.435303,872.679077,397.286743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,870.269714,682.950317,185.627548,822.144775,618.323364,116.990967,760.291199,630.463379,145.196259,1111.242554,872.996826,397.834381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,869.375732,683.569824,186.728729,821.263672,618.665771,119.085632,759.317322,631.044495,146.892242,1110.825439,872.909668,397.751129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,868.047424,684.270447,188.855362,819.833984,619.078308,120.311089,758.123413,631.621643,148.862930,1110.052734,872.936951,397.791656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,866.843079,684.912476,190.939636,818.544128,619.485046,122.647881,756.929810,631.940552,150.304565,1108.823975,873.152649,398.060608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,865.835510,685.215515,192.237717,817.545532,619.438171,124.784088,755.726746,632.423584,152.264893,1108.171509,873.187012,398.790405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,864.361206,685.788757,194.521179,816.345398,619.462585,126.705299,754.331299,632.789185,154.259064,1107.404175,873.281372,399.179779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,862.942993,686.251282,196.426361,814.925903,620.179443,129.158691,753.152710,633.336487,155.670502,1106.659058,873.333069,399.248138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,861.530701,686.540283,198.367752,813.275391,620.424988,131.654938,751.624329,633.753906,158.127899,1105.581055,873.480835,399.501373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,859.813904,687.112610,200.573120,811.870056,620.148071,133.628784,750.033569,634.020996,160.301666,1104.605957,873.651123,400.001648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,858.357910,687.754822,202.475327,810.340271,619.800659,136.508118,748.173584,634.516663,162.066422,1103.999268,873.669922,400.510956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,856.716064,688.438354,203.962265,808.629639,619.404602,138.966553,746.414185,634.879639,164.562134,1103.231323,873.679749,400.786285,1051.127441,900.678345,255.691193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,854.637329,688.588806,206.523422,806.704651,619.756470,141.124191,744.658020,635.255066,166.699951,1101.856201,873.984802,401.227142,1049.583130,901.739319,256.216034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,852.899109,689.178162,208.218521,804.966187,620.244263,143.237610,742.990662,635.759888,168.832764,1100.948853,873.897827,401.968781,1048.122681,902.096985,256.994995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,850.857483,689.664917,210.101700,802.900574,620.476868,145.237274,740.769897,636.218262,171.154480,1100.294556,873.818909,402.191193,1046.458130,902.347351,257.908203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,848.648071,689.510498,212.950577,800.814514,620.960876,147.432037,738.769592,636.479736,172.807022,1099.068481,873.762878,402.610474,1045.236938,902.653442,258.416992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,846.671692,690.024170,214.198761,798.230225,620.725830,149.528595,736.281799,636.895447,175.246536,1097.511475,874.009521,403.042114,1042.982910,902.705933,259.427429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,844.549988,690.424683,215.958588,795.507813,620.772156,151.448059,734.148560,637.161072,177.507416,1096.270874,874.013672,403.411804,1041.555420,902.973206,260.005646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,842.216187,690.836792,217.956528,793.224792,621.140015,154.022903,731.924744,637.433105,179.631088,1095.270874,873.809570,403.914520,1040.136963,903.448669,260.759674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,839.964722,691.005249,220.024399,790.759766,621.350830,155.876373,729.383179,637.656006,182.259415,1093.770508,873.781982,404.626740,1038.049927,903.155579,261.400726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,837.395264,690.992798,221.895706,788.291016,621.375305,157.454407,726.897705,637.929077,184.352478,1092.641113,873.523315,405.168488,1035.627075,903.023926,262.383820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,835.084351,691.567871,223.468231,785.801392,621.870056,159.923920,724.347900,638.155273,185.972366,1090.872925,873.545471,405.971191,1033.698608,903.348450,262.960358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,832.426208,691.937622,225.104828,782.787537,622.201355,161.379211,721.525757,638.693604,188.182175,1089.712280,873.226746,406.311798,1031.402222,903.413086,264.027374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,830.514709,692.145081,226.168732,779.814209,622.330017,162.726593,718.761902,638.796692,190.229492,1087.943848,872.997009,406.918579,1029.683228,903.447388,264.817841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,827.525024,691.937744,228.007431,776.930603,622.574646,165.037689,716.139954,638.946594,192.235703,1086.170654,872.808716,407.558044,1027.465942,903.211670,265.335846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,824.782532,692.068115,229.479095,773.814392,623.307007,166.815674,712.998047,639.175049,194.546936,1084.504761,872.683472,407.939423,1025.147705,903.080566,266.119324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,821.956360,692.139404,231.199036,770.648010,623.138733,167.894135,709.964600,639.453369,196.419205,1082.295532,872.321411,408.487579,1022.734009,902.719543,267.096619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,819.104980,692.403198,232.631668,767.437683,623.085205,169.334427,706.977417,639.704163,197.795670,1080.798706,871.965881,408.927002,1020.584778,902.702209,268.293854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,816.068237,692.771667,233.148849,763.752563,623.417725,170.842499,703.919861,639.960449,199.277237,1078.961548,871.607666,410.241089,1017.789001,902.364319,269.212921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,813.228638,693.484802,234.391098,760.312195,623.499634,172.340256,700.453613,640.220276,200.955185,1077.182007,871.166870,410.182617,1015.364807,901.972412,269.963013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,810.119385,693.580261,235.193619,757.195923,623.425354,173.427689,697.296448,640.382080,202.845245,1075.180176,870.804138,410.635162,1012.811768,901.971497,270.761505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,806.869873,694.015137,236.151703,753.650879,623.671204,174.888168,693.565613,640.655151,204.537018,1072.888916,870.566040,410.999756,1010.320557,901.682983,271.788055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,803.321533,694.259094,236.900330,749.534790,623.638733,176.008530,689.761719,640.831604,205.911331,1071.149902,870.036743,412.069214,1007.666687,901.043396,272.327759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,800.041138,693.997864,237.842133,746.101257,624.067139,177.105453,686.602356,640.973511,206.856445,1069.370483,869.507629,412.095093,1004.857605,900.522034,273.259247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,796.600159,693.981812,238.246307,742.386841,624.210938,178.001892,683.269043,641.175903,208.092392,1067.168701,869.151489,412.792328,1002.250671,900.185913,274.202057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,793.128479,694.060181,238.991165,738.763672,624.102539,179.021088,679.295837,641.559082,208.677185,1065.268188,868.625122,412.880707,999.045654,899.579529,274.875549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,789.482300,694.052429,239.701614,734.905640,624.151306,179.451599,675.537842,641.714661,209.748505,1063.069458,868.114929,413.792725,996.371643,899.332520,275.595856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,785.952942,693.841858,240.240463,730.701233,624.580688,179.712234,671.450684,641.876343,211.180038,1061.447021,867.821777,413.907043,993.414246,898.610779,276.557098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,782.535522,693.533752,241.014282,726.667175,624.810425,180.646790,667.521240,642.134460,211.418289,1059.189941,867.245728,414.457703,990.761719,897.563599,276.767395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,778.598328,693.453125,241.711365,722.625977,624.907654,181.462357,664.162598,642.290405,211.959625,1056.890137,866.905151,414.435913,987.802917,897.333130,277.488495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,774.775818,693.696167,241.621735,718.751160,625.499268,181.499313,660.381226,642.283081,212.663269,1054.761719,866.339966,415.144867,984.841980,896.667236,278.606842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,771.161194,693.529541,241.539703,714.735352,626.166565,181.416046,656.155396,642.561584,213.009140,1053.049805,865.713501,415.215149,981.703552,895.821411,278.902283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,767.261536,693.435913,241.786041,710.396729,626.360718,181.328522,652.053528,642.865234,213.189575,1050.374268,865.328979,415.468903,979.084412,894.916138,280.159149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,763.256714,693.249451,241.862808,706.270813,626.463013,181.631760,647.867432,643.113586,213.869797,1048.096924,864.899475,415.575073,975.849182,894.214783,280.839996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,759.461060,693.085327,241.848877,701.914795,626.203064,181.692429,643.780212,643.307068,214.603500,1045.890625,864.330261,415.910736,972.589844,893.242065,281.300507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,755.498840,692.865417,242.081436,697.213318,626.096619,181.750870,639.826233,643.407654,214.449371,1043.525757,863.928284,416.092621,969.402405,892.199951,282.276978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,751.794434,692.800171,241.566330,693.203003,626.355835,181.572830,635.932434,643.641968,214.528839,1041.539429,863.195862,416.341919,966.210876,891.770020,282.912567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,747.819519,692.516113,241.332581,689.246643,626.834839,181.292770,631.839905,643.834167,214.882751,1039.024414,862.805603,416.296722,963.524231,890.659729,283.488037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,743.602234,692.217896,241.364960,685.247498,626.699890,181.206223,627.713013,643.966187,214.531128,1036.360596,862.278931,416.532715,960.150208,889.571777,284.119598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,739.944641,691.963745,240.952576,681.049011,626.057678,180.877106,623.625488,644.074036,214.281799,1034.454956,861.414490,416.871094,956.736023,888.680298,285.030365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,735.965637,691.628479,240.554108,676.769287,625.671082,180.589096,619.498291,644.009460,213.908997,1032.111450,860.770996,416.868011,953.750244,887.827759,285.193237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,732.189026,691.271118,239.649231,672.779053,625.777893,180.269012,615.257019,643.983704,213.922821,1029.390137,860.200012,416.933563,950.368164,886.670166,285.725494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,728.389832,691.324829,238.972900,668.715942,626.206665,179.661102,611.117737,643.968445,213.679047,1027.223877,859.719421,417.113678,946.841614,885.196838,286.876801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,724.427429,690.961182,238.441391,664.435425,627.031311,178.622269,607.172241,643.831299,212.906036,1023.854919,859.068665,417.087067,943.977295,884.339844,286.976501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,720.231506,690.581543,237.818832,660.031250,627.548828,177.467575,603.220215,643.820374,212.428452,1022.087585,858.054016,417.233704,940.994568,883.225647,287.248901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,716.153259,690.053406,237.353683,655.865906,628.152954,176.470718,599.333923,643.877869,211.465912,1019.135437,857.396545,417.374207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,712.645569,689.836121,236.354431,651.798767,628.590820,175.175766,595.449463,643.931885,210.891327,1016.511414,856.735535,417.493011,,,,934.493958,880.871948,288.444824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,708.799683,688.912537,235.859543,647.475830,627.728027,174.368149,591.296936,643.978210,210.048325,1014.133362,855.838013,417.683350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,704.374634,688.278564,235.657181,643.858765,627.269714,174.286713,587.261963,644.185974,209.419556,1011.270325,854.852295,417.792114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,700.400940,687.893738,234.429626,639.369629,626.377808,173.577698,583.367188,644.236084,208.660995,1009.262878,853.673645,417.988556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,696.715271,687.715759,233.456055,635.631531,626.573303,173.137299,579.221375,644.232910,207.866318,1005.858704,852.971497,417.871246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,692.883057,687.487305,232.126404,631.776428,626.596497,171.929703,575.331665,644.255371,206.944260,1003.162231,851.920044,418.145081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,688.886841,687.248169,231.009308,627.859680,626.515076,170.657486,571.648621,644.237000,205.711304,1000.854980,850.788757,418.286621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,684.955322,686.755493,231.128525,623.850708,627.104004,168.603348,567.699707,644.188843,204.565079,997.802856,849.740540,418.428101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,681.065613,686.587341,229.932007,620.071533,627.740601,167.376511,563.825012,644.275452,203.479034,994.912537,848.496948,418.934601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
