Weight64
Date:,2025/04/26
Time:,15:58:50
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
38,789.982544,710.323975,146.372040,985.016785,738.586792,300.654327,673.832520,693.433228,160.848831,1000.759888,813.950562,166.193588,,,,733.333801,629.815674,154.638474,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,786.063049,710.447571,147.070343,982.520264,738.466492,300.981598,670.078247,694.232666,162.418411,996.967346,814.034790,166.576630,,,,729.458740,630.288574,155.393677,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,782.095886,710.577942,148.018066,980.512451,738.078552,301.018921,666.088867,694.858887,163.801712,993.060303,813.933716,166.762222,,,,725.426392,630.794067,156.267654,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,778.216431,710.941895,148.855423,977.814392,738.073425,301.803955,661.931641,695.461670,164.814438,989.384644,813.960022,166.790878,,,,721.256409,631.151062,157.618942,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,774.009583,711.422302,149.889023,975.763611,737.694702,301.677246,657.740540,695.990295,166.212387,985.603882,814.039734,166.827194,,,,717.152771,631.429932,158.494904,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,769.927734,711.357300,150.815979,973.398438,737.578430,302.126434,653.833557,696.685913,167.509384,981.653870,813.968506,167.163101,,,,712.906677,631.928223,158.885986,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,765.400757,711.577026,151.839966,971.174988,737.257019,302.369049,650.198364,697.304321,168.060135,977.762756,813.902405,167.658112,,,,708.665344,632.443909,159.941208,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,761.285767,711.884583,152.390945,968.662781,737.041199,302.617218,646.323914,697.925171,168.606171,973.584900,813.901245,167.839127,,,,704.487671,632.667297,160.762497,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,757.703369,712.153137,152.288040,966.195496,736.766846,303.143280,642.221191,698.522827,169.264359,969.815491,813.949951,167.850601,,,,700.031677,632.940186,161.621643,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,754.467224,711.951904,152.440063,963.718933,736.299377,303.647430,638.269470,699.132324,170.214447,966.124512,813.837402,168.370148,,,,695.600220,633.477844,162.237152,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,749.812134,712.293884,152.962112,961.608032,735.858032,303.561951,634.218689,699.826965,171.219437,961.888306,813.687866,168.592834,,,,691.243347,633.968201,162.883636,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,745.143616,712.522400,153.907028,959.214539,735.594421,304.119476,629.993958,700.380920,172.148605,957.615356,813.463440,168.658005,,,,686.676758,635.073059,163.744690,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,741.068787,712.465759,154.293076,957.057922,735.242554,304.266205,625.510864,700.962952,173.007431,953.985352,812.931519,169.140366,,,,682.225220,635.947632,164.574234,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,737.434082,712.633911,154.732742,954.553711,734.972961,304.718445,621.181091,701.457886,173.897614,950.294189,812.677307,169.261292,,,,677.907593,636.294189,165.124817,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,733.056885,713.343994,155.636383,952.521851,734.554138,305.099670,617.162537,702.087219,174.748856,945.904480,812.474548,169.588364,,,,673.637756,637.059204,165.105911,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,728.531250,713.708740,156.127548,949.944580,734.468323,305.175751,613.034058,702.722839,175.086609,942.081909,812.032043,170.022293,,,,669.400391,637.343506,165.325699,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,724.150574,713.576416,156.383774,947.392944,734.182739,305.745972,609.012756,703.576233,174.978195,938.113770,811.874023,170.317001,,,,664.882568,637.660767,166.222214,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,719.991089,713.592896,156.455017,945.442505,733.714111,306.016052,604.709717,704.390320,175.665771,934.042908,811.572815,170.526489,,,,660.326904,638.290161,166.718185,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,716.495850,713.648254,156.614670,943.019104,733.261719,306.294464,600.061829,704.996399,176.494904,930.383240,811.100769,170.791824,,,,655.950195,639.030212,167.167755,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,712.620667,713.589233,156.825134,940.718323,732.833435,306.529999,595.936279,705.620728,176.765350,926.316345,810.627319,171.379883,,,,651.456299,639.493408,167.590027,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,708.349060,713.674194,156.908340,938.500244,732.435059,306.741943,592.046204,706.270691,176.975601,922.280640,810.192444,171.591522,,,,646.967529,639.810303,167.855713,,,,,,,,,,,,,,,,,,,,,,,,,,,
