Weight61
Date:,2025/04/23
Time:,14:07:03
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
26,846.119507,719.732544,138.990814,731.869690,676.314026,141.635071,800.202393,626.134766,147.440659,1090.795654,860.366089,372.527527,,,,1046.861206,887.127502,228.810349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,844.001221,719.969604,141.287842,729.443909,676.290100,143.995499,798.073303,625.971619,149.224182,1090.057251,860.338013,372.406403,,,,1044.699707,886.992859,229.540771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,841.666626,719.736328,143.447998,727.257385,676.387878,146.499786,795.773499,626.021912,151.481750,1089.365723,860.251343,372.212830,,,,1043.342407,887.263855,229.860138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,839.001343,719.948181,145.099503,724.728210,676.387146,148.853790,793.377625,625.792236,153.117340,1088.387817,860.247742,372.401947,,,,1042.185669,887.503418,230.348190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,837.039612,719.714966,146.815521,722.686951,676.205139,151.283493,791.317932,625.747925,154.521301,1087.256958,860.284607,372.838837,,,,1040.104370,887.291321,230.998596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,834.283447,720.116272,148.551529,720.073730,676.384583,153.986649,788.684631,625.732971,156.551208,1086.138428,860.279419,373.197998,,,,1038.496216,887.358032,231.057266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,832.419312,720.035400,150.074600,717.893494,676.200867,156.507126,786.166443,625.816345,158.434784,1085.439087,860.152588,373.227448,,,,1036.590210,887.432739,231.751511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,829.206421,720.008728,152.472183,714.911072,676.263306,159.074295,783.594910,625.564941,159.995438,1084.525757,860.150635,373.129364,,,,1034.219849,887.545471,232.286926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,826.280945,720.039490,154.384735,712.274780,676.431885,161.656509,780.730713,625.668396,162.199677,1082.799805,860.095642,373.372345,,,,1032.343140,887.795410,233.085312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,823.679321,720.091064,156.197815,709.430359,676.475342,164.096603,777.905762,625.659668,164.104141,1081.382813,860.088806,373.707825,,,,1030.459839,887.251587,233.526367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,820.773621,720.315796,157.733871,706.265076,676.730957,166.765778,775.032959,625.869995,165.839355,1080.701172,860.009583,373.682831,,,,1027.428833,887.661011,234.256973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,817.605225,720.409363,160.046753,703.564026,676.943787,168.793060,772.126709,626.085083,167.659500,1079.415649,859.979492,374.051941,,,,1025.726440,887.487976,235.136322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,814.749268,720.312805,161.412964,700.544800,677.006714,171.315720,768.917725,626.143066,170.135712,1077.580933,859.856873,374.465454,,,,1023.273254,887.418884,236.024475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,810.966492,720.808044,163.245453,697.378784,677.361877,173.845306,765.777344,626.406128,171.709854,1076.301880,859.716919,374.371948,,,,1020.284180,887.086670,236.692429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,808.672241,720.940796,165.199310,694.335144,677.678040,175.809265,762.725220,626.631348,173.324066,1074.766357,859.693237,374.569153,,,,1017.772766,887.272766,236.949554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,805.024841,721.184570,166.640518,691.052307,678.023499,177.669083,759.516968,626.725342,175.318436,1072.725098,859.483887,375.253174,,,,1015.377930,886.928467,237.989258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
