Grasp35
Date:,2025/04/16
Time:,14:17:22
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
52,923.893738,837.587524,88.197624,783.067688,827.634705,67.865082,888.957947,755.412170,51.167248,1111.420654,945.995667,302.070007,1112.768066,909.382080,441.021454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,923.378540,836.348755,88.359978,783.077942,825.427979,67.777115,889.663330,753.246338,52.403057,1111.237427,945.852051,302.025116,1112.609253,909.334045,440.941345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,923.005554,834.677551,89.346581,783.256226,822.969482,68.131310,889.874756,751.263062,53.246647,1111.083862,945.657532,301.990417,1112.417603,909.343140,440.866821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,922.584717,833.069763,90.310234,782.687195,820.674500,69.326294,890.617065,749.115234,54.889381,1110.931519,945.358093,301.832886,1112.236328,909.320313,440.827484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,922.201721,831.508423,91.518509,782.596985,818.038940,69.767921,890.733093,747.091614,56.432396,1110.725586,945.093445,301.710907,1112.120972,909.225342,440.805603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,921.582764,829.623230,92.802895,782.435974,815.359009,70.570190,890.611877,744.759827,58.417919,1110.552979,944.942871,301.653656,1112.177612,909.132324,440.798309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,921.184326,828.000916,93.986313,781.848877,812.947083,71.371429,890.647400,742.597107,59.703106,1110.410034,944.704407,301.509460,1111.872192,909.136658,440.774414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,920.951843,826.314819,94.646912,782.078308,810.270203,72.021011,890.528015,740.618774,60.202972,1110.128662,944.414551,301.489929,1111.532471,909.092285,440.743225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,920.512390,824.407166,95.910995,781.604248,807.460083,73.599335,890.801453,738.615051,61.257843,1109.830933,944.076416,301.408661,1111.301392,908.954651,440.580780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,919.824402,822.442078,96.842468,781.666687,804.733093,74.415421,890.555908,736.531128,62.666183,1109.369263,943.730042,301.305359,1110.960327,908.831604,440.441620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,918.858337,820.661926,97.377449,781.220642,801.786011,75.877640,890.412415,734.079956,64.596344,1108.634644,943.375732,300.996826,1110.605835,908.704529,440.395294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,918.742493,818.797363,98.660362,780.734192,799.244873,76.892105,890.211670,731.816040,65.821625,1107.965454,942.967590,300.716187,1110.194946,908.521973,440.209198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,918.252869,816.663818,99.504837,780.517700,796.439026,78.471336,890.093506,729.734009,66.571480,1107.487183,942.577759,300.425720,1109.671265,908.421448,440.162415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,917.608093,814.794312,100.407707,780.403564,793.668518,79.721138,890.292480,727.446594,67.804276,1107.105713,942.200317,300.229401,1109.115479,908.343262,440.058472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
