Grasp121
Date:,2025/04/24
Time:,16:09:46
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
49,964.100220,744.947144,272.964539,808.771912,413.871735,156.041260,712.112427,450.949188,144.174988,832.909485,515.645386,175.456314,,,,,,,1058.204346,801.448792,428.409210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,965.655396,747.267334,273.292328,808.679626,415.098145,162.386871,711.966797,451.520081,150.916306,832.894958,517.539551,180.035355,,,,,,,1059.205444,802.377502,427.883881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,967.028748,750.102905,273.049164,808.659180,417.176056,169.442993,711.819092,452.437958,157.864426,832.350281,519.658752,184.528732,,,,,,,1059.953369,803.385193,427.405029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,969.350769,752.226257,272.601685,807.991821,419.393402,176.393997,711.903442,453.727966,164.332779,831.464417,521.954834,189.391571,,,,,,,1060.841187,804.252380,427.098450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,970.902222,754.157532,272.557617,808.265198,421.433441,182.487793,711.792542,455.469757,170.902893,831.594238,524.268188,193.654449,,,,,,,1062.202515,805.147522,426.859406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,972.620300,756.936951,272.608093,808.493652,423.499084,188.644897,711.308350,457.608887,177.946548,831.521729,526.993530,198.274643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,974.721863,759.157166,273.098328,808.585693,425.796570,195.312439,710.900330,460.004547,184.333328,831.387695,529.880310,202.930817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,975.871765,761.549988,273.037231,808.947998,428.610779,201.634094,710.920959,462.569885,190.992462,831.049438,532.987854,207.244217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,977.567871,764.052979,272.680450,808.519287,432.206970,207.666260,710.749329,465.171234,197.124893,831.234924,536.097229,211.510590,,,,,,,,,,1067.038208,808.348328,426.255707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,979.242065,766.220947,272.651062,808.740051,435.322876,213.349380,710.594360,468.104706,203.741791,830.705017,539.543335,215.432480,,,,,,,,,,1068.118408,809.144165,425.886536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,981.385742,768.773132,272.776733,808.899963,438.974915,219.378098,710.688110,471.204529,210.496384,830.656494,542.804138,219.391739,,,,,,,,,,1069.447388,809.992615,425.430115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,983.652771,770.979919,272.580872,809.406250,442.655212,225.419144,710.982849,474.339966,216.533264,830.541077,546.641418,223.390884,,,,,,,,,,1070.654297,810.700684,425.016846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,985.990662,773.154785,272.313110,809.901001,446.265106,231.605881,711.201111,477.686249,222.710052,830.324280,550.584412,227.068832,,,,,,,,,,1071.717896,811.392700,424.903290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,988.753479,775.746765,272.140045,810.293945,450.262238,236.645859,711.611450,481.093109,228.907242,830.742798,554.264526,230.284760,,,,,,,,,,1073.091309,812.261597,424.398438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,990.255920,778.294800,272.404694,811.048767,454.751770,241.584396,711.808655,484.646362,234.652649,830.827759,558.560181,233.369812,,,,,,,,,,1074.644653,812.923584,424.184723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,991.713806,780.766785,272.491608,811.524231,458.928192,246.939621,712.266296,488.630249,240.393906,830.558472,562.582214,235.897781,,,,,,,,,,1076.372925,813.494080,423.947021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,993.914185,783.378845,272.495880,811.824768,463.785431,251.726181,712.804626,492.543854,245.979553,830.620117,567.163757,239.367004,,,,,,,,,,1077.486938,814.257385,423.966217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,995.652283,785.833374,272.368134,811.594727,468.814575,256.356018,713.149536,496.597260,251.466248,830.659363,571.331177,242.065552,,,,,,,,,,1078.439331,815.080078,423.548706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,997.806030,788.242126,272.440308,812.741394,472.902740,261.082153,713.645813,500.956116,256.585571,830.836731,575.772705,244.253403,,,,,,,,,,1078.984497,815.987610,423.505005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1000.300903,790.840454,272.663971,813.153076,477.948761,264.828339,714.369446,505.644531,261.080109,831.602539,580.302673,246.026001,,,,,,,,,,1080.032349,816.622864,423.894836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1001.950256,793.368835,272.264465,813.897400,482.425323,268.453278,714.674500,510.437805,265.651123,831.408813,584.731567,248.087143,,,,,,,,,,1081.722778,817.345886,423.752319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1004.058411,795.708130,272.233765,814.311768,487.469910,271.801331,715.139709,515.499634,270.038940,831.667419,589.820984,250.136276,,,,,,,,,,1083.847412,817.817200,423.425171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1007.063965,798.066650,272.243622,815.137512,492.420227,274.691376,715.423828,520.539734,274.023071,831.409912,594.236206,251.731552,,,,,,,,,,1085.289185,818.475952,423.138702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1009.794250,800.149780,271.888672,815.783691,497.705292,277.561157,715.548401,525.929443,277.818939,832.355408,598.724670,253.159622,,,,,,,,,,1086.314697,819.310730,422.740143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1012.211731,802.426086,271.348877,816.218567,502.754181,280.460480,715.921631,531.269226,280.809753,832.091187,603.632263,254.486450,,,,,,,,,,1087.109619,820.029907,423.000275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1014.637634,805.267700,271.915009,816.983704,508.028839,282.754150,716.673279,536.746155,283.808960,832.746338,608.535889,255.655991,,,,,,,,,,1088.286865,820.839905,423.377411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1015.238647,807.768372,272.466705,817.857483,513.194885,285.492218,717.231262,542.319763,286.600403,832.523621,613.232239,256.852722,,,,,,,,,,1089.991211,822.980103,423.725800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1016.976318,810.164795,272.456329,818.789673,518.138550,287.503662,717.802979,548.038452,289.108612,833.285034,618.203613,257.340881,,,,,,,,,,1091.020996,823.486328,423.390442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1020.355896,812.073181,272.201691,818.978455,523.767029,288.758942,718.017822,553.824036,291.368134,833.599915,622.991394,257.550049,,,,,,,,,,1092.270264,823.173096,423.162384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1022.941711,813.822021,272.049591,820.701172,528.622375,290.453430,718.770691,559.445862,293.450409,834.112122,627.625793,258.082123,,,,,,,,,,1093.848145,823.723022,423.030609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1025.246460,816.243652,271.858826,820.293335,534.376282,291.473145,719.192688,565.457214,294.948730,834.774353,632.477844,258.305725,,,,,,,,,,1095.245972,825.588867,423.639191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1027.223389,818.550659,271.630402,820.747314,539.505798,292.176392,719.984253,571.204651,295.919556,835.460510,637.530579,258.122345,,,,,,,,,,1097.010864,827.011047,423.871582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1028.282837,821.164551,271.839783,820.603394,544.824951,292.826294,719.978943,577.108154,297.319550,835.997314,642.075806,258.097229,,,,,,,,,,1098.381958,827.614502,423.601654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1030.374023,823.344543,271.651520,822.076477,549.557373,293.771820,720.257385,583.330444,298.427521,836.604065,647.023804,257.334991,,,,,,,,,,1099.459717,827.822083,423.284546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1033.503540,825.202271,271.828400,822.883362,554.922485,293.450409,721.321350,588.987793,298.509216,837.199951,651.720703,256.741547,,,,,,,,,,1100.995605,828.834900,423.476105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1035.300537,827.399292,271.395264,823.818848,559.654114,293.874481,721.297485,594.773743,299.137146,837.878418,656.605286,256.148682,,,,,,,,,,1102.526611,829.832581,423.731689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
