Grasp41
Date:,2025/04/16
Time:,14:27:53
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
45,798.662354,775.100647,107.727829,937.688354,781.550781,110.420723,893.859680,699.664978,103.929230,1233.992554,865.049438,409.430817,,,,1130.582886,903.383423,259.405243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,798.327148,773.860474,109.876678,937.433716,779.751465,111.501335,894.322998,697.462341,106.265152,1234.116821,864.923035,409.177734,,,,1130.747070,902.875854,259.124573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,797.620789,772.599792,111.599365,937.052307,778.255737,113.216942,895.145813,695.546387,108.056625,1234.140747,864.836365,408.875397,,,,1130.916992,902.704651,258.322845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,797.698608,770.874329,113.484299,936.676514,776.570129,114.461998,894.237549,693.797119,110.488091,1234.178711,864.777100,408.553589,,,,1131.181030,902.199646,258.122437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,797.766052,768.910706,115.292633,936.123047,775.320862,116.055359,894.494507,691.786438,112.470840,1234.168579,864.600952,408.114624,,,,1131.281982,901.618164,257.688232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,797.632935,766.763733,116.867744,936.133423,773.715820,117.114639,895.052734,689.792358,114.508713,1234.106567,864.331421,407.747406,,,,1131.262817,901.127869,257.270447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,797.165039,765.089050,118.506012,936.064453,771.811340,118.025345,895.391602,687.519226,116.706413,1233.930176,864.045837,407.261230,,,,1131.230835,900.449829,256.629852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,796.851379,763.179077,120.428940,935.323303,770.104065,119.067284,895.759399,685.592590,117.946426,1233.758911,863.799377,406.798401,,,,1131.010986,899.717834,256.077332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,797.173645,760.905090,121.829353,935.004272,768.236389,120.005424,895.839478,684.003845,118.772263,1233.593750,863.554138,406.466736,,,,1130.736694,899.315613,255.645462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,796.418335,758.879211,122.611580,935.177979,766.870117,120.710693,895.370605,682.034607,120.028603,1233.532837,863.335571,406.121735,,,,1130.468384,899.002502,255.167419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,796.362244,756.577698,124.112602,934.794617,764.886719,121.874420,895.097412,679.884583,121.845970,1233.250122,863.164368,405.774353,,,,1130.108032,898.539734,254.449493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,795.941345,754.734009,125.417870,934.366577,762.968994,123.269478,895.986694,677.697266,123.399910,1232.948242,862.931335,405.470032,,,,1129.809082,897.786499,253.971802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,795.249268,752.650696,126.879005,933.972961,761.376648,123.933846,895.848145,675.875427,124.970055,1232.716553,862.777893,405.131622,,,,1129.364258,896.762634,253.821564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,794.144836,750.637207,128.471741,933.843079,759.782166,124.205696,895.824646,673.952637,125.690796,1232.101563,862.591919,404.554474,,,,1128.774780,896.008179,253.315231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,794.063477,748.623901,128.968506,933.244507,758.114075,125.016663,895.391296,671.864807,126.651230,1231.616943,862.363647,404.246735,,,,1128.410156,895.237793,253.047485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,794.488159,746.325073,129.914200,932.394287,756.119202,126.152267,894.957581,669.926636,127.745598,1231.065430,862.146912,403.772278,,,,1127.698730,894.275024,252.813568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,793.659058,744.486694,130.934402,931.775513,754.730408,126.733391,895.057129,667.628906,129.609253,1230.579468,861.985840,403.351624,,,,1127.610474,892.213440,251.512482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,792.784302,742.869995,131.458466,931.450073,752.983765,127.083923,894.945740,665.638611,130.388550,1230.121582,861.851929,403.045166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,792.524719,741.282349,132.335846,930.766846,751.236450,127.530167,894.868835,663.892822,130.691498,1229.613159,861.602600,402.938141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,792.107788,739.318176,133.560242,929.784912,749.363098,128.408844,894.070923,662.443115,131.401505,1229.120605,861.247864,402.713928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,791.278015,737.697083,134.087769,929.288452,747.768188,128.797653,893.394714,660.629456,132.633438,1228.560547,861.002258,402.536926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
