Grasp29
Date:,2025/04/16
Time:,10:31:59
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
26,857.738220,435.207550,30.371193,907.478699,515.128296,59.950550,1018.759644,670.808777,236.200058,1053.139282,650.562134,384.332367,786.066772,458.654510,29.683992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,857.349243,435.191254,30.726364,907.026550,515.214355,60.424526,1019.049866,671.299011,236.153458,1053.372437,650.630554,384.245178,785.619324,458.658264,29.779461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,856.959534,434.955292,31.743464,906.192749,515.583679,61.576649,1019.599548,672.118774,236.008759,1053.767700,650.774353,384.167755,785.172668,458.612854,29.844925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,856.197571,434.919647,33.428848,904.973145,516.033325,63.254074,1020.256226,673.018433,236.000305,1054.285767,651.016785,383.796356,784.723755,458.561127,29.824696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,855.265076,435.048004,35.722462,903.636353,516.159485,65.071968,1020.880859,673.799377,235.949265,1054.732544,651.552063,383.409485,784.197266,458.598633,29.781580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,854.471863,435.019775,38.621689,902.535950,516.304138,66.821404,1020.987000,674.788818,235.456345,1055.733521,651.974060,382.950562,783.845093,458.635956,29.604076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,853.309998,434.912170,42.756737,901.503479,516.934021,68.688889,,,,1056.481323,652.639282,382.397278,783.549683,458.816437,29.354342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,851.828125,435.422485,45.838169,900.330872,517.127380,71.153564,,,,1056.993042,653.096558,382.108612,783.289978,459.042114,29.118954,1024.666626,677.202332,234.924866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,850.772400,435.905457,49.584538,898.857178,517.610962,73.999550,,,,1057.099609,653.737000,382.007660,782.853455,459.372681,29.391476,1025.688232,677.899780,234.724792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,848.971558,436.143890,54.174404,897.675171,518.048218,76.594322,,,,1057.398804,654.626831,382.312988,782.600037,459.734619,29.771135,1027.166626,679.631775,234.588364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,847.670959,436.663330,59.089485,896.716919,518.648865,79.791878,,,,1058.001343,655.783752,382.137054,782.484985,460.201447,30.317762,1028.342529,681.400208,234.532700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,846.306335,437.037567,63.858212,895.677979,519.526367,82.663025,,,,1059.484253,656.734497,381.382111,782.413513,460.888092,31.443144,1029.943604,682.466980,234.190445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,845.233521,437.424713,69.037407,894.766052,520.173767,86.236488,,,,1060.431885,657.715393,380.901276,782.598938,461.491119,32.794270,1031.410522,683.821960,233.988190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,844.052429,437.911072,74.197502,893.621887,520.977905,89.352165,,,,1060.933594,658.960693,380.732880,782.566406,462.318909,34.179089,1032.268799,685.280212,234.727554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,842.846252,438.610718,79.234947,892.481812,521.566040,92.859947,,,,1062.014893,660.166382,380.654755,781.964294,463.558929,36.750488,1033.152344,686.820862,234.851578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,842.374756,439.085083,83.989281,891.712036,522.143677,96.014496,,,,1062.812744,661.586487,380.197632,781.399719,464.365112,40.512886,1035.811401,687.618164,234.802231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,841.280701,440.013123,88.454140,890.766113,522.932861,99.262413,,,,1063.652466,663.124573,379.763153,780.427307,464.926361,45.051228,1038.120972,688.677002,234.319366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,840.406433,440.908295,92.681358,890.373047,523.950134,102.458199,,,,1065.006714,664.206848,379.329987,778.808105,465.793030,50.612846,1039.706543,689.670105,234.161530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,839.450256,441.801758,96.554665,890.081909,524.916565,105.187477,,,,1066.060547,665.122375,379.338623,777.205811,467.223389,56.026356,1040.580444,690.939819,234.590408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,838.962219,442.382629,99.165382,889.856384,525.758911,108.262901,,,,1066.868530,666.278259,379.296814,775.564270,469.173981,60.934551,1041.276367,692.604980,235.256760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,838.745728,443.034485,101.785645,889.604736,526.659729,111.376373,,,,1068.238647,667.590698,379.081390,774.205627,471.119843,65.700439,1042.171387,693.805176,235.594620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,838.011902,443.757568,104.444313,889.393677,527.745300,114.218575,,,,1069.475220,668.366821,378.860352,772.888123,473.520508,71.670792,1043.813965,694.874634,235.938385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,837.640076,444.611694,106.670876,889.302124,528.834656,116.898300,,,,1070.718506,669.244873,379.002014,771.008240,476.032776,77.248131,1046.877930,695.247498,235.803925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,836.996460,445.800262,108.742279,889.410400,529.968201,120.428490,,,,1072.240601,670.002930,379.066040,769.497559,478.520538,82.035255,1048.741211,696.139709,235.268372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,836.335815,446.747253,110.379089,889.207214,531.067566,122.883026,,,,1073.384766,670.704651,378.780029,768.144226,481.558807,87.298248,1050.225098,697.384949,235.555267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,835.491577,447.942322,112.474373,889.200073,532.506348,126.211166,,,,1074.311768,671.214417,378.666718,767.120544,484.506195,92.750992,1051.370850,698.567749,236.291687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
