Grasp57
Date:,2025/04/22
Time:,15:42:56
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44,,,*45,,,*46,,,*47,,,*48,,,*49,,,*50
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,966.150452,745.385742,252.461487,769.099548,482.623291,30.212330,845.079895,462.313263,31.081766,890.367554,544.845642,64.005272,1045.336060,819.697754,401.941132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,966.319397,745.481567,252.320572,769.109131,482.650146,30.165693,845.091248,462.338959,31.202349,890.354370,544.984680,64.187813,1045.715698,819.724426,401.889923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,966.535583,745.574463,252.254532,769.183960,482.626343,30.234583,845.146545,462.369354,31.180357,890.377930,544.991150,64.335175,1045.965454,819.712585,401.840088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,966.737549,745.805115,252.186111,769.186707,482.698730,30.224499,845.118347,462.367615,31.203377,890.308655,545.089722,64.577377,1045.887085,820.208801,401.542694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,967.354980,745.752197,251.933350,769.316101,482.791565,30.263634,845.140930,462.533875,31.196579,890.263855,545.201416,64.553192,1046.280518,820.323486,401.350616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,967.540588,746.101624,251.844727,769.481018,482.905457,30.254068,845.162720,462.672974,31.178717,890.254761,545.309326,64.704727,1046.974976,820.396362,401.247437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,968.074097,746.431885,251.514145,769.692688,483.016998,30.277298,845.267761,462.865601,31.204967,890.188538,545.455261,64.996559,1047.692383,820.651917,401.064056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,968.625000,746.965881,251.334412,769.942444,483.146027,30.231012,845.227661,463.121460,31.233974,890.226013,545.610168,65.454079,1048.268066,820.837830,400.816956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,969.023743,747.415161,251.215927,770.194946,483.299469,30.057825,845.221802,463.291840,31.263372,890.076721,545.882751,66.055847,1049.158447,821.066956,400.783905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,969.317810,748.011414,250.916733,770.640503,483.723938,30.319481,845.319153,463.601532,31.334557,889.959473,546.290100,66.899872,1049.890991,821.193420,400.941833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,969.879700,748.478333,250.764297,770.978149,484.094757,30.011425,845.313843,464.075897,31.720425,889.994873,546.653381,67.266579,1051.058228,821.076111,400.752899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,970.318787,748.859741,250.629318,771.701416,484.166901,30.262060,845.281982,464.713684,31.853912,890.145203,547.117004,67.479530,1052.028442,821.252136,400.588959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,970.770508,749.626343,250.604004,772.359070,484.426086,30.486881,845.354736,465.461884,31.833141,890.440430,547.820862,67.695641,1052.787842,821.646301,400.629364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,971.659424,750.426636,250.419693,773.091614,484.581482,30.762484,845.521484,466.271759,31.683527,890.925293,548.531250,68.065376,1053.728516,822.020020,400.564667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,972.932983,751.459412,250.107101,773.817139,484.722687,31.124714,845.828552,467.150635,31.556793,891.515259,549.351990,68.645660,1054.364990,822.419373,400.483368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,973.675659,752.462952,249.913422,775.032349,485.131195,31.061007,846.710693,468.076294,31.658665,891.936035,550.296936,69.692421,1054.856323,822.714355,400.714905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,973.733276,754.258545,250.182999,776.769409,485.691498,31.243437,847.649048,469.169739,31.710394,892.369385,551.181519,70.665878,1055.861084,823.086670,400.893311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,974.659912,755.638855,250.425507,778.596985,486.048859,31.586115,848.438721,470.090424,31.833548,893.328918,552.330200,71.244194,1057.339478,823.738037,401.126831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,975.810364,756.839294,250.375488,780.415649,486.146759,31.744831,849.423767,471.120636,32.089859,894.630066,553.463623,71.759720,1058.465576,824.559387,401.108856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,977.264709,758.353088,249.953568,783.150513,486.397430,31.605122,850.601135,472.516113,32.341934,895.510498,554.768799,72.973289,1059.113403,825.251099,401.186676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,978.753540,760.173096,249.201248,785.840027,486.470154,31.999853,852.236267,473.743011,33.328037,896.751404,556.667236,73.732079,1060.344727,825.990967,401.385529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,979.650940,762.352173,249.422424,788.641418,486.587616,33.325489,854.599243,474.774902,34.004971,898.586304,558.134583,74.528526,1061.744385,826.693298,401.774963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,981.131287,764.000122,249.641144,791.452332,486.705872,34.355522,857.095642,475.879333,34.511868,900.372314,559.722229,75.500206,1062.878296,827.628052,402.459900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,983.237427,766.186279,249.487366,794.470825,487.023895,35.943520,859.617493,477.366516,35.152130,901.884399,561.729675,76.555237,1063.902954,828.507935,402.813232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,984.692993,768.367981,249.203522,797.930298,487.769867,36.891491,862.633301,478.585754,36.668362,903.809143,563.813293,77.755043,1065.931763,829.292175,403.169464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,985.810974,770.606079,249.272339,801.743164,488.582397,37.896336,865.491028,480.042145,38.281712,906.234558,565.860046,78.105446,1067.933350,830.161804,403.890411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,987.782898,773.322144,249.433701,805.676941,488.862274,38.477806,868.795715,481.401642,39.157990,908.548340,567.779358,79.207169,1069.423706,832.541199,404.254120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,989.279358,776.017334,249.517761,809.977966,489.626953,39.230831,871.942871,483.327271,39.951488,911.043945,570.086426,81.242424,1070.750488,834.105469,405.004456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,990.937073,778.667480,249.639420,814.313904,490.956970,39.874001,875.761292,484.771820,42.125237,913.501038,572.499695,81.912308,1072.673340,835.481995,405.703552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,993.227844,781.922913,249.570541,818.919617,492.358582,40.268204,878.595398,486.492737,42.938435,916.280273,574.576233,82.634926,1073.999634,836.778381,406.175140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,995.846069,784.593689,249.386841,823.876221,494.132813,40.789478,881.978516,488.892151,44.060867,919.033997,577.257874,84.278679,1075.876587,837.817139,407.149689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,998.395081,787.259583,249.466751,828.977234,495.714630,41.274269,885.083557,491.367828,45.132561,922.373291,579.908508,85.195534,1077.759521,839.112427,407.260834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1000.660156,790.525879,249.386353,834.035034,497.523193,41.881763,888.205261,493.804504,46.289852,925.004150,582.449707,86.300301,1079.660889,840.433289,408.062103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1003.062744,793.677246,249.658325,839.289490,500.091309,42.990715,891.718384,496.432129,47.899303,927.953857,585.290405,87.816795,1081.339966,841.673401,409.052124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1004.926697,797.252014,249.886108,844.964722,502.447815,43.749134,894.789429,499.074677,49.645153,931.102966,588.241089,89.923874,1083.160522,843.020752,409.997681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1008.081543,800.335205,250.420532,850.706482,504.808197,44.109344,897.694519,501.844452,51.236752,934.168579,591.202820,91.205078,1084.908569,844.161133,411.081207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1011.163452,803.315186,250.413086,856.185425,507.890106,45.312244,900.749573,504.563354,52.782524,937.856750,594.217590,91.930298,1087.200195,845.687927,411.608185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1015.180359,806.647583,249.922943,861.486450,511.511139,46.433952,904.002563,507.757324,54.725483,941.001465,597.585083,93.603065,1089.441284,846.927246,412.312744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1017.593628,810.113831,250.139191,866.999756,515.138672,47.067715,907.057922,511.182281,56.785698,944.529846,600.796875,94.229637,1091.321777,848.482544,413.073883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1019.737305,813.824341,250.460190,872.968628,519.438293,48.015038,909.903809,514.616455,59.639931,948.089355,604.274170,95.138100,1093.723633,849.818665,414.623596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1023.409668,817.068298,250.731430,878.155273,523.429016,48.580112,912.894043,517.827393,62.052128,951.553650,607.930969,96.848610,1095.631592,851.262756,415.306793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1026.998657,820.537659,251.069519,883.482300,527.942322,49.901249,915.562927,521.209900,64.679047,954.610229,611.562988,98.555252,1098.003174,852.863770,416.170319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1030.081177,824.171509,251.234238,888.153748,532.389587,51.183838,918.112305,525.029724,67.549057,957.747314,615.190674,99.550156,1099.950562,854.223267,416.794220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1034.036865,827.402222,251.780411,892.593384,536.707214,52.681557,920.809387,528.888855,69.692528,961.131470,618.665344,101.391914,1102.269287,855.762573,417.975891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1037.329224,831.232178,251.954834,896.517517,541.135742,54.491726,923.672485,532.764832,71.549225,964.277588,622.250854,103.194839,1104.262451,857.251953,418.850464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1040.184814,835.024109,252.474503,900.029724,546.203552,55.739563,926.057556,536.347412,74.039215,966.920593,626.149963,104.711662,1106.753296,858.787109,419.872101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1043.881470,838.696716,253.246475,903.381531,551.087708,57.598591,928.681763,539.863342,75.846344,969.701599,630.192993,105.505028,1108.957153,860.112122,420.757202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1048.082642,841.902710,253.393661,906.270569,555.924011,58.881187,931.111145,543.530884,77.633354,972.578430,634.097778,106.699219,1111.143066,861.567139,421.854797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
