Grasp120
Date:,2025/04/23
Time:,14:06:04
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
35,869.118286,649.946960,108.249229,911.004150,746.653748,121.900940,778.651001,722.116882,130.361038,1171.251709,859.397217,388.360077,1126.060181,887.194641,233.922287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,867.909546,647.948364,108.343140,909.686157,744.909607,121.789764,776.885925,720.138184,130.202789,1170.011719,859.130310,388.147736,1124.864014,886.288269,233.457397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,866.317383,646.262634,108.364838,908.182922,743.178894,121.945770,775.890198,717.749939,130.500443,1168.892456,858.892639,387.361877,1122.805054,885.069092,232.980362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,865.373901,644.122253,108.578575,906.763977,741.353516,122.452560,774.836426,715.648621,130.506821,1168.000977,858.745911,386.461304,1121.523682,883.879333,232.517105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,864.074829,642.203064,108.766098,905.628601,739.830811,122.248535,773.366089,714.112793,130.924759,1166.976440,858.444946,386.396149,1120.142334,883.050964,232.138702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,862.932007,640.573181,108.826035,904.027954,738.150879,122.269997,771.807495,712.329285,131.534592,1165.712036,858.066101,386.207458,1119.062744,881.742432,230.980515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,861.432678,639.211182,108.868034,902.511169,736.799683,122.179817,770.664978,710.486328,131.697647,1164.345947,857.877869,385.849030,1116.822998,880.851135,230.826065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,859.924927,637.411621,109.177704,901.195435,734.908630,122.401909,769.519287,708.854614,131.283340,1163.388428,857.610657,385.606689,1115.234741,880.227661,230.756256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,858.647522,635.901672,108.420387,899.965393,733.237000,122.422493,768.268433,707.255005,130.802567,1162.234863,857.244446,385.248047,1114.102539,879.204285,229.639832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,857.295471,634.377319,108.146667,898.870361,731.863281,122.088905,767.424561,705.698914,130.485672,1161.199829,856.876831,384.873108,1112.788452,876.929871,228.711105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,856.245911,632.846313,108.112358,897.551941,730.362305,121.145103,765.915283,704.233154,129.693100,1160.132690,856.702271,384.493683,1111.082031,876.762085,229.108551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,854.991028,631.565979,107.510597,896.634827,729.046265,120.683113,764.611938,703.137329,129.169617,1159.060547,856.494019,384.246155,1109.645630,876.435181,228.670227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,853.370300,630.081665,107.177017,895.899902,727.654602,120.514069,763.672241,701.822693,128.683731,1157.670776,856.308105,383.916656,1108.365967,874.388672,227.553467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
