Grasp97
Date:,2025/04/22
Time:,17:34:08
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
35,918.129456,799.457947,86.260880,1076.956543,888.426514,226.836792,,,,1148.559570,874.241455,344.547333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,918.755737,797.813049,87.305656,1077.224976,887.259033,226.272644,,,,1148.617920,874.110474,344.186279,,,,,,,,,,,,,856.275391,718.869446,62.093662,783.231384,797.215088,71.178139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,918.480835,795.974915,88.123596,1077.248535,886.910400,225.986069,,,,1148.650391,873.992065,344.035675,,,,,,,,,,,,,858.137512,715.202515,64.090385,782.281372,793.879211,74.031639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,917.851624,793.897644,89.289047,1077.070679,886.534546,225.929123,,,,1148.704590,873.787170,343.712097,,,,,,,,,,,,,859.636719,711.594055,66.197792,782.901184,790.555908,76.655991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,917.627258,792.101440,90.107384,1076.874023,885.916870,225.826675,,,,1148.646362,873.504028,343.339264,,,,,,,,,,,,,860.900574,708.248779,67.503860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,917.755920,789.913513,91.619759,1076.694946,885.050049,225.676437,,,,1148.535889,873.253479,343.078186,,,,,,,,,,,,,862.368408,704.589172,69.131546,,,,782.839355,784.097229,82.961006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,917.575500,787.858337,92.647980,1076.506470,884.242493,225.450821,,,,1148.406250,872.993835,342.887634,,,,,,,,,,,,,863.810547,700.976929,70.866402,,,,783.164063,780.618347,84.787666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,917.137756,785.634644,93.553780,1076.210083,883.466797,225.060562,,,,1148.059448,872.797485,342.290863,,,,,,,,,,,,,866.246338,697.398499,72.535408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,916.609497,783.324768,94.690979,1075.497681,882.876038,225.078720,,,,1147.788086,872.554810,342.050354,,,,,,,,,,,,,868.335266,694.252625,74.694031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,916.594971,781.260986,95.252632,1075.002075,881.892822,224.942459,,,,1147.353394,872.195496,341.680664,,,,,,,,,,,,,870.228882,691.073486,77.172562,,,,,,,782.837219,770.546143,92.664436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
