Grasp125
Date:,2025/04/23
Time:,16:09:21
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
47,854.201782,467.922363,47.427658,916.232483,542.595032,89.814735,799.559204,497.213440,50.131531,1146.410645,724.017883,380.885590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,858.527283,468.896576,50.718624,920.276550,544.100037,91.450516,804.408203,497.115509,52.936031,1148.105103,724.461304,381.034271,,,,,,,1124.062500,740.006836,227.087448,,,,,,,,,,,,,,,,,,,,,,,,
49,861.759583,469.872101,53.798908,924.207825,545.948181,92.621460,809.404297,497.652283,55.506466,1149.549316,725.105042,381.365356,,,,,,,1128.720459,740.767578,226.432587,,,,,,,,,,,,,,,,,,,,,,,,
50,865.476624,471.179138,56.423340,928.243164,547.808838,94.147430,814.040833,498.896545,57.565586,1151.303711,725.588074,382.044617,,,,,,,1131.990479,743.733948,226.782623,,,,,,,,,,,,,,,,,,,,,,,,
51,869.203369,472.841797,58.995464,932.068848,549.572876,95.560051,819.070007,500.002808,59.974285,1152.889038,726.247009,382.097076,,,,,,,1135.566650,744.857910,227.492233,,,,,,,,,,,,,,,,,,,,,,,,
52,872.810059,474.339355,61.362049,936.046570,551.754883,96.582359,823.856201,501.775665,62.636860,1154.437988,726.922729,382.160950,,,,,,,1138.993896,747.796875,228.076645,,,,,,,,,,,,,,,,,,,,,,,,
53,876.281982,476.289307,62.915524,939.948792,553.939270,97.841606,828.420349,504.023712,64.280014,1155.818359,727.624329,382.743500,,,,,,,1143.285522,749.048523,228.322815,,,,,,,,,,,,,,,,,,,,,,,,
54,879.949768,478.895416,64.325691,943.216675,556.164246,98.787590,833.050537,506.330414,66.210373,1157.832153,728.112366,383.234589,,,,,,,1146.528442,750.775879,228.774704,,,,,,,,,,,,,,,,,,,,,,,,
55,882.593933,481.199341,67.095642,947.043274,558.455750,99.857132,837.302002,508.885864,67.824821,1159.371948,728.928040,383.184753,,,,,,,1150.653076,751.914734,228.987701,,,,,,,,,,,,,,,,,,,,,,,,
56,885.473694,483.443329,69.023079,950.987305,560.437195,101.503723,841.204041,512.092712,70.137566,1160.696045,729.599365,383.492157,,,,,,,1154.639282,752.940125,229.382706,,,,,,,,,,,,,,,,,,,,,,,,
57,888.096436,486.018585,70.265244,954.382813,562.597229,102.547302,845.083557,515.510071,71.817528,1162.194458,730.104797,384.224182,,,,,,,1157.740479,754.178040,230.208023,,,,,,,,,,,,,,,,,,,,,,,,
58,890.743713,489.294037,71.625954,957.879517,565.301086,103.239586,848.855042,519.222595,73.838066,1164.467407,730.619019,384.678192,,,,,,,1162.133545,754.808289,230.822296,,,,,,,,,,,,,,,,,,,,,,,,
59,893.558228,492.114197,72.878578,961.296448,568.124390,104.128410,852.163940,523.085205,75.939903,1165.940308,731.421509,385.095703,,,,,,,1166.016724,755.938721,231.210999,,,,,,,,,,,,,,,,,,,,,,,,
60,895.918640,495.002808,74.091438,963.791138,570.773438,105.167915,855.448608,527.285339,77.622017,1167.486206,731.884644,385.381836,,,,,,,1169.588989,756.911560,232.224045,,,,,,,,,,,,,,,,,,,,,,,,
