Grasp113
Date:,2025/04/23
Time:,10:06:54
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
33,798.077759,481.765686,48.979839,919.784485,534.521240,91.891045,886.540161,446.348877,51.468723,1128.403809,767.828979,477.006989,,,,1074.475342,755.427979,284.802490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,801.010620,481.852112,53.066269,922.556519,536.265442,94.145340,889.545227,447.010864,54.843685,1129.701050,769.115540,477.193848,,,,1075.982544,758.564514,284.630157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,804.544006,482.063660,56.904385,925.498291,538.051453,95.572594,892.853149,447.915680,57.470036,1130.635376,770.264709,476.912201,,,,1078.398804,761.743713,284.265533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,808.025024,482.860779,60.425419,928.826843,540.274414,97.488205,896.492310,448.964905,60.142586,1131.846436,771.285400,476.514313,,,,1080.577148,765.063538,284.166656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,811.924927,483.702454,63.709080,932.501770,542.002747,99.362755,900.194458,450.099548,63.090305,1133.348633,772.646362,476.233582,,,,1082.693604,768.420959,283.899017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,816.053467,484.467285,67.070007,936.281372,544.381958,101.034515,904.062134,451.520020,65.887772,1134.347900,773.875122,476.481964,,,,1084.771851,772.079285,283.665375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,820.298462,486.018616,70.898064,940.200439,546.840698,102.510963,908.313904,453.267761,68.427361,1134.956299,775.118225,477.027435,,,,1087.808105,775.685303,283.474640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,824.437988,487.576630,73.970139,944.429688,549.060852,104.077042,912.346985,455.125610,70.943626,1136.056030,776.665222,477.385010,,,,1090.543091,779.438782,283.049683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,829.447937,489.580017,77.167511,948.424988,551.739380,106.047020,916.359558,457.303619,73.537842,1137.013550,778.019043,477.407562,,,,1093.362305,783.024414,282.588257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,834.307129,491.639252,79.969727,952.832458,554.688721,106.984131,920.400146,459.690033,76.105713,1137.832520,779.445313,477.431274,,,,1096.405396,786.721191,282.699188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
