Grasp46
Date:,2025/04/16
Time:,14:28:23
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
53,873.317261,518.890503,61.213661,973.354065,576.006165,111.382347,917.201050,496.379486,80.852463,,,,,,,,,,,,,1191.322266,794.562073,384.392883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,875.994080,521.733765,62.761120,975.046631,578.738403,112.427193,918.770630,499.122437,82.570915,,,,,,,,,,,,,1192.352173,795.147888,385.420837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,878.773499,524.785095,64.847740,977.042908,581.416321,113.371384,920.008057,502.135101,84.185455,,,,,,,,,,,,,1192.982178,796.271851,386.428986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,881.708862,527.862000,66.256332,978.814331,584.479614,114.590263,921.380493,504.946899,85.792198,,,,,,,,,,,,,1194.576538,797.423828,387.013824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,884.224792,531.510437,67.524864,980.140564,587.550049,115.352440,922.221680,508.149261,87.450310,,,,,,,,,,,,,1195.811646,797.917053,387.191925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,886.232971,535.248535,68.577423,981.934021,590.963867,116.134697,923.168762,511.370117,88.853828,,,,,,,,,,,,,1196.760010,798.219177,387.966614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,887.901672,539.299072,70.413193,982.882385,593.923279,116.994377,923.955811,514.929260,90.410088,,,,,,,,,,,,,1197.633789,798.780823,388.798859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,889.166260,543.351807,71.726921,984.354492,597.193359,117.686165,924.344360,518.212036,92.076035,,,,,,,,,,,,,1198.714600,799.691956,389.239929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,890.070496,547.616028,72.985809,985.145813,600.207031,118.424583,925.128052,522.164673,93.146866,,,,,,,,,,,,,1199.927979,800.320740,390.105255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,891.581665,552.201782,74.512291,985.918457,603.669067,119.007584,925.811951,525.347656,94.743660,,,,,,,,,,,,,1200.690430,800.731079,390.793884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
