Grasp10
Date:,2025/04/08
Time:,12:53:06
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
25,384.185547,673.927002,278.273590,137.636475,885.041260,319.774841,326.386810,586.584839,272.384491,,,,149.720520,868.644165,198.288361,,,,300.192108,718.717102,232.118790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,380.576141,673.994873,277.234467,136.909927,885.931274,320.057281,322.295898,586.343811,270.973572,,,,148.722015,869.589172,197.821045,,,,296.476379,718.193054,230.467911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,376.941162,674.009338,275.709991,136.227478,886.729370,319.960663,318.588715,586.101440,269.495453,,,,147.006485,870.931763,196.974655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,373.350800,674.124695,274.342804,135.637283,887.657654,319.428284,314.778442,585.831970,267.616699,,,,145.985764,872.363464,196.725555,,,,,,,289.913055,717.451050,226.149231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,369.821899,674.147949,271.893280,135.080429,888.516724,319.100098,311.100433,585.547913,264.799377,,,,144.437851,873.303040,196.217453,,,,,,,286.460632,717.040283,223.349655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,366.607025,674.321472,269.067108,134.364059,889.418823,318.935120,307.548096,585.255371,262.234741,,,,143.146255,874.623901,195.857224,,,,,,,283.594299,717.049866,220.210770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,363.684784,674.395874,267.071350,133.709869,890.367493,319.258911,303.878479,584.980530,259.269531,,,,141.946915,875.947266,195.626465,,,,,,,281.202271,716.868042,216.539108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,360.742004,674.736084,263.513702,133.130173,891.288208,319.389343,300.497864,584.502991,256.362701,,,,140.791473,876.771484,195.206894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,358.345825,674.875977,259.766296,132.615234,892.100464,319.143219,296.978577,584.101379,252.980148,,,,139.721024,877.943481,194.651535,,,,,,,,,,275.733521,716.234009,210.565048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,356.176361,674.744202,256.021423,132.143250,892.907532,318.581940,294.121338,583.693726,248.958817,,,,138.535141,879.141418,194.268997,,,,,,,,,,272.918701,716.244080,207.178162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,353.838776,675.180420,252.539612,131.720779,893.838013,318.475647,291.271271,583.403564,244.827469,,,,137.738419,879.699585,194.212128,,,,,,,,,,270.955872,716.035034,203.130127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,131.384064,894.562439,318.725616,288.480072,582.924927,240.873672,,,,136.764450,880.559509,193.806381,,,,,,,,,,268.603882,715.934570,199.380417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,130.950729,895.325684,318.731873,285.815186,582.504150,236.439835,,,,135.695633,881.612976,192.871429,,,,,,,,,,266.213257,715.753540,195.922012,349.515930,675.351379,244.088013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,130.458710,895.971313,318.787292,283.149597,582.161743,232.146149,,,,135.303757,882.577576,192.551361,,,,,,,,,,264.303711,715.450439,191.672714,348.124512,675.160950,239.345459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,129.944290,896.573669,318.931000,280.678558,581.578491,227.209061,,,,134.794525,883.027039,192.451309,,,,,,,,,,261.809967,715.188416,188.074646,345.748840,675.154114,235.342941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,129.555557,897.185913,319.010376,278.289063,581.192688,222.406860,,,,133.995911,883.441284,192.150253,,,,,,,,,,260.033691,715.237427,184.019714,343.771301,674.998840,230.911591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,129.168182,897.639160,319.239990,276.185608,580.491760,216.972244,,,,133.312332,883.991089,191.702271,,,,,,,,,,258.354645,714.916443,180.209381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,128.662811,898.064209,319.313995,273.973907,579.982544,211.324783,,,,133.037460,884.523987,191.250137,,,,,,,,,,256.348328,714.959778,176.289749,,,,340.429901,674.991882,222.553268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,128.277176,898.415405,319.457123,271.555481,579.564880,206.931168,,,,132.662872,885.138306,190.425232,,,,,,,,,,255.086227,714.674133,171.695251,,,,339.075867,675.132629,217.868332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,128.045685,898.700928,319.571808,269.493500,579.217163,201.126663,,,,132.075562,885.751160,189.675125,,,,,,,,,,253.602631,714.792969,168.188782,,,,337.419403,675.028015,213.869736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,127.816833,898.994751,319.572235,267.756195,578.497253,195.397217,,,,131.460709,886.130798,189.278091,,,,,,,,,,252.160477,714.528748,164.466858,,,,336.414398,675.053772,208.854996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,127.795761,899.278992,319.305023,266.119446,577.969666,189.696152,,,,130.873642,886.356750,189.088684,,,,,,,,,,250.830765,714.651245,160.821152,,,,335.791748,675.249390,203.410858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,127.688736,899.417786,318.985840,264.515137,577.621521,184.385895,,,,130.931351,886.516113,188.457855,,,,,,,,,,249.325150,714.501587,157.116837,,,,335.035522,675.357727,198.538406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,127.435524,899.468323,318.789124,263.199921,577.309509,178.991592,,,,131.188431,886.738892,187.681900,,,,,,,,,,248.853821,714.556396,152.852554,,,,333.993591,675.208984,194.288269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,127.254890,899.508911,318.606628,262.157104,576.975037,173.375687,,,,131.356796,886.980042,186.381027,,,,,,,,,,248.025711,714.477173,148.824829,,,,333.671875,675.125977,189.630539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,127.187225,899.446899,318.214844,261.408875,576.737549,167.933762,,,,131.588852,887.179443,184.197159,,,,,,,,,,247.558319,714.498840,144.844803,,,,333.885956,675.283142,184.341187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,127.069939,899.338196,317.813690,260.697144,576.290527,162.434555,,,,131.349472,887.367065,183.190262,,,,,,,,,,246.986237,714.543030,140.972656,,,,334.319855,675.547302,178.984955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,126.975510,899.130737,317.425598,259.798523,575.979980,157.322830,,,,131.007507,887.336731,183.117401,,,,,,,,,,246.564072,714.587646,137.237457,,,,333.857635,676.192261,174.497223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,126.859550,898.900879,316.914154,259.047821,575.553833,152.005844,,,,130.605881,887.232910,183.201691,,,,,,,,,,246.111893,714.673767,133.598312,,,,333.058960,676.472656,170.476898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
