Grasp125
Date:,2025/04/28
Time:,14:03:07
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
54,827.571533,344.660339,30.231258,907.292786,339.518372,30.750681,933.534851,428.789276,63.861423,990.534973,628.575684,238.519058,1095.760742,720.144165,420.203033,,,,,,,,,,,,,,,,,,,,,
55,827.470947,344.549377,29.987680,907.308411,339.496918,30.803274,933.418213,428.739838,63.934036,990.585022,628.698364,238.235825,1095.898193,720.118530,420.154358,,,,,,,,,,,,,,,,,,,,,
56,827.528687,344.565094,30.295918,907.092285,339.570740,30.603657,933.368103,428.733582,63.974834,990.703918,628.791260,237.833344,1095.872803,720.152222,420.260162,,,,,,,,,,,,,,,,,,,,,
57,827.468567,344.519958,30.382641,907.024231,339.610687,30.562614,933.385376,428.746063,63.992985,990.679993,628.859436,237.922394,1095.789063,720.174011,420.382507,,,,,,,,,,,,,,,,,,,,,
58,827.421204,344.585571,30.344238,906.979492,339.645996,30.550835,933.318542,428.754181,64.024086,990.445496,628.807373,238.212952,1095.080933,720.413391,420.874237,,,,,,,,,,,,,,,,,,,,,
59,827.365906,344.539673,30.300694,907.013367,339.626495,30.548174,933.220825,428.726807,64.067429,990.119202,628.875183,238.571381,1094.647949,720.599487,421.189514,,,,,,,,,,,,,,,,,,,,,
60,827.348450,344.523560,30.331078,906.984558,339.612762,30.558348,933.153137,428.696381,64.132874,989.879150,628.856201,239.125641,1094.858276,720.591370,421.270691,,,,,,,,,,,,,,,,,,,,,
61,827.274902,344.524200,30.282320,906.935425,339.586517,30.583382,933.030762,428.677155,64.560699,989.588379,628.967346,239.393539,1095.240967,720.638794,421.267792,,,,,,,,,,,,,,,,,,,,,
62,827.275879,344.538147,30.231791,906.924927,339.578308,30.593784,932.877014,428.676483,64.818192,989.497192,629.000977,239.533539,1095.442139,720.675049,421.274811,,,,,,,,,,,,,,,,,,,,,
63,827.219910,344.507416,30.378029,906.963745,339.634277,30.829010,932.795410,428.445831,65.353172,989.523438,629.148315,239.608765,1095.461060,720.781494,421.351715,,,,,,,,,,,,,,,,,,,,,
64,827.194214,344.419220,30.327570,906.972290,339.711304,30.899200,932.661987,428.243103,65.770599,989.415222,629.205261,239.751251,1095.516357,720.908508,421.465332,,,,,,,,,,,,,,,,,,,,,
65,827.109009,344.398773,30.309431,906.889404,339.802917,30.929201,932.506470,428.154327,66.153084,989.283325,629.287598,239.924820,1095.511353,720.991272,421.846436,,,,,,,,,,,,,,,,,,,,,
66,827.079346,344.398010,30.322052,906.756226,339.813202,30.917063,931.907471,429.444183,65.824516,989.037537,629.539612,240.052536,1095.925537,721.064758,422.212646,,,,,,,,,,,,,,,,,,,,,
67,827.090088,344.287628,29.947086,906.758362,339.883453,30.957518,931.979309,428.538086,66.722992,988.860718,629.976501,240.577271,1095.990845,721.193542,422.397614,,,,,,,,,,,,,,,,,,,,,
68,826.977661,344.328949,30.190767,906.711304,340.009064,30.897030,931.616882,428.222839,67.424088,988.546936,630.514832,240.891159,1096.423462,721.301880,422.547089,,,,,,,,,,,,,,,,,,,,,
69,826.854309,344.332550,30.339985,906.596252,340.174957,30.877607,931.538025,428.301117,67.703186,988.487854,631.180481,241.106552,1096.934204,721.433105,422.642029,,,,,,,,,,,,,,,,,,,,,
70,826.792419,344.363312,30.195320,906.708252,340.357697,30.932119,931.133850,428.527252,68.784210,988.514221,632.049744,241.196381,1097.319458,721.692810,422.625397,,,,,,,,,,,,,,,,,,,,,
71,826.703064,344.398499,30.184038,906.598816,340.594360,30.837540,930.615356,428.635406,69.713448,988.581543,632.788940,241.209610,1097.572266,721.991821,422.703217,,,,,,,,,,,,,,,,,,,,,
72,826.679626,344.303680,30.192623,906.474854,340.846649,30.792698,930.085571,428.585022,70.450714,988.559570,633.503723,241.092316,1097.791626,722.202759,422.836548,,,,,,,,,,,,,,,,,,,,,
