Grasp124
Date:,2025/04/23
Time:,14:06:30
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44,,,*45,,,*46
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
23,878.449768,443.734589,51.728397,919.364014,528.458557,96.798920,790.221802,487.827423,75.340210,1006.154846,771.121033,256.333618,,,,,,,,,,,,,1082.265381,819.637695,403.882141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,878.021423,443.887512,55.116852,919.227661,529.124939,99.370010,789.840820,487.221832,79.577560,1006.484375,772.684875,256.510925,,,,,,,,,,,,,1082.998169,820.017029,404.285309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,877.344055,443.894531,58.954460,918.853149,529.782166,102.442322,789.664673,486.618347,84.136810,1006.732666,773.773560,257.480499,,,,,,,,,,,,,1083.868896,820.451538,404.698090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,876.448303,443.899384,63.050732,918.359497,530.269714,105.558273,789.211609,485.923859,89.408707,1007.307739,775.204346,258.151062,,,,,,,,,,,,,1084.880615,820.917053,405.276672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,875.975830,444.232574,66.867622,917.716980,530.904785,109.144821,788.695740,485.165466,94.943474,1008.195984,776.651428,258.305145,,,,,,,,,,,,,1085.738403,821.502014,405.367340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,875.447937,444.314789,71.031578,917.005310,531.518433,112.773521,788.318420,484.468231,100.226036,1008.660095,778.147644,258.857391,,,,,,,,,,,,,1085.975830,821.988342,405.976654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,874.817749,444.473602,75.331161,916.205811,531.832703,116.518440,787.862854,483.838684,105.257057,1008.845215,779.821533,259.251526,,,,,,,,,,,,,1086.424805,822.246338,407.113647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,874.174133,444.528687,79.684593,915.411194,532.441650,120.457611,787.601013,483.281097,111.023521,1009.309692,781.176392,259.795624,,,,,,,,,,,,,1086.634033,822.626831,407.716278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,873.146912,444.449432,84.431213,914.681396,533.179382,124.410751,787.011841,482.935303,116.570328,1010.052734,783.115234,259.966675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,872.121521,445.001038,89.370049,913.884644,534.263916,127.759682,786.554260,482.410583,122.077454,1010.564880,784.450317,260.150787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
