Grasp123
Date:,2025/04/24
Time:,14:48:14
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
47,953.330139,578.727112,186.848068,,,,1114.238281,699.311157,290.266968,872.205383,515.731750,212.199768,1142.578857,712.042480,469.302917,839.903320,602.682739,255.405518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,953.632813,581.137512,187.900055,,,,1116.472900,699.826355,290.435669,871.826721,520.349548,212.975403,1144.128418,712.157776,469.781219,840.587708,608.658081,255.498856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,953.074097,584.153137,188.182022,,,,1117.563721,700.772827,290.769226,871.040344,524.490356,213.436630,1144.636475,712.506226,469.641388,841.385010,614.902710,255.965836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,953.099182,587.550659,189.351990,,,,1119.115479,701.810425,291.001343,870.041199,528.636658,213.643417,1145.200684,712.686768,469.169067,841.954346,620.081299,255.991074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,953.687683,589.898376,189.640808,,,,1120.592773,702.465271,291.356720,868.839417,532.653137,213.598373,1146.484131,712.797852,469.296997,842.135376,625.779785,255.874527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,953.806641,592.334351,189.632248,,,,1122.644531,702.872437,291.188995,867.756165,536.600830,213.351212,1147.529175,712.926575,469.510681,842.558716,630.885803,255.622803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,953.643127,595.588623,188.504990,,,,1124.203979,703.473450,291.076233,866.406006,540.200073,213.164108,1148.594482,712.946533,469.787598,842.978882,636.206116,254.717880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,953.427490,598.602295,187.809525,,,,1124.986694,703.910217,291.529602,865.389099,544.119019,212.437820,1149.387817,712.927917,469.845154,843.478455,640.934692,253.703171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,952.901733,601.576233,187.983002,,,,1125.508301,704.376099,291.363434,864.773560,548.045593,211.053345,1150.093994,713.007385,469.638184,843.483582,646.067200,252.659012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,952.540710,604.649109,187.477417,,,,1126.362671,705.214111,291.171448,863.760864,551.927917,209.574371,1150.834473,713.179321,469.468231,844.014465,651.036194,251.188614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
