Grasp117
Date:,2025/04/26
Time:,15:57:06
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
33,1130.326416,751.142700,322.036163,1175.520142,826.637390,191.347076,839.671997,783.824463,98.403419,905.928162,689.390808,74.999756,,,,972.336182,764.248169,93.022369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1129.471436,750.922424,321.393585,1173.654541,826.166260,190.197205,838.380249,781.915161,100.563721,904.242981,687.067017,77.488701,,,,970.360107,762.430908,94.088875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1128.681641,750.772095,320.813232,1172.158203,825.551270,189.351196,836.767456,779.874207,102.510902,902.473572,684.963867,79.607040,,,,968.410095,760.338440,95.359924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1128.245239,750.537659,320.204834,1170.493530,824.771423,188.311676,834.946228,777.798035,104.726166,901.043518,682.513611,82.111191,,,,966.599243,758.481201,95.749062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1127.586060,750.294800,319.470551,1169.250000,824.174316,187.301224,833.423706,775.701355,106.621391,899.205322,680.451721,83.881760,,,,965.188171,756.576050,96.189461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1126.634277,749.936707,318.850708,1167.818726,823.618530,186.240036,831.404358,773.769409,108.677826,897.695679,677.965881,86.276398,,,,963.559692,754.732178,97.075386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1125.340454,749.672729,318.286560,1166.115967,823.071716,185.002472,829.937561,771.892334,110.263596,896.209473,676.087830,87.650528,,,,961.176086,752.408325,98.553482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1124.427246,749.306885,317.792389,1164.552979,822.412476,184.099609,828.261047,769.955444,111.848549,894.155518,674.067810,89.449242,,,,959.516541,750.769714,99.079712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1123.617554,749.020264,317.398285,1162.768066,821.564331,182.831985,826.601135,768.400635,113.960098,892.360657,672.134399,91.679649,,,,958.038025,748.780579,99.404190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1122.574585,748.800598,316.742889,1161.022705,821.024597,182.498367,824.687622,766.787903,114.938034,890.145142,670.279968,93.778389,,,,956.260254,747.151672,100.252892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1121.369263,748.501892,315.911316,1158.820801,820.421387,181.183472,822.961426,765.195923,116.329369,888.424500,668.139648,96.125961,,,,954.028564,745.235413,101.214676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1120.154419,748.225464,315.491180,1157.340698,819.699951,180.235855,821.219543,763.606873,117.628136,887.092896,666.486816,97.375999,,,,951.962158,743.769043,102.094269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1119.064209,748.026550,314.983673,1155.758911,818.939575,178.773560,819.798828,762.662476,118.626442,885.505981,664.316833,99.482811,,,,949.840027,741.477051,103.334694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1118.096680,747.688538,314.262573,1153.811157,818.361023,178.062607,818.113281,761.414124,119.580032,883.941528,662.313049,100.566185,,,,948.093689,739.908447,103.732834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1117.103516,747.426819,313.644287,1151.641235,817.666077,177.117416,816.397949,759.798035,120.366936,882.042419,660.250427,102.509659,,,,946.730530,738.079834,103.253983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1115.973511,746.906311,313.008392,1149.758545,816.794922,176.204239,814.548645,758.349609,121.321236,879.796875,658.553772,104.073456,,,,945.343079,736.435364,103.224274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1114.900024,746.330994,312.492310,1147.907349,816.279785,174.850418,812.918640,756.972229,121.531776,877.905945,656.717041,105.542503,,,,943.055237,734.745422,104.093880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1113.897949,745.939941,311.987976,1146.170044,815.667480,173.938690,811.000305,755.501160,121.975220,876.942322,655.080139,106.307831,,,,941.335815,733.109253,104.554657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1112.561768,745.670349,311.462494,1144.383667,814.734070,172.998169,809.354675,754.135254,122.420349,875.323853,652.974731,107.659164,,,,939.531799,731.500183,105.170883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1110.836670,745.388855,310.708588,1142.195679,813.839417,171.984573,807.885498,752.216980,122.692261,874.098999,651.037415,108.404045,,,,937.489136,729.878296,105.599861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1109.557983,745.232788,310.339264,1140.318237,813.132202,171.553787,805.997559,750.640625,123.304443,872.523865,649.190918,108.860168,,,,935.390015,728.199829,105.212822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
