Grasp126
Date:,2025/04/23
Time:,11:18:29
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
33,741.559387,506.494629,41.346645,863.063904,523.950012,106.120819,827.703125,458.117798,37.089378,1076.290894,819.272278,496.938477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,741.171692,505.472870,45.317341,862.525452,524.049744,110.060028,828.108582,457.802032,39.477646,1077.593018,819.869263,497.339050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,740.930298,504.260895,49.328339,862.165344,523.900391,114.001434,828.248291,457.660767,42.986912,1079.050415,820.286194,498.006439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,740.720093,503.094818,53.927967,861.813599,523.684937,118.187019,828.106384,457.508514,47.071400,1080.409546,820.847961,498.721375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,740.470459,501.544708,58.732029,861.427307,523.890076,122.538849,827.928284,457.285339,51.439075,1082.012329,821.685852,499.204315,1042.175903,786.247742,309.455566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,740.399902,500.018738,63.473587,861.169067,523.894287,127.332176,827.471008,456.730530,56.452442,1083.678223,822.278259,500.273163,1044.313477,788.805359,309.711914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,740.201782,498.606598,68.360817,860.942932,524.093201,132.118515,827.164063,456.201630,62.087006,1084.825806,822.839417,500.934204,1045.433838,790.835266,310.268951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,740.226501,497.110046,73.446091,860.654480,524.468018,136.950455,826.681213,455.566742,67.719307,1086.199829,823.454346,501.824493,1046.716797,792.823914,310.860779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,740.330261,495.849762,78.623917,860.357849,525.020874,141.956055,826.193176,454.980042,73.592133,1087.508545,824.221375,502.753662,1048.619141,795.106140,311.510712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,740.341614,494.498199,83.954712,860.079468,525.525940,147.152603,825.803040,454.325226,79.509308,1088.931274,824.974365,503.445404,1050.398071,797.590454,311.525665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,740.262207,493.358978,89.362007,859.986084,526.007263,152.757767,825.530579,453.912720,85.569069,1090.814209,825.587158,504.311951,1052.107056,799.736206,312.117889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,740.476685,492.419647,94.828796,859.731567,526.658936,158.197739,825.423950,453.769653,91.737335,1092.161377,826.122131,504.962463,1053.453857,802.175232,312.740967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,740.855286,491.385101,100.228348,859.441833,527.586365,163.524948,825.110657,453.888153,97.467178,1094.108276,826.747375,505.674225,1054.949219,804.844543,313.389465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,741.079590,490.558929,105.831360,859.233521,528.377686,168.600586,825.212341,454.280365,103.433960,1095.785645,827.489990,506.334747,1056.338989,807.090637,313.395874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,741.541077,489.838104,111.937454,858.982117,529.384888,173.524216,824.790466,454.641022,109.123192,1097.095093,828.083862,507.132263,1058.366455,809.575134,313.921997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,742.005737,489.203339,117.515465,858.616333,530.658813,178.790787,824.315674,455.228546,114.647049,1098.779175,828.726868,508.163849,1059.936523,811.963562,314.586212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,742.456238,488.783508,122.935570,858.218811,531.933533,184.405396,823.891418,456.060730,120.073112,1099.843384,829.188782,508.935059,1061.135376,814.453003,315.101135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,742.803467,488.725677,128.348984,857.819641,533.302673,189.835281,823.477905,457.085968,126.052895,1101.536621,829.803772,509.852966,1062.489624,816.888733,315.832855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,743.210083,488.659363,133.368240,857.598022,534.638550,194.930954,823.169128,458.134125,131.846985,1103.327026,830.399719,510.456909,1064.230347,819.384644,316.588257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,743.616394,488.886780,138.448868,857.440979,536.390930,200.109131,822.711914,459.681549,136.975266,1104.814087,830.829468,510.991364,1065.780518,821.663757,316.921143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
