Grasp126
Date:,2025/05/06
Time:,14:07:19
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
92,755.091248,547.107971,190.565063,885.934570,594.330750,203.278854,824.101318,517.975037,161.345779,,,,,,,1130.473755,787.412720,431.203278,,,,,,,,,,,,,,,,,,,,,,,,
93,752.956238,550.609985,189.499130,884.406128,596.684143,203.423691,822.229065,520.733582,160.842773,,,,,,,1130.505493,787.556885,431.548462,,,,,,,,,,,,,,,,,,,,,,,,
94,751.216431,554.078674,188.238052,882.656799,598.776062,203.790054,820.526733,523.924805,160.620682,,,,,,,1130.277710,787.752747,432.101532,,,,,,,,,,,,,,,,,,,1057.494507,807.218201,255.391403,,,
95,749.389160,557.556763,186.692780,881.119690,601.089478,203.885818,818.727051,526.509766,160.530273,,,,,,,1130.260498,787.896851,432.529327,,,,,,,,,,,,,,,,,,,1057.110229,808.344299,256.700897,,,
96,747.363831,560.956360,185.456604,879.782593,603.085693,203.715881,816.511780,529.284729,159.080750,,,,,,,1130.341309,788.083374,432.820282,,,,,,,,,,,,,,,,,,,1057.015259,809.460205,257.510956,,,
97,745.456909,564.196594,184.415131,877.978333,605.316589,204.020691,815.014832,532.413757,157.857895,,,,,,,1130.359863,788.188782,433.130432,,,,,,,,,,,,,,,,,,,1057.351929,810.243286,258.069122,,,
98,744.070129,567.683960,182.407516,876.499756,607.097046,204.161255,813.326782,535.421570,156.627823,,,,,,,1130.557495,788.292847,433.426392,,,,,,,,,,,,,,,,,,,1057.937866,810.890747,257.878357,,,
99,742.521912,570.934570,180.791061,875.190491,609.591614,203.499557,811.886719,537.911682,155.559647,,,,,,,1130.681030,788.411316,433.659393,,,,,,,,,,,,,,,,,,,,,,,,
100,740.907043,574.313293,178.990692,874.218323,611.629272,202.697601,810.278076,540.825989,154.362747,,,,,,,1130.814331,788.511597,433.982330,,,,,,,,,,,,,,,,,,,,,,,,
101,739.988342,577.744263,176.637604,872.931274,613.509094,202.419373,809.281372,543.786560,153.209335,,,,,,,1130.986938,788.780762,434.211914,,,,,,,,,,,,,,,,,,,,,,,,
