Grasp30
Date:,2025/04/16
Time:,10:56:10
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
12,746.442810,458.519318,31.362061,879.410706,503.207489,60.311279,957.991333,698.851807,255.953461,841.801025,418.338684,31.278109,1001.739807,729.984314,433.489960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,746.448914,458.558777,31.415104,879.400391,503.164490,60.439507,958.077454,698.805420,255.926300,841.955322,418.161163,31.479658,1001.766846,729.894653,433.514679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,746.474121,458.542480,31.496632,879.373230,503.165253,60.417351,957.990601,698.792480,255.978363,841.796814,418.489288,31.181717,1001.846436,729.856689,433.474487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,746.477112,458.502960,31.488684,879.337097,503.172302,60.405510,958.004089,698.785767,256.048462,841.756592,418.622253,31.075024,1001.833313,729.905396,433.507629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,746.455505,458.482056,31.458319,879.326050,503.210724,60.326492,958.042725,698.777893,256.045380,841.713928,418.592987,31.069126,1001.923767,729.850403,433.474121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,746.429871,458.430939,31.395605,879.320557,503.151306,60.322052,957.991150,698.771790,256.019592,841.434448,418.475708,31.535898,1001.893738,729.796814,433.517670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,746.430603,458.405151,31.355982,879.026306,503.065582,60.514446,958.109497,698.764221,256.025513,841.639099,418.445374,31.267805,1001.925842,729.772522,433.564148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,746.425354,458.418945,31.385973,879.193726,503.097961,60.475952,958.062073,698.776611,256.028931,841.775391,418.535614,31.078997,1002.063354,729.800720,433.540314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,746.446411,458.418243,31.492842,879.365234,503.068817,60.476921,958.046875,698.832520,255.986237,842.026245,418.241577,31.449881,1002.161560,729.763367,433.526520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,746.442383,458.413422,31.519226,879.356262,503.100128,60.442219,958.091797,698.974121,255.935272,841.726868,418.392883,31.286457,1002.148132,729.750488,433.499939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,746.457520,458.426117,31.399536,879.331482,503.108673,60.436985,958.113831,699.081482,255.930862,841.642578,418.528900,31.163280,1002.355286,729.733643,433.605011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,746.497131,458.408844,31.424417,879.264221,503.178467,60.644081,958.180603,699.203552,255.932465,841.665833,418.549133,31.148830,1002.529114,729.711853,433.620514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,746.462524,458.397949,31.463207,879.191772,503.047546,60.635242,958.134216,699.411011,255.907104,841.647339,418.559998,31.171886,1002.643127,729.721680,433.539154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,746.442627,458.411713,31.506649,879.155273,503.238556,60.835873,958.188110,699.654541,255.741180,841.638123,418.556458,31.183098,1002.642456,729.710205,433.518494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,746.439575,458.415039,31.513735,879.091125,503.157654,61.014042,958.360291,699.836548,255.783798,841.620667,418.513947,31.171719,1002.874878,729.657166,433.443268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,746.387207,458.423828,31.462513,878.959351,503.223419,61.091351,958.443726,700.125122,255.556793,841.612793,418.581879,31.177540,1002.829590,729.778198,433.286072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,746.380554,458.427032,31.450539,878.872864,503.238342,61.414516,958.877869,700.474670,255.345184,841.641113,418.659576,31.175493,1002.940857,729.689758,433.341766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,746.467773,458.436646,31.515974,878.665222,503.337585,61.757191,959.290466,700.984314,254.945114,841.527710,418.576355,31.234404,1003.192871,729.550903,433.508270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,746.399536,458.435455,31.552288,878.393311,503.398682,62.195854,959.505371,701.716797,254.951889,841.427429,418.621094,31.308792,1003.450073,729.571716,433.422882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,746.456909,458.490509,31.531525,878.098389,503.519440,62.858055,959.753540,702.580750,254.831757,841.361511,418.679199,31.334440,1003.773926,729.745361,433.180786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,746.460327,458.549683,31.580650,877.330261,503.415344,63.863396,960.113098,703.360535,254.792969,841.251343,418.731812,31.303619,1003.965698,729.979919,433.056335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,746.574097,458.495972,31.657925,877.153809,503.446228,64.528374,960.176208,704.087097,254.791885,841.129517,418.953522,31.340202,1004.054321,730.411133,432.802521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,746.745850,458.472656,31.796082,877.199585,503.629669,65.714882,960.991699,704.893677,254.291901,840.812439,418.988312,31.572102,1004.215454,730.659058,432.699921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,746.869812,458.499878,31.912361,877.084045,503.549988,67.120926,961.601196,706.113342,254.453384,840.738281,419.245880,31.627035,1004.369202,731.004883,432.565674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,747.160767,458.571808,32.111031,876.797913,503.639038,68.658615,962.629944,707.264709,254.414642,840.476501,419.592499,31.620144,1004.633179,731.261292,432.444580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,747.577026,458.778656,32.595741,876.352783,503.973022,70.553612,963.860596,708.388428,254.472198,840.362000,420.194641,31.725618,1004.957764,731.644165,432.374298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,748.209961,458.846191,32.721802,876.403381,503.833038,72.528656,965.176880,709.843872,254.686890,840.092712,420.888763,32.183537,1005.386719,732.001221,432.321472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,749.067627,458.995209,32.544044,876.511414,503.939209,74.767662,966.288452,711.371948,254.500168,839.776489,421.760956,32.344688,1006.306274,732.458130,432.175140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,750.105896,459.315918,32.134632,876.445862,504.086639,77.221703,967.359131,713.212219,254.437698,839.537476,422.864532,32.305965,1007.669434,733.021118,431.914917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,751.609680,459.463928,32.050426,876.599609,504.126160,79.556580,968.893066,714.868896,254.134155,839.615601,424.194183,32.214783,1008.675720,733.663879,431.760162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,753.437683,459.336761,32.695354,876.715759,504.499451,82.370529,971.197693,716.790344,254.546432,839.581299,425.403687,32.433090,1009.183289,734.195190,432.019836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,755.050415,459.444061,32.485317,877.122742,504.729156,85.384247,972.896667,718.743530,254.718491,839.770935,427.056824,33.239395,1009.990845,734.940979,432.253845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,757.753662,459.220093,33.579250,877.302063,505.144775,87.801697,973.731201,721.219849,254.757111,840.259888,428.586151,33.990700,1011.294495,736.086609,432.206940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,759.920410,459.245483,33.806622,877.970215,505.479706,90.996727,976.328674,723.344421,254.939514,841.187805,430.168945,34.298111,1012.534241,737.017639,432.114990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,763.342041,459.023376,33.968853,878.608582,506.274078,94.242935,978.050415,725.744934,255.350708,842.407471,431.748169,35.591335,1013.531372,738.034363,431.951508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,766.910889,458.576538,34.683071,879.473389,506.939880,97.270096,980.198914,728.183655,255.741776,843.841858,433.208618,36.522495,1014.950439,739.488953,431.928833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,770.475525,458.302582,36.073990,880.636658,507.490082,100.955116,982.965576,730.676392,255.809601,845.699707,435.033539,38.168167,1015.907593,740.864014,432.120789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,774.324585,457.846588,37.585575,881.805481,507.974304,104.869583,985.830750,732.918884,255.847641,846.856262,436.508575,39.811569,1017.110291,741.985840,432.643738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,778.139709,457.649902,39.687565,883.139099,508.986786,108.078606,987.669861,735.675659,256.584595,848.994263,438.373566,42.285263,1018.327393,743.594849,432.816254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,782.083984,457.540436,41.313457,884.445374,510.538757,112.032387,990.301453,738.491516,257.223114,850.992615,439.751923,45.267315,1019.332214,744.968628,433.110596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,786.430786,457.725800,43.028488,885.687439,511.636841,115.749641,993.208557,741.081726,257.735260,853.336243,441.069946,48.065849,1020.955383,746.595764,433.394714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,790.546814,458.355743,45.621067,886.911865,513.123291,119.276451,996.707214,743.499146,257.867096,854.925354,442.502258,51.334797,1022.528442,747.977417,433.505127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,794.547058,458.725037,47.708370,888.800964,514.555481,123.261032,999.318848,746.431335,258.827972,857.333191,444.405914,54.394230,1024.756348,749.135681,433.471069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,798.840637,459.081177,50.174667,890.462585,516.223572,126.713066,1002.122681,749.465027,259.742004,859.823486,445.869324,58.084095,1026.272827,750.644043,433.963379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,803.280090,460.455200,52.381039,892.141357,518.006775,130.444229,1004.909668,752.281311,260.647583,862.397705,447.575378,61.508678,1028.190186,751.913086,434.509949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,808.090271,461.617371,54.245140,893.838135,519.931458,134.645599,1007.951965,754.991394,261.760590,865.014160,449.057892,64.828003,1030.000122,753.378235,434.536285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,813.127136,463.011108,56.619907,895.064880,522.092407,138.381561,1011.513306,757.897217,262.415436,867.637146,450.604279,68.864891,1031.576538,755.059753,435.029968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,818.360107,464.409515,58.444050,896.682617,524.531006,142.167511,1015.378113,760.874756,262.909485,870.321289,452.602264,72.699738,1033.035034,756.621460,435.293823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,822.915588,465.673706,61.152378,898.324036,526.792480,145.620224,1019.442017,763.667297,263.527893,873.270142,454.601654,76.362885,1034.713745,758.230713,435.840912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,827.195862,467.482178,63.808910,900.067139,529.144531,149.287766,1023.693420,766.164917,264.489807,876.014404,456.413544,79.600243,1037.192017,759.268494,436.213623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,831.480591,469.736115,66.273842,901.110840,532.004028,152.702057,1026.233276,769.443665,265.589417,879.108398,458.883209,83.073311,1038.973022,760.917175,436.690582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,836.029114,471.972412,68.464294,902.512024,534.989685,156.161682,1030.961304,772.085144,266.352020,882.088379,461.045715,86.156113,1040.922241,762.166870,436.796509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,840.043274,474.547485,70.612350,904.039490,537.895691,158.960312,1034.104980,775.282166,267.652191,884.999512,463.578979,89.010963,1042.862793,763.686584,437.580811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,844.040710,477.480927,72.074341,905.282288,541.290833,162.353897,1038.470215,777.719849,269.163300,888.031616,466.027649,92.355820,1044.593872,764.775696,438.411530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,847.528015,480.105225,74.910912,906.821289,544.570496,165.536682,,,,891.332703,469.102448,95.669975,1046.435181,766.368164,438.963898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,851.029358,483.466614,76.732254,908.976501,547.581665,167.796326,,,,894.161926,472.055908,97.637383,1048.204590,767.911743,439.198456,1046.868652,783.044495,270.969391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,855.452698,487.559113,76.681229,910.637085,550.963013,170.215225,,,,896.774902,475.511993,99.791718,1051.019897,769.174561,439.805847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
