Grasp125
Date:,2025/04/23
Time:,14:06:36
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
43,914.408997,504.696533,92.984245,868.781128,431.041168,39.178410,789.485413,500.612152,36.234596,,,,1015.893372,749.758362,254.772888,1085.389771,811.458984,395.131866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,913.344727,504.558014,95.169907,868.229797,430.246674,41.606613,789.203369,499.188446,38.020130,,,,1015.990723,750.406433,254.945770,1085.890625,811.662720,395.150360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,912.734558,504.267944,97.946266,867.781006,429.431976,44.485249,788.726685,498.040405,39.643059,,,,1016.033569,751.149536,255.116043,1086.275879,811.837891,395.272400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,911.744995,504.100555,100.862862,867.125366,428.367554,47.958469,787.879578,496.438416,41.505959,,,,1016.134644,752.096802,255.246796,1086.759644,812.027283,395.449799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,910.536438,503.998596,104.176628,866.882019,427.275055,51.152508,787.385437,494.618988,44.130943,,,,1016.210815,753.004517,255.343521,1087.247437,812.294373,395.634003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,909.743225,503.711578,107.120544,866.513184,426.386932,54.760532,786.707520,492.727966,47.006767,,,,1016.285767,753.757935,255.446823,1087.714478,812.631592,395.623901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,908.650513,503.615448,109.899940,866.325745,425.315399,58.420673,786.132019,490.848267,49.704632,,,,1016.237122,754.686768,255.517746,1088.358521,813.061707,395.544312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,907.866821,503.494171,113.872421,866.123718,424.153015,62.415077,785.273193,488.666443,53.274658,,,,1016.273743,756.263794,255.475967,1089.013672,813.547607,395.364716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,906.804443,503.180573,117.720726,865.969421,422.912781,66.577660,784.551331,486.492157,56.915222,,,,1016.531921,757.389038,255.430008,1089.766968,814.128601,395.137512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,905.755920,502.888123,121.437401,866.116333,421.799011,70.776329,783.793457,484.207306,61.304489,,,,1016.798645,758.265564,255.207748,1089.965942,814.755310,395.278839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
