Grasp126
Date:,2025/04/23
Time:,16:09:25
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
36,809.675537,481.375641,28.849592,870.817810,552.716125,65.673409,738.103394,528.407104,29.391846,1129.050537,720.385742,371.782440,,,,1099.788452,716.646667,217.780945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,810.013977,481.426575,28.769608,871.023315,552.884888,65.722420,738.250610,528.130310,29.464479,1129.133179,720.459961,371.856110,,,,1099.743896,717.035278,218.011108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,810.320557,481.531769,28.931751,871.187012,553.005310,65.750290,738.644226,528.064636,29.325266,1129.172852,720.565491,371.998260,,,,1099.736572,717.368042,218.148224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,810.514954,481.519348,29.059357,871.364380,553.050903,65.777588,738.907898,527.950134,29.124928,1129.066406,720.650696,372.107544,,,,1099.683105,717.769958,218.204575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,810.798401,481.531250,28.996979,871.472290,553.140747,65.871498,739.166382,527.756592,28.936220,1129.143677,720.723694,372.187592,,,,1099.614380,717.952454,218.262802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,811.135376,481.593292,29.031654,871.625488,553.236206,65.864479,739.322388,527.617493,28.926167,1129.096558,720.915894,372.387573,,,,1099.641602,718.107056,218.438248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,811.382263,481.596100,29.016066,871.694031,553.274597,65.961876,739.441833,527.635620,29.244499,1129.094238,720.991028,372.553589,,,,1099.670776,718.165833,218.504669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,811.597107,481.679077,28.967278,871.792908,553.294128,65.946518,739.540405,527.596741,29.560728,1128.999878,721.113220,372.697296,,,,1099.640259,718.353455,218.551453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,812.086182,481.798981,28.593279,871.902527,553.416382,65.998550,739.632996,527.437500,29.542240,1129.057251,721.206787,372.875183,,,,1099.610596,718.622986,218.675522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,812.140076,481.922119,28.841072,872.035645,553.410767,66.103165,739.795593,527.398865,29.442137,1128.942383,721.297729,373.002991,,,,1099.523438,718.879395,218.801224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,812.258850,481.831268,28.762743,872.136780,553.393860,66.208000,739.961426,527.352295,29.629198,1128.866333,721.397461,373.117615,,,,1099.725464,719.031616,218.872253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,812.599609,481.999359,28.831440,872.281677,553.375305,66.229698,740.142334,527.244751,29.484516,1128.799316,721.463135,373.337189,,,,1099.885010,719.081665,218.961075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,812.865112,482.220581,28.967148,872.507446,553.376343,66.337463,740.396667,527.117859,29.449038,1128.935425,721.521057,373.619293,,,,1099.701660,719.717712,219.177322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,813.157593,482.335938,29.010830,872.778564,553.381226,66.496979,740.685242,527.052124,29.608685,1129.037354,721.577942,373.876862,,,,1099.172241,720.331299,219.604126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,813.438049,482.408905,28.980165,873.021484,553.363953,66.530281,741.042480,526.951050,29.725443,1129.107544,721.631592,374.094696,,,,1098.764160,720.846191,220.056320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
