PTP355
Date:,2025/04/23
Time:,14:01:07
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
265,500.077972,474.446136,96.039589,,,,,,,,,
266,500.111298,474.546783,96.005669,,,,,,,,,
267,500.124146,474.669556,95.996178,,,,,,,,,
268,500.097595,474.767212,96.025185,,,,,,,,,
269,500.103821,474.853516,96.007561,,,,,,,,,
270,500.019836,474.987122,96.010109,,,,,,,,,
271,499.976013,475.102539,96.015335,,,,,,,,,
272,499.916229,475.137604,96.014999,,,,,,,,,
273,499.809631,475.264893,96.053688,,,,,,,,,
274,499.767395,475.360016,96.016197,,,,,,,,,
275,499.683868,475.406952,96.053055,,,,,,,,,
276,499.669373,475.528473,95.994080,,,,,,,,,
277,499.662201,475.604431,95.951920,,,,,,,,,
278,499.551788,475.622437,95.900429,,,,,,,,,
279,499.502747,475.716370,95.834137,,,,,,,,,
280,499.473907,475.747986,95.831825,,,,,,,,,
281,499.459381,475.854004,95.782516,,,,,,,,,

