PTP357
Date:,2025/04/23
Time:,12:53:03
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
86,669.904602,508.990845,171.411728,,,,,,,,,,,,,,,,,,,,,
87,666.007263,507.443634,171.125412,,,,,,,,,,,,,,,,,,,,,
88,662.174622,505.792297,170.091476,,,,,,,,,,,,,,,,,,,,,
89,658.580383,504.055542,169.103378,,,,,,,,,,,,,,,,,,,,,
90,654.275208,502.535828,168.769592,,,,,,,,,,,,,,,,,,,,,
91,650.576111,500.895813,168.009399,,,,,,,,,,,,,,,,,,,,,
92,646.788940,499.226868,167.281021,,,,,,,,,,,,,,,,,,,,,
93,643.025330,497.682037,166.764771,,,,,,,,,,,,,,,,,,,,,
94,639.448547,496.164246,165.667709,,,,,,,,,,,,,,,,,,,,,
95,635.874573,494.696594,164.876526,,,,,,,,,,,,,,,,,,,,,
96,632.383057,493.585541,163.773209,,,,,,,,,,,,,,,,,,,,,
97,628.621582,491.999786,163.600388,,,,,,,,,,,,,,,,,,,,,
98,625.085144,490.540039,163.015823,,,,,,,,,,,,,,,,,,,,,
99,621.691772,489.238861,162.241333,,,,,,,,,,,,,,,,,,,,,
100,618.395569,488.186493,160.973404,,,,,,,,,,,,,,,,,,,,,
101,615.132996,486.932465,160.626877,,,,,,,,,,,,,,,,,,,,,
102,611.551208,485.596008,160.003494,,,,,,,,,,,,,,,,,,,,,
103,608.394348,484.802673,159.406662,,,,,,,,,,,,,,,,,,,,,
104,605.284607,483.648712,158.317825,,,,,,,,,,,,,,,,,,,,,
105,602.178589,482.681183,157.718155,,,,,,,,,,,,,,,,,,,,,
106,599.024841,481.621948,157.304108,,,,,,,,,,,,,,,,,,,,,
107,596.001282,480.877930,156.402878,,,,,,,,,,,,,,,,,,,,,
108,593.084229,480.133453,156.133789,,,,,,,,,,,,,,,,,,,,,
109,590.170410,479.238403,155.126404,,,,,,,,,,,,,,,,,,,,,
110,587.451355,478.191986,154.181686,,,,,,,,,,,,,,,,,,,,,
111,584.722961,477.716858,153.588943,,,,,,,,,,,,,,,,,,,,,
