PTP358
Date:,2025/04/23
Time:,12:53:06
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
144,552.195068,480.897064,136.136810,,,,,,,,,,,,
145,549.982971,479.966492,135.565430,,,,,,,,,,,,
146,547.880371,479.641785,134.517410,,,,,,,,,,,,
147,546.336487,479.031982,133.418655,,,,,,,,,,,,
148,544.720886,478.404846,132.224625,,,,,,,,,,,,
149,542.835266,478.098450,131.232895,,,,,,,,,,,,
150,541.219482,477.354950,130.606262,,,,,,,,,,,,
151,539.538208,476.863983,130.104858,,,,,,,,,,,,
152,537.964417,476.663605,129.092407,,,,,,,,,,,,
153,536.815613,476.042877,128.179886,,,,,,,,,,,,
154,535.628601,475.286652,127.522324,,,,,,,,,,,,
155,534.125549,474.977356,126.339798,,,,,,,,,,,,
156,532.583801,474.521362,126.159500,,,,,,,,,,,,
157,531.223816,474.066376,125.800430,,,,,,,,,,,,
158,530.277344,473.757629,125.073936,,,,,,,,,,,,
159,529.257019,473.416504,124.286118,,,,,,,,,,,,
160,527.826782,472.849152,123.864662,,,,,,,,,,,,
161,526.599060,472.104797,123.626854,,,,,,,,,,,,
162,525.505432,471.644958,122.629494,,,,,,,,,,,,
163,524.869751,471.619324,121.310043,,,,,,,,,,,,
164,523.935486,471.345245,121.169601,,,,,,,,,,,,
165,522.726990,470.905182,121.361694,,,,,,,,,,,,
166,521.580322,470.452332,120.878357,,,,,,,,,,,,
167,520.745483,469.920135,120.140663,,,,,,,,,,,,
168,520.178284,469.420410,119.419342,,,,,,,,,,,,
169,519.487122,469.145630,118.667915,,,,,,,,,,,,
170,518.767334,468.844025,118.119385,,,,,,,,,,,,
171,518.101257,468.269531,117.438164,,,,,,,,,,,,
172,517.482300,467.927673,116.993584,,,,,,,,,,,,
173,516.875977,467.465393,116.533173,,,,,,,,,,,,
174,516.192505,466.961121,116.037598,,,,,,,,,,,,
175,515.738281,466.534485,115.581627,,,,,,,,,,,,
176,515.490417,466.101837,114.761230,,,,,,,,,,,,
177,515.189636,465.715057,113.682243,,,,,,,,,,,,
178,514.941528,465.380768,112.905411,,,,,,,,,,,,
179,514.575989,464.991180,112.131348,,,,,,,,,,,,
180,514.183105,464.498810,111.739319,,,,,,,,,,,,
181,513.847473,463.850800,111.176407,,,,,,,,,,,,
182,513.746582,463.099640,110.230652,,,,,,,,,,,,
183,513.760315,462.298615,109.581535,,,,,,,,,,,,
184,513.812988,461.571625,108.950844,,,,,,,,,,,,
185,514.060181,460.693512,108.188736,,,,,,,,,,,,
186,514.196960,459.792358,107.506836,,,,,,,,,,,,
187,514.228699,458.774231,106.686279,,,,,,,,,,,,
188,514.381348,457.920044,105.915695,,,,,,,,,,,,
189,514.807068,457.180695,105.045753,,,,,,,,,,,,
190,515.025635,456.165802,104.123894,,,,,,,,,,,,
191,515.158508,455.409515,103.636604,,,,,,,,,,,,
192,515.501709,454.822968,102.733978,,,,,,,,,,,,
193,515.834045,454.445221,101.903168,,,,,,,,,,,,
194,515.955994,454.242035,101.192345,,,,,,,,,,,,
195,515.947632,454.342407,100.531075,,,,,,,,,,,,
196,515.926941,454.378815,100.244987,,,,,,,,,,,,
197,515.758057,454.354370,100.208237,,,,,,,,,,,,
198,515.592102,454.218567,100.305634,,,,,,,,,,,,
199,515.500732,454.162018,100.175529,,,,,,,,,,,,
200,515.468750,454.133209,99.977158,,,,,,,,,,,,
201,515.515076,454.052185,99.803940,,,,,,,,,,,,
202,515.320190,453.862183,99.624260,,,,,,,,,,,,
203,515.127014,453.841492,99.644180,,,,,,,,,,,,
204,515.050598,453.887848,99.519897,,,,,,,,,,,,
205,514.938110,453.917450,99.478485,,,,,,,,,,,,
206,514.834351,453.861450,99.620880,,,,,,,,,,,,
207,514.697021,453.839447,99.608376,,,,,,,,,,,,
208,514.566101,453.846802,99.564293,,,,,,,,,,,,
209,514.518311,453.872559,99.596107,,,,,,,,,,,,
210,514.415833,453.799011,99.612709,,,,,,,,,,,,
211,514.349976,453.778076,99.633995,,,,,,,,,,,,
212,514.298523,453.768341,99.667542,,,,,,,,,,,,
213,514.338684,453.788849,99.664711,,,,,,,,,,,,
214,514.334595,453.779938,99.655197,,,,,,,,,,,,
215,514.351196,453.781982,99.634666,,,,,,,,,,,,
216,514.381470,453.764954,99.618431,,,,,,,,,,,,
217,514.367310,453.676727,99.644020,,,,,,,,,,,,
218,514.368225,453.677185,99.669006,,,,,,,2310.892334,301.045715,-134.262451,,,
219,514.418457,453.566345,99.609558,,,,,,,,,,,,
220,514.415527,453.535095,99.565620,,,,,,,,,,,,
221,514.428894,453.441986,99.573845,,,,,,,,,,,,
222,514.433716,453.347443,99.605453,,,,,,,,,,,,
223,514.467468,453.325226,99.596512,,,,,,,,,,,,
224,514.395569,453.252228,99.640755,,,,,,,,,,,,
225,514.406372,453.236664,99.669388,,,,,,,,,,,,
226,514.349609,453.150299,99.700851,,,,,,,,,,,,
227,514.370789,453.122314,99.696823,,,,,,,,,,,,
228,514.361389,453.139709,99.728592,,,,,,,,,,2310.878418,301.042542,-134.222794
229,514.260315,453.073517,99.708015,,,,,,,,,,,,
230,514.231201,453.041229,99.697990,,,,,,,,,,,,
231,514.247498,453.060333,99.707664,,,,,,,,,,,,
232,514.241211,453.048004,99.695724,,,,,,,,,,,,
233,514.135864,452.959808,99.768486,,,,,,,,,,,,
234,514.105469,452.940002,99.805580,,,,,,,,,,,,
235,514.044312,452.874390,99.788086,,,,,,,,,,,,
236,513.889771,452.801697,99.927383,,,,,,,,,,,,
237,513.948120,452.837341,99.871025,,,,,,,,,,,,
238,513.924255,452.787262,99.802391,,,,,,,,,,,,
239,513.950806,452.742981,99.832306,,,,,,,,,,,,
240,513.846863,452.758972,99.769455,,,,,,,,,,,,
241,513.858337,452.676208,99.759171,,,,,,,,,,,,
242,513.868835,452.658783,99.762825,,,,,,,,,,,,
243,513.882935,452.682495,99.774040,,,,,,,,,,,,
244,513.982605,452.670715,99.756332,,,,,,,,,,,,
245,514.036316,452.663147,99.826302,,,,,,,,,,,,
246,514.078430,452.653748,99.822639,,,,,,,,,,,,
247,514.036987,452.666870,99.950890,,,,,,,,,,,,
248,514.161194,452.727936,99.849037,,,,,,,,,,,,
249,514.209167,452.746643,99.782707,,,,,,,,,,,,
250,514.226257,452.829315,99.751198,,,,,,,,,,,,
251,514.237610,452.849945,99.740356,,,,,,,,,,,,
252,514.237488,452.845856,99.742393,,,,,,,,,,,,
253,514.258972,452.841553,99.735245,,,,,,,,,,,,
254,514.228516,452.835999,99.750305,,,,,,,,,,,,
255,514.313171,452.832581,99.774773,,,,,,,,,,,,
256,514.369690,452.820099,99.751953,,,,,,,,,,,,
257,514.358765,452.814850,99.729736,,,,,,,,,,,,
258,514.331848,452.832611,99.759071,,,,,,,,,,,,
259,514.391418,452.913269,99.716698,,,,,,,,,,,,
260,514.394653,452.845428,99.718246,,,,,,,,,,,,
261,514.458374,452.816681,99.694756,,,,,,,,,,,,
262,514.489990,452.830322,99.665329,,,,,,,,,,,,
263,514.566589,452.803406,99.586205,,,,,,,,,,,,
264,514.630493,452.790955,99.517349,,,,,,,,,,,,
265,514.652344,452.797485,99.517990,,,,,,,,,,,,
266,514.675781,452.817993,99.510376,,,,,,,,,,,,
267,514.682373,452.808380,99.478340,,,,,,,,,,,,
268,514.750610,452.898285,99.442223,,,,,,,,,,,,
269,514.914246,452.936707,99.307625,,,,,,,,,,,,
270,515.060974,452.930756,99.156380,,,,,,,,,,,,
271,515.145264,452.935333,99.049652,,,,,,,,,,,,
272,515.267700,453.037994,98.871628,,,,,,,,,,,,
273,515.389404,453.020264,98.696167,,,,,,,,,,,,
274,515.454102,452.952362,98.674400,,,,,,,,,,,,
275,515.550903,452.892853,98.547073,,,,,,,,,,,,
276,515.593079,452.809601,98.605362,,,,,,,,,,,,
277,515.579346,452.785034,98.567474,,,,,,,,,,,,
278,515.642822,452.786041,98.332878,,,,,,,,,,,,
279,515.669189,452.757782,98.136208,,,,,,,,,,,,
280,515.711548,452.727295,98.088577,,,,,,,,,,,,
281,515.698242,452.608490,98.069878,,,,,,,,,,,,
282,515.642883,452.626740,98.073288,,,,,,,,,,,,
283,515.609558,452.619202,97.938072,,,,,,,,,,,,
284,515.491760,452.639252,97.823372,,,,,,,,,,,,

