Sequential05
Date:,2025/04/15
Time:,13:34:23
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1
Field #,X,Y,Z
109,652.912048,704.568787,169.822388
110,650.884277,704.585632,168.699203
111,648.984436,704.192749,168.828018
112,647.210449,704.176636,168.210510
113,645.727905,703.938721,167.283386
114,643.899902,703.237427,167.219879
115,642.163391,702.898132,167.088379
116,640.570496,702.906067,166.148392
117,638.974792,702.879333,165.445313
118,637.890320,702.682678,164.517532
119,636.297119,702.643433,163.635025
120,634.975525,702.162109,163.799042
121,633.334534,701.864075,163.937408
122,631.505554,702.139221,163.270279
123,630.536621,702.199951,162.472015
124,629.409058,701.907227,161.617584
125,627.834412,701.856384,161.633224
126,626.194092,701.751648,161.423721
127,624.940735,701.487305,161.512848
128,623.941528,701.146790,161.109680
129,622.787903,700.947388,160.414017
130,621.288391,701.236328,159.499725
131,620.225830,700.966858,158.945496
132,619.405701,700.739136,158.559891
133,618.392944,700.937073,157.910492
134,617.330811,701.132690,157.410980
135,616.490051,701.116638,156.618683
136,615.668701,701.244751,155.428909
137,614.714294,701.180176,155.043106
138,613.952576,701.175354,154.863556
139,613.049622,701.390991,154.170532
140,612.436890,701.744751,152.495956
141,612.034302,701.903870,150.969101
142,611.457642,702.224365,149.679749
143,610.899231,702.519470,148.773636
144,610.326965,702.654297,147.930283
145,609.637939,702.811890,146.475677
146,609.021912,703.127808,145.503265
147,608.606995,703.416016,144.588211
148,608.168213,703.743408,143.037399
149,607.903625,703.859558,141.600067
150,607.800598,704.375000,140.066162
151,607.425598,704.800903,139.015213
152,607.573730,705.156799,136.945404
153,607.831299,705.491638,134.984116
154,607.931641,705.853271,134.191574
155,607.565796,706.330078,133.813477
156,607.084167,706.694031,133.624176
157,606.701111,707.119812,133.695877
158,606.200623,707.314941,134.122696
159,605.767090,707.373108,134.390274
160,605.500305,707.431702,134.584320
161,605.442566,707.416321,134.628998
162,605.438599,707.347534,134.502823
163,605.469421,707.181213,134.402756
164,605.650024,707.260681,133.989670
165,605.715271,707.222778,133.925201
166,605.634521,707.198792,133.919983
167,605.513733,707.091553,133.825638
168,605.447021,707.187927,133.832703
169,605.384949,707.211731,133.664764
170,605.330627,707.331421,133.905945
171,605.223450,707.385437,134.223114
172,605.204651,707.549622,134.316772
173,605.251892,707.852661,134.317230
174,605.395142,708.099792,134.028824
175,605.468689,708.389587,134.017380
176,605.485413,708.516602,134.044968
177,605.483154,708.647400,133.880569
178,605.557556,708.721313,133.757431
179,605.545288,708.821716,133.682022
180,605.517029,708.835571,133.627457
181,605.500977,708.791260,133.656174
182,605.447083,708.741089,133.619461
183,605.367981,708.694275,133.723145
184,605.345276,708.682800,133.763474
185,605.287720,708.660278,133.739853
186,605.268738,708.548279,133.541367
187,605.232056,708.618652,133.689102
188,605.101746,708.604004,133.782333
189,605.059448,708.584778,133.809540
190,605.050964,708.606445,133.804642
191,605.036499,708.603210,133.808884
192,605.003662,708.616455,133.823532
193,604.969055,708.609009,133.786575
194,605.022278,708.588318,133.786728
195,604.989441,708.570618,133.691940
196,604.979797,708.617676,133.629028
197,604.962097,708.630859,133.576660
198,604.978577,708.672913,133.478867
199,605.109985,708.693726,133.510849
200,605.107300,708.756592,133.528793
201,605.076782,708.799377,133.414444
202,605.164978,708.796631,133.435181
203,605.158386,708.764526,133.440430
204,605.237061,708.823425,133.336945
205,605.265808,708.737610,133.087860
206,605.276184,708.852051,133.146194
207,605.277222,708.895142,133.202515
208,605.321716,708.909180,133.095154
209,605.317078,708.929993,133.060104
210,605.357727,708.953918,133.024323
211,605.321716,708.966553,132.988937
212,605.326965,708.819885,132.867188
213,605.371338,708.901733,133.054565
214,605.340149,708.836060,133.141068
215,605.283875,708.822998,133.123138
216,605.314331,708.782227,133.212006
217,605.296570,708.758911,133.251343
218,605.223511,708.549011,133.261292
219,605.105896,708.473511,133.313385
220,605.157715,708.540527,133.471512
221,605.156555,708.478210,133.471100
222,605.093506,708.253906,133.515991
223,605.013794,708.187256,133.595444
224,604.951782,708.095215,133.653976
225,605.005310,707.998291,133.625259
226,605.015747,707.985474,133.609894
227,604.973633,707.896179,133.642563
228,605.001282,707.724426,133.799973
229,604.948608,707.585144,133.800186
230,604.899597,707.489685,133.898895
231,604.903870,707.439758,133.835373
232,604.867493,707.341553,133.840347
233,604.819885,707.204834,133.906372
234,604.785217,707.123413,133.778152
235,604.912170,706.976074,133.765350
236,604.918457,706.915527,133.674362
237,605.053162,707.030273,133.288589
238,605.126831,707.016541,133.165359
239,605.076416,706.880005,133.237610
240,605.024658,706.837891,133.303894
241,604.972107,706.737305,133.365402
242,604.910706,706.724915,133.495651
243,604.895325,706.644165,133.577026
244,604.836609,706.627991,133.618820
245,604.773071,706.626770,133.669861
246,604.734558,706.622437,133.711945
247,604.798889,706.743225,133.849060
248,605.047058,706.860840,133.552902
249,604.812073,706.895203,133.831818
250,604.531433,706.889343,134.169327
251,604.424438,706.885803,134.309402
252,604.363464,706.956482,134.493729
253,604.251526,706.986389,134.656845
254,604.136719,707.075500,134.824707
255,603.917114,707.206909,134.996567
256,603.693787,707.302551,135.242615
257,603.516479,707.486816,135.616394
258,603.365234,707.821655,136.121414
259,603.124023,708.014465,136.610916
260,602.844055,708.328613,137.079681
261,602.674622,708.756714,137.528656
262,602.441162,709.203674,137.979691
263,602.192078,709.472961,138.373596
264,601.959351,709.818726,138.722595
