Grasp20
Date:,2025/04/08
Time:,13:08:47
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
40,399.765167,645.211670,273.831268,,,,108.213989,831.559204,183.015396,83.643684,874.144653,357.842468,442.372070,721.618713,223.065552,340.618256,746.070618,203.720566,,,,,,,,,,,,,,,,,,,,,
41,393.485565,644.475525,273.676453,,,,104.592949,834.496521,183.660400,82.449417,875.871948,358.238617,437.882965,720.641174,222.618073,336.252014,746.207336,203.409103,,,,,,,,,,,,,,,,,,,,,
42,387.391876,643.739990,274.026367,,,,101.377892,837.434509,183.782120,81.028702,877.755432,358.519531,432.439514,719.448792,223.520584,331.938568,746.563354,202.826065,,,,,,,,,,,,,,,,,,,,,
43,380.651489,642.694275,273.740082,,,,97.774124,840.464783,184.320282,79.784531,879.538025,358.766663,427.268555,718.026184,223.553329,327.346558,746.143066,202.665344,,,,,,,,,,,,,,,,,,,,,
44,374.238373,641.734802,273.607117,,,,94.569801,843.241211,184.279678,78.578667,881.248657,359.206177,422.268188,717.077271,222.896408,322.741913,746.313293,202.539825,,,,,,,,,,,,,,,,,,,,,
45,368.351196,640.365417,272.472321,,,,91.588570,846.289368,184.096664,77.306702,883.034607,359.649170,417.354370,715.605164,223.062225,318.046997,746.234192,202.401398,,,,,,,,,,,,,,,,,,,,,
46,361.915527,639.021790,271.397461,,,,88.411995,849.301208,184.669601,76.091469,884.671204,360.179138,412.299286,714.197510,222.648102,313.838562,746.234009,201.639526,,,,,,,,,,,,,,,,,,,,,
47,355.639038,637.718079,270.484833,,,,85.502708,852.275085,185.481354,75.226318,886.509644,360.616333,407.198792,712.718506,221.792526,,,,,,,,,,,,,,,,,,,,,,,,
48,349.915009,636.102844,268.423889,,,,82.901070,855.170532,185.828613,74.066193,888.304199,360.890259,402.499512,711.269897,220.913651,,,,304.848389,746.278137,200.280228,,,,,,,,,,,,,,,,,,
49,344.124603,634.491211,266.219238,,,,80.437180,858.164612,185.736984,73.023354,889.869019,361.054565,397.766754,709.448181,219.569244,,,,301.473450,746.014282,198.067001,,,,,,,,,,,,,,,,,,
50,338.456146,632.980042,263.890961,,,,77.967453,861.142334,186.048325,72.078217,891.521057,361.257904,393.404877,707.965027,217.570602,,,,296.741638,745.446411,198.202240,,,,,,,,,,,,,,,,,,
51,332.912567,631.016174,261.157135,,,,75.085022,863.976379,186.204376,71.242027,893.106201,361.844757,388.644745,706.316406,216.393921,,,,291.978424,745.074646,197.604691,,,,,,,,,,,,,,,,,,
52,327.633240,629.297974,257.950958,,,,72.933464,866.670837,186.858063,70.425903,894.634766,362.313751,383.981689,704.335205,214.960312,,,,,,,,,,,,,,,,,,,,,,,,
53,322.236115,627.450012,254.823563,,,,70.861725,869.318359,187.138702,69.542992,896.126160,362.674255,379.662750,702.698059,212.918243,,,,,,,284.432587,744.743042,195.233810,,,,,,,,,,,,,,,
54,317.006500,625.368408,250.834808,,,,68.269402,871.655457,187.697433,68.683907,897.477234,363.106750,375.688965,700.907043,210.696091,,,,,,,,,,,,,,,,,,,,,,,,
55,312.012512,623.426941,246.762192,,,,66.480942,873.859436,188.438446,68.108398,898.867493,363.467926,371.309937,698.881775,208.816986,,,,,,,,,,278.337494,743.890503,190.588409,,,,,,,,,,,,
56,307.232239,621.394470,242.648483,,,,64.305336,876.182861,188.571472,67.308731,900.244873,363.574829,367.150238,697.009521,206.733521,,,,,,,,,,,,,,,,,,,,,,,,
57,302.578949,619.207092,238.003937,,,,63.081020,878.496765,188.991714,66.748314,901.486694,363.896729,363.140930,695.151978,204.872208,,,,,,,,,,,,,272.274780,742.846130,186.036362,,,,,,,,,
