Grasp117
Date:,2025/04/23
Time:,12:58:19
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
44,,,,,,,1167.470947,842.145325,223.903091,1185.822266,813.422180,312.631714,,,,888.654297,681.490234,149.650391,801.544495,763.577087,130.479218,935.072021,761.072937,122.232567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,1166.057983,841.838196,223.307541,1184.354980,813.226807,312.423462,,,,888.587585,679.881714,150.615051,800.478027,761.597656,131.841034,934.216370,759.232361,122.245308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,1164.504395,841.439392,223.176758,1183.130249,813.090332,312.368378,,,,887.743469,677.838013,152.759933,799.375122,759.316528,133.768509,933.397827,757.597595,122.379204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,1163.084961,841.073608,222.768753,1181.921265,812.975525,312.248688,,,,887.444702,675.697205,153.743546,798.226807,757.134949,134.931137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,1161.960693,840.758789,222.310532,1180.412109,812.777344,311.190430,,,,887.295898,674.165710,154.030380,796.971497,755.187622,136.195679,,,,931.119629,754.269897,123.492683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,1160.552979,840.369324,222.062119,1179.198975,812.564575,310.470215,,,,886.381653,672.181702,154.674957,795.799683,753.464417,137.354050,,,,929.393311,752.170288,124.507240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,1158.649780,839.772339,221.771606,1177.678223,812.466431,310.626770,,,,885.571716,670.394226,155.619415,794.828430,750.977905,138.595032,,,,928.345459,751.080200,125.332458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,1157.171387,839.278442,221.387589,1175.834839,812.356445,310.285858,,,,885.460266,668.525330,155.952911,793.332214,749.634338,139.482849,,,,927.024231,749.858459,126.100288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,1155.771606,838.678223,221.074478,1174.385132,811.977844,309.753448,,,,885.320251,667.272461,156.156082,792.406006,747.873169,140.105194,,,,925.396790,748.405518,126.407730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,1154.184326,838.118408,220.617065,1173.190430,811.679138,309.621094,,,,884.587402,665.804626,157.076263,791.703552,745.775940,140.723068,,,,924.276611,747.148010,126.279587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
