Grasp03
Date:,2025/04/08
Time:,12:52:20
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
43,277.017426,576.511597,83.031319,247.259995,712.193604,89.599037,160.808411,895.019104,310.741333,149.485031,890.647339,174.072739,,,,,,,,,,344.374084,674.033447,88.335297,,,,,,,,,,,,,,,,,,,,,
44,280.576752,576.693420,81.867271,248.123871,711.137451,89.318268,161.142059,894.325928,310.205902,150.133301,889.635498,173.294876,,,,,,,,,,345.032867,672.038208,86.223862,,,,,,,,,,,,,,,,,,,,,
45,283.911987,577.187317,80.848549,248.955521,710.368042,89.163307,161.479492,893.312988,309.521790,150.708664,888.521912,172.916870,,,,,,,,,,345.960571,670.028503,83.730461,,,,,,,,,,,,,,,,,,,,,
46,287.461914,578.292664,79.568176,249.979828,709.533386,89.107910,161.803131,892.566833,309.378357,151.319977,887.746277,172.572021,,,,,,,,,,346.475372,667.632446,81.773582,,,,,,,,,,,,,,,,,,,,,
47,291.346497,579.471802,78.516785,250.808304,708.423462,88.950737,162.302551,891.882690,308.896637,151.975128,887.028137,172.049332,,,,,,,,,,347.092072,665.400146,79.513741,,,,,,,,,,,,,,,,,,,,,
48,294.912628,580.685974,78.162186,251.479904,707.691101,88.323303,162.779114,890.950623,308.510834,152.605896,885.942383,171.369766,,,,,,,,,,346.891846,663.476990,77.475967,,,,,,,,,,,,,,,,,,,,,
49,296.096039,580.824341,78.153641,251.812515,706.903809,88.032204,163.203247,890.077881,308.152802,,,,,,,,,,,,,346.543121,661.801819,76.223183,,,,,,,,,,,,,,,,,,,,,
50,296.767120,581.017883,78.245262,252.357681,706.052002,87.635590,163.561234,889.348206,307.927765,,,,,,,,,,,,,,,,153.678925,884.686951,170.770721,,,,,,,,,,,,,,,,,,
51,298.043915,581.537415,78.107315,252.746277,704.843140,87.556892,163.940430,888.469116,307.617554,,,,,,,,,,,,,,,,154.217102,883.899719,170.647308,,,,,,,,,,,,,,,,,,
52,299.351379,581.895325,77.679901,252.890701,704.052307,87.717346,164.253616,887.572876,307.078003,,,,,,,,,,,,,,,,154.582886,882.976318,170.046295,,,,,,,,,,,,,,,,,,
53,300.359467,581.886230,77.689224,253.229080,703.618469,87.678001,164.640350,886.783752,306.698090,,,,,,,,,,,,,,,,154.896805,882.249695,169.544968,,,,,,,,,,,,,,,,,,
54,301.050934,581.679565,77.852608,253.895554,703.075623,87.602905,165.061737,886.085510,306.300995,,,,,,,,,,,,,,,,155.217636,881.884094,169.046829,,,,,,,,,,,,,,,,,,
55,301.632416,581.182007,78.039551,254.695328,702.438843,87.503326,165.430984,885.206848,305.774902,,,,,,,,,,,,,,,,155.565994,881.567322,168.472534,,,,,,,,,,,,,,,,,,
56,302.204315,580.519470,78.336830,255.188858,701.894226,87.544250,165.750427,884.365967,305.342346,,,,,,,,,,,,,,,,156.016693,881.041077,168.056152,,,,,,,,,,,,,,,,,,
57,302.749939,579.569275,78.488548,255.722733,701.265747,88.056938,165.895630,883.681763,305.010345,,,,,,,,,,,,,,,,156.226776,880.446777,167.782364,,,,,,,,,,,,,,,,,,
58,303.027008,578.799622,78.572472,256.351959,700.686340,88.593155,166.102615,883.121155,304.870209,,,,,,,,,,,,,,,,156.567230,879.768860,167.715393,,,,,,,,,,,,,,,,,,
59,303.279205,578.450134,78.727692,256.788635,700.173889,89.245789,166.294449,882.309143,304.485779,,,,,,,,,,,,,,,,156.952667,879.147339,167.812378,,,,,,,,,,,,,,,,,,
60,303.496338,577.812256,78.762642,257.315765,699.467346,89.993172,166.337067,881.689697,304.243530,,,,,,,,,,,,,,,,157.223770,878.721802,167.886978,,,,,,,,,,,,,,,,,,
61,303.565216,576.736877,78.888115,257.525208,698.594788,90.553207,166.498779,881.153809,304.115906,,,,,,,,,,,,,,,,157.516479,878.146545,167.865753,,,,,,,,,,,,,,,,,,
62,303.638367,575.564209,79.151627,257.960205,697.495300,91.283188,166.724655,880.524231,303.984467,,,,,,,,,,,,,,,,157.843781,877.356873,167.816895,,,,,,,,,,,,,,,,,,
63,303.921875,574.679810,79.383347,258.366455,696.615601,92.003014,166.864212,879.964905,303.805084,,,,,,,,,,,,,,,,158.042999,876.465576,167.477066,,,,,,,,,,,,,,,,,,
64,303.888855,574.076782,80.086113,258.691498,695.873291,92.573822,167.212585,879.262939,303.390411,,,,,,,,,,,,,,,,158.415970,875.776062,167.283997,,,,,,,,,,,,,,,,,,
65,303.854095,572.945251,80.917160,258.840210,694.926819,93.143265,167.251053,878.537231,303.442993,,,,,,,,,,,,,,,,158.953217,875.287231,167.130997,,,,,,,,,,,,,,,,,,
66,304.063568,571.825989,82.012238,259.066589,693.912354,93.709862,167.497467,877.882751,303.286865,,,,,,,,,,,,,,,,159.220688,874.377869,167.002548,,,,,,,,,,,,,,,,,,
67,304.244110,570.742310,83.136047,259.373230,692.873230,94.148903,167.612778,877.345581,303.162842,,,,,,,,,,,,,,,,159.298004,873.362244,167.251862,,,,,,,,,,,,,,,,,,
68,304.526398,569.386475,84.188438,259.734467,691.657288,95.091377,167.753754,876.477234,303.155518,,,,,,,,,,,,,,,,159.188736,872.520447,167.650742,,,,,,,,,,,,,,,,,,
69,304.528229,568.191772,85.455894,259.822449,690.289673,96.017792,167.938858,875.644836,303.082397,,,,,,,,,,,,,,,,159.310730,871.617310,167.817093,,,,,,,,,,,,,,,,,,
70,304.648041,566.577087,86.825264,259.950165,689.143372,96.804657,168.138855,874.984558,302.899597,,,,,,,,,,,,,,,,159.702103,870.342957,167.894485,,,,,,,,,,,,,,,,,,
71,304.992157,565.012146,88.285812,260.146149,687.428650,97.773514,168.368637,874.180115,302.544250,,,,,,,,,,,,,,,,160.526871,869.412720,167.220703,,,,,,,,,,,,,,,,,,
72,304.934662,563.361694,89.893486,260.704742,685.945740,98.992172,168.773575,873.191345,302.284210,,,,,,,,,,,,,,,,161.284409,868.432922,166.188156,,,,,,,,,,,,,,,,,,
73,304.912628,561.374878,91.818199,261.029388,684.208130,100.410553,169.205856,872.348389,301.989075,,,,,,,,,,,,,,,,161.827240,866.947205,166.935806,,,,,,,,,,,,,,,,,,
74,305.089264,559.679138,93.722145,261.161774,682.348633,101.604828,169.549103,871.456665,301.825226,,,,,,,,,,,,,,,,162.082932,865.745850,167.345032,,,,,,,,,,,,,,,,,,
75,305.453369,557.540894,95.366272,261.764954,680.404846,102.741318,169.985306,870.305115,301.535828,,,,,,,,,,,,,,,,162.261200,864.109375,167.596268,,,,,,,,,,,,,,,,,,
76,305.781647,555.293030,96.960281,262.044189,678.480164,104.178856,170.221085,869.286072,301.758148,,,,,,,,,,,,,,,,162.414810,862.692444,167.542206,,,,,,,,,,,,,,,,,,
77,305.842865,552.829346,98.952751,262.308960,676.329895,105.485710,170.354202,868.235840,301.861542,,,,,,,,,,,,,,,,162.852371,860.778259,167.767624,,,,,,,,,,,,,,,,,,
78,306.090149,550.723206,100.769707,262.853943,673.752502,106.880127,170.590775,866.871033,301.715546,,,,,,,,,,,,,,,,163.427750,859.380676,168.108887,,,,,,,,,,,,,,,,,,
