Grasp115
Date:,2025/04/23
Time:,10:07:05
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
42,910.964661,521.622620,75.078712,792.255737,467.311462,30.129875,1133.644897,761.557434,471.808868,869.528503,449.692383,29.537859,1069.797607,731.559265,285.878357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,910.920837,521.648804,75.206932,792.273926,467.307404,30.030128,1133.667969,761.682983,471.804108,869.649048,449.743134,29.571850,1069.792725,731.837036,285.879395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,910.860474,521.541260,75.452568,792.253418,467.340393,29.951361,1133.639648,761.883057,471.749268,869.629578,449.627594,29.619318,1069.718384,732.223816,285.806732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,910.871399,521.546997,75.659927,792.276489,467.357727,29.985327,1133.587646,762.060120,471.598267,869.620117,449.607605,29.675510,1069.701538,732.571228,285.794037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,910.889587,521.526978,75.998024,792.245300,467.337219,30.021969,1133.702637,762.274841,471.482941,869.684998,449.573212,29.708559,1069.939453,732.842224,285.798920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,910.760742,521.516296,76.336876,792.139465,467.277740,30.186592,1133.692017,762.436462,471.369537,869.806091,449.562805,29.760265,1070.331665,733.217712,285.568970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,910.691833,521.519470,76.856445,792.068115,467.243958,30.260946,1133.561890,762.580017,471.337830,869.934326,449.526978,29.789057,1070.549072,733.543457,285.540710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,910.663391,521.552490,77.497650,792.114929,467.241150,30.232141,1133.546021,762.721130,471.171051,870.059387,449.610565,29.803974,1071.049194,734.013855,285.079376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,910.693481,521.773193,78.456322,792.224182,467.651306,30.219805,1133.616455,762.870544,470.981506,870.274414,449.654785,29.995405,1071.581909,734.486572,284.678711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,910.651855,522.046448,79.348160,792.291565,468.007935,30.276726,1133.614502,763.089844,470.846954,870.799927,449.534607,30.284241,1071.984741,735.128906,284.527527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,910.633362,522.211914,80.223831,792.421204,468.336884,30.203119,1133.589844,763.247070,470.782166,871.211487,449.511993,30.022638,1072.755615,735.997192,284.068787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,910.731506,522.402832,80.927734,792.722046,468.882477,30.369076,1133.612427,763.452393,470.697266,872.024780,449.600555,30.195524,1073.374634,737.036560,283.719696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,910.965393,522.865173,81.791290,793.079285,469.496948,30.743765,1132.902222,763.445801,470.968323,873.093506,449.542877,30.413889,1074.305786,738.008972,283.463837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,911.238098,523.262268,83.257156,793.312195,470.241425,31.228998,1133.381470,763.786499,470.812927,874.032837,449.128326,30.797020,1074.985840,739.001099,283.369995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,911.661438,523.436584,84.904198,793.574463,470.844910,32.123333,1133.773315,764.047546,470.628601,874.874207,448.454041,31.207905,1075.552246,740.443359,283.090027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,912.009155,523.803650,86.190887,793.940552,471.774292,33.744427,1133.756836,764.248352,470.605347,876.257751,447.435699,32.193745,1076.998291,741.940979,282.472870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,912.873108,524.538635,88.110527,794.245972,472.883545,35.434399,1133.763550,764.478760,470.682922,877.531372,446.593475,33.266312,1078.586548,743.466309,281.951263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,913.455322,525.173767,89.394852,794.721252,473.951813,38.669147,1133.846802,764.904419,470.695984,879.367126,445.850677,35.054020,1079.609131,745.280029,282.022400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,914.434631,526.123901,92.106796,794.938293,474.643433,42.417095,1134.079224,765.368530,470.658295,880.834778,445.380463,37.436207,1081.225342,747.065186,281.350647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
