Grasp19
Date:,2025/04/15
Time:,13:18:42
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
32,840.381409,466.570465,32.454311,1076.585083,787.715027,395.493286,930.495544,448.732483,31.820227,955.591858,541.823669,65.236328,,,,1075.504395,792.566162,225.584427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,840.484680,466.524048,32.435131,1076.566650,787.704956,395.445465,930.532715,448.712280,31.767685,955.622681,541.729004,65.050537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,840.554810,466.523102,32.395985,1076.511963,787.788147,395.425751,930.506836,448.738007,31.818489,955.628784,541.861389,65.147339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,840.409851,466.562531,32.401703,1076.490112,787.828430,395.409821,930.518677,448.744934,31.840736,955.611755,541.898254,65.193504,,,,,,,1075.127197,792.717896,225.628128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,840.408081,466.545166,32.503685,1076.530762,787.814697,395.333862,930.499268,448.785797,31.749649,955.609009,541.881592,65.166313,,,,,,,1075.330322,792.738159,225.580215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,840.357422,466.547272,32.462723,1076.556641,787.811157,395.241211,930.506104,448.763763,31.740551,955.636963,541.824707,65.003281,,,,,,,1075.185791,792.734009,225.463089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,840.437988,466.552521,32.490936,1076.533691,787.903320,395.161804,930.562622,448.771210,31.766350,955.648926,541.845032,64.876350,,,,,,,1075.286377,792.885254,225.409622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,840.373169,466.657837,32.369793,1076.552979,787.931335,395.123535,930.525940,448.763397,31.863714,955.649414,541.901306,65.117821,,,,,,,1075.383179,792.912659,225.370514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,840.377136,466.581543,32.434319,1076.546387,787.957092,395.068207,930.515991,448.820435,31.787922,955.681152,541.844910,65.044365,,,,,,,1075.354370,792.917297,225.256683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,840.347412,466.647003,32.380276,1076.656250,787.972839,395.060333,930.504150,448.833282,31.818237,955.638367,541.812622,64.986351,,,,,,,1075.070557,792.929932,225.383179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
