Grasp120
Date:,2025/04/26
Time:,15:57:19
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
52,801.065308,751.345947,119.425133,1108.869385,748.356750,305.043884,1141.666504,813.478638,164.575470,872.908936,649.519043,112.792686,930.617676,732.015503,105.037422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,799.940613,749.924744,119.333885,1108.079712,748.088379,304.680481,1139.634644,813.275452,164.054962,871.696533,648.178955,113.372742,929.625793,730.529968,105.075089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,798.577454,748.476563,119.033249,1107.220215,747.876099,304.216797,1138.536133,812.974426,163.868393,870.058594,647.146301,113.596153,928.935608,729.316162,105.244164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,797.188232,747.601624,119.606789,1106.187622,747.585999,303.871948,1137.286499,812.547974,163.063141,868.649231,646.265076,113.781273,927.873169,728.520508,105.254784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,795.866943,746.142151,120.146408,1105.409546,747.260254,303.537323,1135.845215,811.969849,162.244781,868.016235,645.210571,114.102402,926.180969,727.449707,105.522926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,794.679932,744.564880,120.118340,1104.578369,746.974854,303.361481,1134.602783,811.537537,161.953537,867.193726,644.101685,113.871338,924.432068,726.353333,105.709518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,793.668152,743.829529,119.728851,1103.717407,746.888794,303.204529,1132.906250,811.116821,161.438202,865.843201,643.066345,113.726830,923.212402,725.714355,105.644287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,792.699646,742.892456,119.532799,1102.286621,746.766357,302.670410,1131.152588,810.682129,160.899765,864.622620,642.066284,113.576210,922.099792,724.860229,106.019264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,790.935486,741.591492,119.698227,1101.419434,746.624390,302.353394,1130.176392,810.474121,160.445618,863.445740,640.912170,113.840073,921.320740,723.680115,105.806435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,789.822327,740.687439,119.786865,1100.708374,746.410095,302.135895,1129.427856,810.292236,160.094177,862.271606,639.862915,114.069511,919.997925,722.853394,105.742157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
