Grasp107
Date:,2025/04/23
Time:,10:06:19
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
46,1218.017700,883.774780,479.714600,821.745850,823.170532,61.331890,957.513184,816.455627,94.837006,1212.626221,917.648926,277.082184,896.294922,744.272461,53.516201,,,,,,,,,,,,,,,
47,1217.816772,883.622742,479.730499,820.933289,820.630981,63.710129,956.535400,814.900391,96.133858,1211.984619,917.472961,277.074127,896.131714,741.454224,56.394257,,,,,,,,,,,,,,,
48,1217.640015,883.610596,479.817841,819.717712,818.002563,65.912178,955.895874,813.284241,97.195518,1211.318115,917.286438,277.069550,896.249573,738.482178,58.773647,,,,,,,,,,,,,,,
49,1217.427612,883.564941,479.881592,818.738220,815.024963,68.111053,955.128845,811.607422,98.426544,1210.604004,917.087158,277.035126,896.658386,735.594543,60.847961,,,,,,,,,,,,,,,
50,1217.104980,883.496094,479.813507,817.631897,812.070740,69.974388,954.115540,809.570923,99.671577,1209.841553,916.954285,276.871948,896.724243,732.998169,62.453106,,,,,,,,,,,,,,,
51,1216.751831,883.410339,479.827789,816.798645,809.007202,71.973122,953.253174,807.707092,101.279373,1209.411133,916.679260,276.880768,896.812012,730.244385,63.621284,,,,,,,,,,,,,,,
52,1216.566162,883.290955,479.807007,815.498901,805.772827,74.172989,952.377441,806.026611,102.046928,1208.853394,916.547058,276.506439,897.377075,727.006165,65.402458,,,,,,,,,,,,,,,
53,1216.110962,883.213013,479.542999,814.823853,802.643860,75.851662,951.224243,803.540649,104.024818,1208.238159,916.289368,276.370422,898.013306,724.788879,65.903839,,,,,,,,,,,,,,,
54,1215.661621,883.078674,479.506989,812.944092,799.151489,78.232620,950.502258,801.536743,104.918091,1207.420044,916.063232,276.207581,898.050964,722.168640,67.436966,,,,,,,,,,,,,,,
55,1215.268555,882.920288,479.408508,812.175964,796.157898,79.852280,949.280762,799.082275,106.325462,1206.402710,915.679016,275.819916,898.113159,718.426025,69.516769,,,,,,,,,,,,,,,
