Grasp68
Date:,2025/04/22
Time:,16:06:55
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
28,785.361572,480.783051,29.817060,989.039978,702.309692,312.972260,1026.576050,808.894714,506.253876,886.290894,461.045837,36.666378,894.218323,545.335144,92.031731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,785.386597,480.367188,30.217648,989.809265,703.060913,313.453461,1027.383667,809.582520,506.215240,886.535889,460.240479,37.909927,894.014282,544.421692,94.263206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,785.561523,479.980316,30.391106,990.215454,704.076965,314.038422,1028.158447,809.955017,505.969177,886.201599,459.414093,39.552216,893.462585,543.347778,96.434921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,785.846497,479.619049,30.524168,990.622803,705.143921,314.606018,1029.002441,810.232300,505.755371,885.484863,459.321564,42.394882,892.554871,542.304565,98.915001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,786.328674,479.133148,30.622065,991.569580,705.966858,314.928284,1029.314087,810.726746,505.743713,885.084473,457.885956,44.787949,891.852478,541.577026,101.838295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,787.004150,478.805542,30.759998,992.523621,706.702881,315.072968,1030.323730,811.358459,506.102997,884.221008,456.899231,46.635712,891.236206,540.812317,104.011772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,787.877197,478.609955,30.660324,993.341492,707.689880,315.607422,1031.188477,811.917847,506.323853,883.919556,456.185669,49.502888,890.246948,539.681396,107.151749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,788.686340,478.291962,30.574583,993.797119,708.683716,316.540863,1031.813477,812.458435,506.231232,882.921204,455.375092,52.572071,889.458557,538.973877,109.749252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,789.683228,477.770142,31.128649,994.030029,709.478455,317.347473,1032.444946,812.930298,506.547852,881.663574,454.460907,54.924541,888.721436,538.408020,112.237991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,790.692078,477.356110,32.135258,994.705444,710.431763,317.508484,1033.026245,813.352783,506.845551,880.678345,453.746185,57.283146,887.920837,538.017212,114.569397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
