Grasp124
Date:,2025/04/30
Time:,17:42:57
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
42,879.045166,568.972595,72.312157,969.118286,626.105591,127.621033,907.964722,552.157776,81.083969,1161.808838,778.333923,473.190338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,879.557922,573.973999,73.300751,970.873230,630.017944,127.930168,908.927490,556.384521,82.210640,1163.089111,778.851624,473.560425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,880.190186,578.785217,74.743431,972.942688,634.302673,128.556702,909.952515,560.636353,82.962914,1164.377808,779.450012,474.235870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,880.737061,584.305908,75.095764,974.855164,638.550781,128.783676,910.661682,564.965271,84.393494,1166.075928,780.076172,474.858582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,881.187073,589.743225,76.205360,976.412659,642.568848,129.176376,911.571655,569.280090,85.357338,1167.751099,780.834595,474.980743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,881.098877,595.869995,77.506973,977.967163,646.767151,129.464951,912.363708,573.727722,86.707855,1169.250732,781.294312,475.285980,,,,,,,,,,1137.854858,796.275024,270.797821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,880.826416,601.442688,78.655495,979.721069,650.871704,129.691589,913.114685,578.039124,88.077644,1170.569336,781.721558,476.182922,,,,,,,,,,1139.842896,797.712280,271.774384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,881.366516,608.115479,78.656380,981.092468,655.074768,129.832809,913.432312,582.115295,89.459068,1171.615845,782.281250,476.596558,,,,,,,,,,1142.478394,799.855774,272.499451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,881.076721,614.518433,79.586281,982.698059,659.281860,129.652084,913.766663,586.198181,90.769516,1172.601196,782.754639,476.961487,,,,,,,,,,1145.523560,801.633545,272.858704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,879.449097,620.964294,81.669395,983.938110,663.785034,129.856140,914.294617,590.329041,92.457703,1174.000488,783.308960,477.488464,,,,,,,,,,1147.983154,803.055481,273.449646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,877.959106,627.509155,83.342087,984.679688,668.105774,130.371643,914.612427,594.540955,94.327515,1175.519409,783.760986,478.086578,,,,,,,,,,1150.393555,804.400452,274.190948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,877.197266,633.801941,84.910675,986.028503,672.410950,130.471725,914.822021,598.447327,95.840523,1176.496948,784.140015,478.398376,,,,,,,,,,1152.663940,805.502686,274.684235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,876.384338,640.425232,86.486382,986.877319,676.468628,130.894958,914.870667,602.524414,97.701065,1177.423828,784.438416,478.712494,,,,,,,,,,1154.803345,806.953674,275.569763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,875.417236,647.814880,87.125618,987.818481,680.705444,131.416504,915.267212,606.529907,99.655617,1178.390991,784.823181,479.330536,,,,,,,,,,1157.297119,807.963623,276.033234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,874.142334,655.829529,88.274147,988.383301,684.758423,131.201660,915.364746,610.477661,101.759224,1179.349487,785.251892,479.913025,,,,,,,,,,1159.176392,808.894775,276.564117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,872.000549,663.666382,89.266846,989.032471,688.939880,131.369080,915.473145,614.041382,103.369072,1180.056885,785.787659,480.255157,,,,,,,,,,1161.474731,810.118835,276.905853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
