Grasp38
Date:,2025/04/16
Time:,14:17:42
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44,,,*45,,,*46,,,*47,,,*48,,,*49,,,*50,,,*51,,,*52,,,*53,,,*54
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,785.800903,476.869690,30.767132,888.347595,454.139404,33.719387,910.343201,540.489258,64.078293,1050.561890,784.055298,431.782166,1001.954346,740.302673,294.014832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,785.822144,476.821777,30.704025,888.319763,454.209839,33.718086,910.337463,540.491028,64.132019,1050.560059,784.055176,431.785370,1002.125488,740.344360,294.355316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,785.794434,476.806488,30.624876,888.321106,454.160461,33.693539,910.364746,540.483398,64.109039,1050.560913,784.054932,431.786407,1002.087463,740.337830,294.484558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,785.814270,476.805389,30.626759,887.977417,453.893341,33.843761,910.336792,540.480713,64.105316,1050.582764,784.054016,431.811035,1002.000061,740.336792,294.446167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,785.810425,476.825653,30.624086,888.169006,454.040344,33.879242,910.365295,540.484375,64.098381,1050.493164,784.061707,431.816833,1001.853943,740.216797,294.130615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,785.815613,476.810242,30.635286,888.322693,454.138062,33.726944,910.376221,540.487061,64.093010,1050.529541,784.044434,431.871033,1001.829834,740.199158,294.053314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,785.771301,476.777374,30.777914,888.314880,454.137268,33.684700,910.375549,540.487366,64.092667,1050.507080,783.955322,431.915009,1001.769043,740.097839,294.135162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,785.792664,476.690338,30.759190,888.274414,454.127594,33.744247,910.334595,540.481812,64.106491,1050.171631,783.951050,432.046631,1001.729614,740.049377,294.292358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,785.810486,476.674622,30.671701,888.273743,454.150116,33.675652,910.310364,540.483765,64.145020,1050.135132,783.870911,432.155273,1001.744629,739.946716,294.430176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,785.751709,476.743591,30.760715,888.250427,454.144012,33.659103,910.306885,540.482544,64.154121,1050.100220,783.847290,432.210083,1001.666199,739.946289,294.401917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,785.659546,476.771271,30.786512,888.207581,454.134705,33.677326,910.332092,540.382507,64.219978,1050.153809,783.758545,432.246643,1001.571899,739.943237,294.484985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,785.716492,476.704010,30.653107,888.247314,454.123444,33.641171,910.294800,540.370728,64.199432,1050.447021,783.704712,432.160614,1001.525879,739.834656,294.530945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,785.723328,476.747192,30.775892,888.216919,454.132538,33.670132,910.287903,540.383545,64.185249,1050.515259,783.591370,432.127655,1001.513489,739.817444,294.569641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,785.668579,476.698212,30.805927,888.167603,454.108154,33.556194,910.289246,540.398315,64.219826,1050.093506,783.631104,432.302582,1001.535583,739.785095,294.750671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,785.685303,476.745850,30.829397,888.235352,454.136658,33.641834,910.325928,540.370056,64.236229,1049.963013,783.653442,432.674988,1001.468262,739.788147,294.802246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,785.697083,476.652466,30.687321,888.222595,454.159576,33.611938,910.304138,540.343323,64.252426,1049.911133,783.570984,432.753540,1001.145874,739.837708,295.054108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,785.766479,476.690063,30.662642,888.214661,454.147278,33.600395,910.336243,540.351440,64.211578,1049.864868,783.570496,432.761414,1001.257874,739.735779,294.980316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,785.702332,476.672302,30.803179,888.185669,454.104248,33.650330,910.308472,540.348755,64.239700,1049.877197,783.552856,432.822845,1001.396057,739.665649,294.960663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,785.628113,476.628296,30.668839,888.195862,454.161713,33.632534,910.291260,540.351685,64.295975,1049.797729,783.578308,432.825531,1001.118896,739.786682,295.123840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,785.709595,476.756348,30.786335,888.177246,454.143341,33.669453,910.287048,540.349548,64.308136,1049.791138,783.565735,432.891235,1001.207214,739.725159,295.072723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,785.686829,476.645264,30.689150,888.160156,454.148407,33.649776,910.289368,540.349915,64.303421,1049.811035,783.551270,432.913696,1001.048218,739.798767,295.172180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,785.758118,476.685883,30.672907,887.851563,453.922333,33.753628,910.252075,540.346313,64.312393,1049.858398,783.578796,432.941193,1000.892578,739.813416,295.359772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,785.714722,476.757629,30.791613,888.106079,454.054871,33.755829,910.310730,540.366760,64.289818,1049.757935,783.618713,432.851990,1000.841370,739.830078,295.362579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,785.767578,476.716492,30.672554,888.185364,454.114990,33.708107,910.302612,540.358093,64.290665,1049.893311,783.677429,432.903320,1000.837341,739.841919,295.327545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,785.780579,476.710785,30.666801,888.197205,454.148987,33.715492,910.321838,540.369690,64.281937,1049.938110,783.690918,432.839020,1000.856201,739.841736,295.306458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,785.710327,476.754974,30.795988,888.222717,454.149658,33.717964,910.298828,540.356750,64.292931,1049.908936,783.688843,432.831360,1000.862488,739.925659,295.312927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,785.716125,476.725433,30.673582,888.242859,454.135712,33.679302,910.289124,540.349976,64.301483,1049.853271,783.681213,432.791046,1001.194092,739.830872,294.957031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,785.728088,476.771423,30.781527,888.212402,454.132416,33.676380,910.319153,540.368042,64.285469,1049.782593,783.778137,432.740082,1001.345825,739.819702,294.689056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,785.771667,476.728363,30.708683,888.200378,454.131866,33.684357,910.329834,540.375977,64.275093,1049.804321,783.809448,432.695465,1001.388794,739.819519,294.725983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,785.776062,476.703278,30.668316,888.235779,454.133728,33.677746,910.328979,540.375732,64.274857,1049.820923,783.802490,432.629181,1001.276794,739.824524,294.779510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,785.789246,476.718475,30.669706,888.247681,454.135590,33.671101,910.329224,540.364807,64.238983,1049.836426,783.788757,432.614532,1001.310913,739.832031,294.803009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,785.772888,476.707977,30.673460,888.211121,454.133820,33.679703,910.332153,540.364685,64.229408,1049.784790,783.794495,432.598663,1001.362366,739.846436,294.744965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,785.722473,476.740356,30.677935,888.234070,454.133972,33.677567,910.332214,540.365540,64.231186,1050.181274,783.829529,432.544067,1001.356995,739.846497,294.662323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,785.754822,476.720642,30.628256,888.210388,454.132843,33.681713,910.319763,540.469543,64.171173,1050.001465,783.881042,432.514923,1001.383423,739.927185,294.672516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,785.787354,476.718414,30.664387,888.221619,454.163849,33.705250,910.299316,540.414673,64.165359,1050.236328,783.805847,432.325531,1001.448242,739.952148,294.623413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,785.802856,476.726929,30.670555,888.190491,454.149048,33.726902,910.327820,540.366516,64.225006,1050.425903,783.802979,432.156769,1001.481567,739.947998,294.591553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,785.787048,476.713745,30.665770,888.240601,454.227631,33.654160,910.307007,540.467041,64.210197,1050.176758,783.884460,432.350281,1001.483521,739.943665,294.588470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,785.856934,476.795288,30.688187,888.265076,454.261719,33.615040,910.307373,540.492798,64.152771,1049.989624,783.902649,432.494873,1001.523499,739.933777,294.604401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,785.757874,476.830719,30.584751,888.250183,454.269470,33.652843,910.311279,540.499695,64.177315,1049.955078,783.876648,432.379669,1001.528137,739.927917,294.576660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,785.738220,476.887909,30.752371,888.214844,454.178406,33.603798,910.309937,540.484924,64.154785,1050.023926,783.858276,432.305389,1001.528687,739.927734,294.565613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,785.736389,476.848602,30.629377,888.172729,454.149506,33.670349,910.346924,540.376892,64.185066,1050.096436,783.854675,432.269531,1001.616821,739.898804,294.613403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,785.722229,476.857941,30.579569,888.159607,454.146820,33.700233,910.337280,540.353760,64.232079,1050.443481,783.811951,432.164368,1001.295715,740.031189,294.878204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,785.739136,476.832153,30.568048,888.193542,454.131683,33.694202,910.291992,540.376892,64.197884,1050.222656,783.847717,432.194153,1001.049194,740.089233,295.081635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,785.806335,476.817352,30.635395,888.205872,454.129486,33.685596,910.300720,540.383972,64.151299,1050.144287,783.851318,432.256134,1001.414368,739.939087,294.720245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,785.813477,476.814423,30.651798,887.892822,453.912231,33.815964,910.297729,540.391113,64.171158,1050.219482,783.840149,432.241669,1001.442261,739.931641,294.739960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
